user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1020,https://api.github.com/repos/Netflix/falcor/issues/1020,open,2023-10-16,2023-10-16,,e68ac54e4631494028d040d593a4a7316a490151
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1019,https://api.github.com/repos/Netflix/falcor/issues/1019,open,2023-07-18,2023-07-18,,238af2971754b1ab06d1f571dbbedc9a6e39df4a
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1014,https://api.github.com/repos/Netflix/falcor/issues/1014,open,2023-04-16,2023-04-16,,6f20185791a745f1e12c14e900ca17d1124512b9
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1010,https://api.github.com/repos/Netflix/falcor/issues/1010,open,2023-01-26,2023-01-26,,47c97bcda16f09d955d7e38a32762818142cb814
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1009,https://api.github.com/repos/Netflix/falcor/issues/1009,open,2023-01-06,2023-01-06,,0f7ffedf88292909cad48a1113aa56c510b54a82
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1008,https://api.github.com/repos/Netflix/falcor/issues/1008,open,2022-12-06,2022-12-06,,048e3cb62b911a18cc7b3ba47c639260553e0730
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1007,https://api.github.com/repos/Netflix/falcor/issues/1007,open,2022-12-01,2022-12-01,,4cd3b8a13037b6502a35ac31d3508ba7cec5ab50
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1006,https://api.github.com/repos/Netflix/falcor/issues/1006,open,2022-11-09,2022-11-09,,a7a68c7c2912df3b242194e9a310c29ef7ab1da0
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1005,https://api.github.com/repos/Netflix/falcor/issues/1005,open,2022-06-23,2022-06-23,,f04db54b6479ae6252ef38a491a7431d7f3bfc7c
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1004,https://api.github.com/repos/Netflix/falcor/issues/1004,open,2022-06-21,2022-06-22,,1a964f35fa3fb2947fbf877ac67bceafb8cbbf48
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1003,https://api.github.com/repos/Netflix/falcor/issues/1003,open,2022-05-16,2022-05-16,,0bace9f4192d41fa21935a72a253db5ce8f4a1e5
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1002,https://api.github.com/repos/Netflix/falcor/issues/1002,open,2022-05-16,2022-05-16,,6e47de61287eb2fe66b4b1ca1ae3690be7a71bd1
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/1000,https://api.github.com/repos/Netflix/falcor/issues/1000,open,2022-02-12,2022-02-12,,d25c13c55dbd49408f7c6327499ac99d7d2afef2
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/999,https://api.github.com/repos/Netflix/falcor/issues/999,open,2022-01-27,2022-01-27,,e404a87f24e1e3a72609887482a2a78bf0def39c
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/998,https://api.github.com/repos/Netflix/falcor/issues/998,open,2022-01-21,2022-01-21,,ef1174d8b65a26a2fb6e147fab3217cb5d533978
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/997,https://api.github.com/repos/Netflix/falcor/issues/997,closed,2022-01-13,2022-02-12,,18b74957caf937341c4a16883d410e0bf7abbb7c
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/996,https://api.github.com/repos/Netflix/falcor/issues/996,open,2021-09-20,2021-09-20,,6c1f91b11adcb289d1730ce763c712b245d80b5d
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/993,https://api.github.com/repos/Netflix/falcor/issues/993,open,2021-05-28,2021-05-28,,a0f899f6208eaf830158f7aea01239e2ee5428ee
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/992,https://api.github.com/repos/Netflix/falcor/issues/992,open,2021-05-08,2021-05-08,,419434b4eff7a9ea56d5a0c41c81dc9c7b28ecd6
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/991,https://api.github.com/repos/Netflix/falcor/issues/991,closed,2021-05-06,2021-05-06,2021-05-06,398d4ef6e2d42f41197c240f1463ef70a9a8dd8b
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/990,https://api.github.com/repos/Netflix/falcor/issues/990,closed,2021-03-29,2021-03-29,2021-03-29,fc485eee8e13d19150084dc9c6fab3f0b8e7efff
chourihan,https://api.github.com/repos/Netflix/falcor/pulls/989,https://api.github.com/repos/Netflix/falcor/issues/989,closed,2021-03-27,2021-03-29,2021-03-29,ec4219bea47dcf355c0b7e87e509a9532f3f51cc
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/987,https://api.github.com/repos/Netflix/falcor/issues/987,closed,2021-03-08,2021-03-08,2021-03-08,df45d9a98a1b2143291cb111fe26e079750ca828
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/986,https://api.github.com/repos/Netflix/falcor/issues/986,closed,2021-01-20,2021-01-20,2021-01-20,9b8ab0cc1f6a61328baa9784e5c4449f98bb7e09
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/985,https://api.github.com/repos/Netflix/falcor/issues/985,closed,2020-12-10,2020-12-10,2020-12-10,724fec8b41cac59f4f9e7cd3b6ed9b5fcdeec61c
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/984,https://api.github.com/repos/Netflix/falcor/issues/984,closed,2020-10-29,2020-10-29,2020-10-29,7911187db2978d432bb0418bf42b48e22b398ca8
sghill,https://api.github.com/repos/Netflix/falcor/pulls/983,https://api.github.com/repos/Netflix/falcor/issues/983,closed,2020-10-27,2020-10-28,2020-10-28,4029c9d598554026ab05580aa9f71f912bb57c5b
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/982,https://api.github.com/repos/Netflix/falcor/issues/982,closed,2020-10-26,2020-10-29,2020-10-27,ff491c32235edf5097544a58fffed54412c71867
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/981,https://api.github.com/repos/Netflix/falcor/issues/981,closed,2020-08-03,2020-10-29,2020-08-03,a72cc767c4db45cb69ceb9aae7a0fb31ea927020
bendmorris,https://api.github.com/repos/Netflix/falcor/pulls/980,https://api.github.com/repos/Netflix/falcor/issues/980,closed,2020-08-03,2020-08-03,2020-08-03,ba92587da56963fabf09dd26cd3103762789ae25
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/979,https://api.github.com/repos/Netflix/falcor/issues/979,closed,2020-07-29,2020-07-29,2020-07-29,a7b6a893866e830d80f4dbad9f867484e7eeaf06
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/978,https://api.github.com/repos/Netflix/falcor/issues/978,closed,2020-07-29,2020-07-29,2020-07-29,e144f12720e02a8b34a67b0bb94b815610534963
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/977,https://api.github.com/repos/Netflix/falcor/issues/977,closed,2020-07-15,2020-07-15,2020-07-15,833e00170cc1571bde2fbb97d3963ae0e2c860e4
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/975,https://api.github.com/repos/Netflix/falcor/issues/975,closed,2020-04-04,2020-05-27,2020-05-27,1007ae67a246fca6f6faa36b8f473faccc65873c
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/974,https://api.github.com/repos/Netflix/falcor/issues/974,closed,2020-03-13,2020-04-04,,e0c3d48deac1f8022d3bd09d446d398d7fcb55d1
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/973,https://api.github.com/repos/Netflix/falcor/issues/973,closed,2020-03-13,2020-05-27,2020-05-27,6d4fbad092ed2ea006a7bb788ae6070cf9846053
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/970,https://api.github.com/repos/Netflix/falcor/issues/970,closed,2020-01-22,2020-01-23,2020-01-23,45f47768e61d8a7776825721eb75c3abff7fbbe3
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/969,https://api.github.com/repos/Netflix/falcor/issues/969,closed,2019-11-12,2019-12-17,2019-12-12,321bca809e8882a450e343b77ebe8719ef33195b
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/966,https://api.github.com/repos/Netflix/falcor/issues/966,closed,2019-10-23,2019-11-04,2019-11-04,aa978afc13e697a6ddef01a73c1713658520eccc
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/965,https://api.github.com/repos/Netflix/falcor/issues/965,closed,2019-10-23,2019-11-04,2019-11-04,558453740fc57a732380983748a7dc5ff2f75b78
dependabot[bot],https://api.github.com/repos/Netflix/falcor/pulls/964,https://api.github.com/repos/Netflix/falcor/issues/964,closed,2019-10-23,2019-11-04,2019-11-04,35ffa2fbd6789ed18e1e5fd9624ceea411b26552
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/963,https://api.github.com/repos/Netflix/falcor/issues/963,closed,2019-07-12,2019-08-20,2019-07-24,fb552366becaa01842421944ae4c3dbaca894f3c
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/962,https://api.github.com/repos/Netflix/falcor/issues/962,closed,2019-07-01,2019-07-16,2019-07-10,58eb6b4aa1b2b132cfbd58e11a1b6901c14f56be
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/961,https://api.github.com/repos/Netflix/falcor/issues/961,closed,2019-06-18,2019-06-28,2019-06-18,17db57d14ddf2c47519529a38b2e1d9c39c74e30
rob-pocklington-a139759,https://api.github.com/repos/Netflix/falcor/pulls/960,https://api.github.com/repos/Netflix/falcor/issues/960,closed,2019-05-06,2019-05-06,2019-05-06,faf78b1988224e70af4480b07d519aeceea95527
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/959,https://api.github.com/repos/Netflix/falcor/issues/959,closed,2019-04-18,2019-04-18,2019-04-18,96bf26195457d0481c09aa5cf7a6db4931894fd6
vishaljariwala,https://api.github.com/repos/Netflix/falcor/pulls/957,https://api.github.com/repos/Netflix/falcor/issues/957,closed,2019-04-15,2019-04-16,,
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/955,https://api.github.com/repos/Netflix/falcor/issues/955,closed,2019-03-01,2019-03-05,2019-03-05,e76b705010d7fb366ebc3df8673f05ebf49680f6
DenrizSusam,https://api.github.com/repos/Netflix/falcor/pulls/954,https://api.github.com/repos/Netflix/falcor/issues/954,closed,2019-01-30,2019-01-30,2019-01-30,41aa2d81c21d12fbb54e6639f0c3f1be87368d48
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/949,https://api.github.com/repos/Netflix/falcor/issues/949,closed,2018-10-29,2018-11-19,2018-11-19,7c5db8c1a5ec37b7fd0a1b0881d098ce91eb2e3a
jcranendonk,https://api.github.com/repos/Netflix/falcor/pulls/947,https://api.github.com/repos/Netflix/falcor/issues/947,closed,2018-10-04,2018-10-05,2018-10-04,2eeb167e238b17288e56ea204e28dd883e214455
ntower,https://api.github.com/repos/Netflix/falcor/pulls/945,https://api.github.com/repos/Netflix/falcor/issues/945,closed,2018-08-22,2018-08-23,2018-08-23,ffff2129a3ac8b4744e40a80075b6c865ccf010f
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/944,https://api.github.com/repos/Netflix/falcor/issues/944,closed,2018-08-06,2019-03-05,2018-08-06,b389bc992d4efe71b7e6779b3f3a9e463ea66275
lrowe,https://api.github.com/repos/Netflix/falcor/pulls/942,https://api.github.com/repos/Netflix/falcor/issues/942,closed,2018-07-31,2018-08-03,2018-08-03,edb138dcf13577031454820569f4560475e8217b
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/941,https://api.github.com/repos/Netflix/falcor/issues/941,closed,2018-07-27,2019-03-05,2018-08-07,69543625de01f024efc9f71236d3e0b64ff7c09c
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/940,https://api.github.com/repos/Netflix/falcor/issues/940,closed,2018-07-27,2021-09-28,,42dc7c33777e341b50f0aa74d1bdbe1e323aa535
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/939,https://api.github.com/repos/Netflix/falcor/issues/939,closed,2018-07-27,2019-03-05,2018-07-27,c644bc63397cc135b6a6d18b6997aebee231711c
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/938,https://api.github.com/repos/Netflix/falcor/issues/938,closed,2018-07-27,2019-03-05,2018-07-27,2fabbf73eb83c993ecd7b20b7b31deac9f1351e4
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/937,https://api.github.com/repos/Netflix/falcor/issues/937,closed,2018-07-26,2019-03-05,2018-07-27,b20b40f2a0b21f0097c3bb504c8a22a4e75aca5f
NickHeiner,https://api.github.com/repos/Netflix/falcor/pulls/935,https://api.github.com/repos/Netflix/falcor/issues/935,closed,2018-07-10,2018-07-12,2018-07-12,3cbf4cdd04e53f56d693a8f8e69219a2051a2f5e
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/934,https://api.github.com/repos/Netflix/falcor/issues/934,closed,2018-06-07,2019-03-05,2018-07-27,437a187d1ec5a2a7c9149c1e9b3817d8da0a0144
asyncanup,https://api.github.com/repos/Netflix/falcor/pulls/933,https://api.github.com/repos/Netflix/falcor/issues/933,closed,2018-06-05,2019-03-05,2018-06-07,d9738fa2b0a0b5b308d50fe30fba88ae20d5e0ba
quantumew,https://api.github.com/repos/Netflix/falcor/pulls/932,https://api.github.com/repos/Netflix/falcor/issues/932,closed,2018-05-23,2018-05-26,2018-05-26,6258d1598082c51ebd8435ac8d9a6ed4ded45dde
ggd543,https://api.github.com/repos/Netflix/falcor/pulls/931,https://api.github.com/repos/Netflix/falcor/issues/931,closed,2018-04-26,2018-07-27,,2b8b51f778bd1269e31e6aaa2645aa116cf1c07c
emilgoldsmith,https://api.github.com/repos/Netflix/falcor/pulls/930,https://api.github.com/repos/Netflix/falcor/issues/930,closed,2018-04-23,2018-10-04,,dcea6702dbc130ba1f647b0e08838397eb0e2a63
eitanschreiber123,https://api.github.com/repos/Netflix/falcor/pulls/929,https://api.github.com/repos/Netflix/falcor/issues/929,closed,2018-04-22,2018-04-27,,29599e93db03448d1936f0111b07d0650d30e41f
