user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
zer-far,https://api.github.com/repos/containrrr/watchtower/pulls/1939,https://api.github.com/repos/containrrr/watchtower/issues/1939,open,2024-03-02,2024-03-02,,90a4fd505ad74160cd9309b4212fb70829b4f622
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1929,https://api.github.com/repos/containrrr/watchtower/issues/1929,open,2024-02-12,2024-02-12,,f700bae6cb06fb55e0464d7f26896f5b545fbd94
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1928,https://api.github.com/repos/containrrr/watchtower/issues/1928,open,2024-02-12,2024-02-12,,a2e2182c68dcbf61dc58f6b3a241874829be900b
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1927,https://api.github.com/repos/containrrr/watchtower/issues/1927,open,2024-02-12,2024-02-12,,cae08c312d82cc8bee448a19513ab25e368c8a3d
Qup42,https://api.github.com/repos/containrrr/watchtower/pulls/1924,https://api.github.com/repos/containrrr/watchtower/issues/1924,open,2024-02-06,2024-02-06,,edd8a1c8ecadeaac20b20b979e2c3326bebfae33
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1923,https://api.github.com/repos/containrrr/watchtower/issues/1923,open,2024-02-05,2024-02-05,,13f33bd140cd0034c196d9d71ded2cd94a73ecaf
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1922,https://api.github.com/repos/containrrr/watchtower/issues/1922,open,2024-02-05,2024-02-05,,47d1876e0abc06b952a49aa732cffbd446e11e28
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1921,https://api.github.com/repos/containrrr/watchtower/issues/1921,closed,2024-02-05,2024-02-12,,b6668ff18e4c6b679939e0ebff4b4a1e4f4cd75a
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1920,https://api.github.com/repos/containrrr/watchtower/issues/1920,closed,2024-02-05,2024-02-12,,528a7015c32182b26adf892fcc27dd51bd4a2f6d
lawrencegripper,https://api.github.com/repos/containrrr/watchtower/pulls/1917,https://api.github.com/repos/containrrr/watchtower/issues/1917,open,2024-02-01,2024-02-01,,075c8b83ca20c56e1ab563690b5868c53548728e
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1915,https://api.github.com/repos/containrrr/watchtower/issues/1915,closed,2024-01-29,2024-02-05,,f6bf0c7dee1a8e7668e0fc38c7c28e24778bfc81
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1914,https://api.github.com/repos/containrrr/watchtower/issues/1914,closed,2024-01-29,2024-02-05,,321a60f4c2c06829dc5317aa41e0f524d4795946
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1913,https://api.github.com/repos/containrrr/watchtower/issues/1913,open,2024-01-29,2024-01-29,,6a1062e1d28d2b3e9116ea455b30c123fb0b4dbb
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1910,https://api.github.com/repos/containrrr/watchtower/issues/1910,open,2024-01-22,2024-01-22,,60e1b5ab7578abd267a6c778b2d1c874da5d47d8
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1909,https://api.github.com/repos/containrrr/watchtower/issues/1909,closed,2024-01-22,2024-01-29,,b9cd54ebfc3a438abe04c193fff6d045f4a2d8a5
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1908,https://api.github.com/repos/containrrr/watchtower/issues/1908,closed,2024-01-22,2024-01-29,,d5a3ea80e202e2a57dc06e640f1532f292ac3b8d
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1898,https://api.github.com/repos/containrrr/watchtower/issues/1898,closed,2024-01-08,2024-02-12,,b195a05b518fcdc838964ed4a3fa372af66b61f9
dependabot[bot],https://api.github.com/repos/containrrr/watchtower/pulls/1897,https://api.github.com/repos/containrrr/watchtower/issues/1897,open,2024-01-08,2024-01-08,,c7bbe80f99c8ed3d3e73e8a9858b746e2a4eae11
piksel,https://api.github.com/repos/containrrr/watchtower/pulls/1895,https://api.github.com/repos/containrrr/watchtower/issues/1895,open,2024-01-06,2024-02-20,,d233774542171aac4dbec298c83dcb681633fc26
