user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
joaothallis,https://api.github.com/repos/jesseduffield/lazydocker/pulls/517,https://api.github.com/repos/jesseduffield/lazydocker/issues/517,open,2024-03-02,2024-03-02,,fe0bc994daa7c997d5393316521cfed02edd17da
jorgemxm,https://api.github.com/repos/jesseduffield/lazydocker/pulls/515,https://api.github.com/repos/jesseduffield/lazydocker/issues/515,open,2024-02-28,2024-02-28,,63d3175c08980d51b0e116717cb7ec21f0c0635b
rajiv-k,https://api.github.com/repos/jesseduffield/lazydocker/pulls/511,https://api.github.com/repos/jesseduffield/lazydocker/issues/511,open,2024-02-17,2024-02-17,,48bd4e102d4acf2ca4cd1e7c58c5fbb2317f1124
Vininhos,https://api.github.com/repos/jesseduffield/lazydocker/pulls/508,https://api.github.com/repos/jesseduffield/lazydocker/issues/508,open,2024-01-23,2024-03-02,,fe92e37f8b23f2d2a0cb16e07b9df91e932c2b96
bastianpedersen,https://api.github.com/repos/jesseduffield/lazydocker/pulls/506,https://api.github.com/repos/jesseduffield/lazydocker/issues/506,open,2024-01-15,2024-02-20,,46528e222d937af07b15f85418667f32f61b0d99
lars18th,https://api.github.com/repos/jesseduffield/lazydocker/pulls/505,https://api.github.com/repos/jesseduffield/lazydocker/issues/505,open,2024-01-12,2024-01-15,,c8f587fbcb528591968861eacb7c80cef2e8ba92
dependabot[bot],https://api.github.com/repos/jesseduffield/lazydocker/pulls/503,https://api.github.com/repos/jesseduffield/lazydocker/issues/503,open,2023-12-27,2023-12-27,,57fd94f31347809d7fedb5d569d7199990799732
m-mead,https://api.github.com/repos/jesseduffield/lazydocker/pulls/501,https://api.github.com/repos/jesseduffield/lazydocker/issues/501,closed,2023-11-22,2023-12-17,,a2e703c4d15835fcaa3cb04064b44d041ad71b40
dependabot[bot],https://api.github.com/repos/jesseduffield/lazydocker/pulls/496,https://api.github.com/repos/jesseduffield/lazydocker/issues/496,closed,2023-10-30,2023-12-27,,6fab3efe5044b57311badf3fff6b2d8e86bc6cd9
biran4454,https://api.github.com/repos/jesseduffield/lazydocker/pulls/495,https://api.github.com/repos/jesseduffield/lazydocker/issues/495,open,2023-10-25,2023-11-28,,dbdce74171be46dd8b9944558925c98bd09f87a0
jesseduffield,https://api.github.com/repos/jesseduffield/lazydocker/pulls/489,https://api.github.com/repos/jesseduffield/lazydocker/issues/489,closed,2023-10-12,2023-10-12,2023-10-12,8976f10120c2126c8ef8aec473b29a020edf7db4
jesseduffield,https://api.github.com/repos/jesseduffield/lazydocker/pulls/487,https://api.github.com/repos/jesseduffield/lazydocker/issues/487,closed,2023-10-10,2023-10-10,2023-10-10,cce9d40f43c08c42a401135467aec4500895b21a
jesseduffield,https://api.github.com/repos/jesseduffield/lazydocker/pulls/486,https://api.github.com/repos/jesseduffield/lazydocker/issues/486,closed,2023-10-09,2023-10-10,2023-10-10,b2525f4629c2397ae093dbd9682f264b6b11bf2d
miguelfferraz,https://api.github.com/repos/jesseduffield/lazydocker/pulls/479,https://api.github.com/repos/jesseduffield/lazydocker/issues/479,closed,2023-09-04,2023-09-20,2023-09-19,50582db9b74237c9bdff837c333bad17f8d87415
testwill,https://api.github.com/repos/jesseduffield/lazydocker/pulls/477,https://api.github.com/repos/jesseduffield/lazydocker/issues/477,closed,2023-08-30,2023-10-09,2023-10-09,953e56065d1ebe6827ea6fefebd52d7d8e3c5448
helgeblod,https://api.github.com/repos/jesseduffield/lazydocker/pulls/476,https://api.github.com/repos/jesseduffield/lazydocker/issues/476,closed,2023-08-28,2023-08-28,2023-08-28,71e8e43b063c13af8140fda78c37f2be211cf523
EmilyGraceSeville7cf,https://api.github.com/repos/jesseduffield/lazydocker/pulls/474,https://api.github.com/repos/jesseduffield/lazydocker/issues/474,closed,2023-08-11,2023-10-09,2023-10-09,9e90d2f4f20dae954e9d8c81ad6c8756dac7f791
luisnquin,https://api.github.com/repos/jesseduffield/lazydocker/pulls/473,https://api.github.com/repos/jesseduffield/lazydocker/issues/473,closed,2023-08-11,2023-10-09,2023-10-09,d2dd4db582ef1d0128be3cf7854dd20368d37b7b
