user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
cyberw,https://api.github.com/repos/locustio/locust/pulls/2619,https://api.github.com/repos/locustio/locust/issues/2619,closed,2024-02-29,2024-03-01,2024-03-01,7f3d735112275e76a560be3208b76495f8d02190
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2618,https://api.github.com/repos/locustio/locust/issues/2618,closed,2024-02-29,2024-02-29,2024-02-29,a816e18e9d3a7f20d3a074ae60555cc46d768da7
skyanth,https://api.github.com/repos/locustio/locust/pulls/2615,https://api.github.com/repos/locustio/locust/issues/2615,closed,2024-02-28,2024-02-29,2024-02-29,8d639d9da2f827d88eb6dc54503058460462d8e9
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2613,https://api.github.com/repos/locustio/locust/issues/2613,closed,2024-02-26,2024-02-26,2024-02-26,355d2e832f2c58ea2510466c82d17b32a0946f10
alzex3,https://api.github.com/repos/locustio/locust/pulls/2612,https://api.github.com/repos/locustio/locust/issues/2612,closed,2024-02-24,2024-02-27,2024-02-27,40d3e3251179289333d39ac9f8f44162c14c6c64
FooQoo,https://api.github.com/repos/locustio/locust/pulls/2611,https://api.github.com/repos/locustio/locust/issues/2611,closed,2024-02-23,2024-02-23,2024-02-23,0c286a3b18af7835dba83a5552e473edf4e92374
ilyabe,https://api.github.com/repos/locustio/locust/pulls/2610,https://api.github.com/repos/locustio/locust/issues/2610,open,2024-02-22,2024-02-25,,8c91d3053e560f22ada15383b9da3bb46213a5da
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2609,https://api.github.com/repos/locustio/locust/issues/2609,closed,2024-02-22,2024-02-26,2024-02-22,6ce340bc61624d39e3df5dbfdd3e20def3164638
mgor,https://api.github.com/repos/locustio/locust/pulls/2606,https://api.github.com/repos/locustio/locust/issues/2606,closed,2024-02-16,2024-02-20,2024-02-20,cc5e373ab48f402918b8e6f5197d1c97b689074c
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2605,https://api.github.com/repos/locustio/locust/issues/2605,closed,2024-02-15,2024-02-15,2024-02-15,a0a3700c05793f6a99b45f49e48b19e79b90cda0
DennisKrone,https://api.github.com/repos/locustio/locust/pulls/2604,https://api.github.com/repos/locustio/locust/issues/2604,closed,2024-02-15,2024-02-15,2024-02-15,95619ba8db09addfbc96a74130244861789ae7da
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2601,https://api.github.com/repos/locustio/locust/issues/2601,closed,2024-02-11,2024-02-11,2024-02-11,e4739df6f25afc10b1fb156d3c108138d8ed7fa7
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2600,https://api.github.com/repos/locustio/locust/issues/2600,closed,2024-02-11,2024-02-11,2024-02-11,4e06922fbb9c1d464505c483c46e99ea34589bb7
cyberw,https://api.github.com/repos/locustio/locust/pulls/2599,https://api.github.com/repos/locustio/locust/issues/2599,closed,2024-02-11,2024-02-11,2024-02-11,c8730e60648ea81b052ef5017aa7a21c86c560df
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2596,https://api.github.com/repos/locustio/locust/issues/2596,closed,2024-02-09,2024-02-09,2024-02-09,26683f4d6a307a2ada6cad0b945d0276527ce6ca
DennisKrone,https://api.github.com/repos/locustio/locust/pulls/2595,https://api.github.com/repos/locustio/locust/issues/2595,closed,2024-02-09,2024-02-11,2024-02-11,41c15e70c19aaccd6aa433f38d6523285e4ccac6
dorin131,https://api.github.com/repos/locustio/locust/pulls/2592,https://api.github.com/repos/locustio/locust/issues/2592,closed,2024-02-07,2024-02-07,2024-02-07,6146a7055ee9bbc12d38a9db34a868133d2d52da
cyberw,https://api.github.com/repos/locustio/locust/pulls/2591,https://api.github.com/repos/locustio/locust/issues/2591,closed,2024-02-07,2024-02-07,2024-02-07,c0a22906816ed9668cbd59b6a9d6aadc6f4fddf3
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2590,https://api.github.com/repos/locustio/locust/issues/2590,closed,2024-02-06,2024-02-07,2024-02-07,f254816a57065dd9382104544e088ed02234fed4
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2589,https://api.github.com/repos/locustio/locust/issues/2589,closed,2024-02-06,2024-02-06,2024-02-06,550c6eaeaad39035a5c3d61dad6da36340148ae2
cyberw,https://api.github.com/repos/locustio/locust/pulls/2587,https://api.github.com/repos/locustio/locust/issues/2587,closed,2024-02-06,2024-02-06,2024-02-06,a804b8548af74300ac1b082f9272b29cc047391c
cyberw,https://api.github.com/repos/locustio/locust/pulls/2586,https://api.github.com/repos/locustio/locust/issues/2586,closed,2024-02-06,2024-02-07,,26557647b869cfa4fad10464821eb4ae3bb7a48e
KaushikPathak90,https://api.github.com/repos/locustio/locust/pulls/2584,https://api.github.com/repos/locustio/locust/issues/2584,closed,2024-02-06,2024-02-06,2024-02-06,7c8efb78cedace5f4821eae048e26aeccba5f4b9
cyberw,https://api.github.com/repos/locustio/locust/pulls/2583,https://api.github.com/repos/locustio/locust/issues/2583,closed,2024-02-05,2024-02-08,2024-02-08,bf02feb6311fa395b4415bcb7053010d995b9791
cyberw,https://api.github.com/repos/locustio/locust/pulls/2580,https://api.github.com/repos/locustio/locust/issues/2580,closed,2024-02-04,2024-02-05,2024-02-05,2842e992151c2ea9dc210533543aa33bde822ff0
cyberw,https://api.github.com/repos/locustio/locust/pulls/2579,https://api.github.com/repos/locustio/locust/issues/2579,closed,2024-02-02,2024-02-05,2024-02-05,af491c5eb827a1b81ac7ee9f0a2ed9dea4cbc21c
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2577,https://api.github.com/repos/locustio/locust/issues/2577,closed,2024-02-01,2024-02-01,2024-02-01,dbcee626b60ea6271f4c9c46407a33cf3467a78b
mgor,https://api.github.com/repos/locustio/locust/pulls/2576,https://api.github.com/repos/locustio/locust/issues/2576,closed,2024-02-01,2024-02-05,2024-02-05,ba189b16ee80a7659815835c293323eee5353f44
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2573,https://api.github.com/repos/locustio/locust/issues/2573,closed,2024-01-30,2024-02-04,2024-01-30,8af34939dd38ba947709449db694197bf8d406ca
andrewbaldwin44,https://api.github.com/repos/locustio/locust/pulls/2572,https://api.github.com/repos/locustio/locust/issues/2572,closed,2024-01-30,2024-01-30,2024-01-30,a4ab5a46d29040bd5f79d8eedfaf3795b40e4844
tdadela,https://api.github.com/repos/locustio/locust/pulls/2571,https://api.github.com/repos/locustio/locust/issues/2571,closed,2024-01-29,2024-01-30,,d38ebaf2e547630bc5bdcf529b3082676efe3bc4
