user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
platypusrex,https://api.github.com/repos/styled-components/styled-components/pulls/4269,https://api.github.com/repos/styled-components/styled-components/issues/4269,closed,2024-02-29,2024-02-29,,
iiroj,https://api.github.com/repos/styled-components/styled-components/pulls/4249,https://api.github.com/repos/styled-components/styled-components/issues/4249,open,2024-01-09,2024-01-09,,7597764307467f7becd784fac9f77aaa695f1d3d
quantizor,https://api.github.com/repos/styled-components/styled-components/pulls/4245,https://api.github.com/repos/styled-components/styled-components/issues/4245,closed,2023-12-27,2023-12-27,2023-12-27,29e0445a8c19cf9c54435449fa05002f9b3c9d40
quantizor,https://api.github.com/repos/styled-components/styled-components/pulls/4244,https://api.github.com/repos/styled-components/styled-components/issues/4244,closed,2023-12-27,2023-12-27,2023-12-27,b6fe70d6ad7048e662f99f211cca0d2448a9c9a5
quantizor,https://api.github.com/repos/styled-components/styled-components/pulls/4243,https://api.github.com/repos/styled-components/styled-components/issues/4243,closed,2023-12-27,2024-01-08,2024-01-08,20eb8eff2bcedaa2645b0f3c90bea2281c8044eb
quantizor,https://api.github.com/repos/styled-components/styled-components/pulls/4242,https://api.github.com/repos/styled-components/styled-components/issues/4242,closed,2023-12-27,2024-02-25,2023-12-27,ef9097dfde422b14804af102c62a86e23696934c
quantizor,https://api.github.com/repos/styled-components/styled-components/pulls/4241,https://api.github.com/repos/styled-components/styled-components/issues/4241,closed,2023-12-27,2023-12-27,2023-12-27,b34036a7879d1b2803fd89711449bd501a32e174
quantizor,https://api.github.com/repos/styled-components/styled-components/pulls/4238,https://api.github.com/repos/styled-components/styled-components/issues/4238,closed,2023-12-22,2024-02-02,2023-12-22,93ea0f339e5ba360db7ddd8c92b8c4d1ab0f9051
benjaminrae,https://api.github.com/repos/styled-components/styled-components/pulls/4237,https://api.github.com/repos/styled-components/styled-components/issues/4237,closed,2023-12-20,2023-12-22,2023-12-22,69d6f33f3e2594222bf93d6cdd679b5bc5aeaec6
justinbhopper,https://api.github.com/repos/styled-components/styled-components/pulls/4236,https://api.github.com/repos/styled-components/styled-components/issues/4236,closed,2023-12-20,2023-12-22,2023-12-22,c38ee2a35ed044d1ded3dcb47b799f236f5b0c31
justinbhopper,https://api.github.com/repos/styled-components/styled-components/pulls/4230,https://api.github.com/repos/styled-components/styled-components/issues/4230,closed,2023-12-15,2023-12-20,2023-12-20,b6af93e1473bdc3da224033f53e83be0ab045955
