user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
sywhang,https://api.github.com/repos/uber-go/zap/pulls/1419,https://api.github.com/repos/uber-go/zap/issues/1419,closed,2024-02-20,2024-02-20,2024-02-20,fcf8ee58669e358bbd6460bef5c2ee7a53c0803a
abhinav,https://api.github.com/repos/uber-go/zap/pulls/1418,https://api.github.com/repos/uber-go/zap/issues/1418,closed,2024-02-17,2024-02-17,2024-02-17,0e2aa4e0412dfb49d87f9ec96b47c8296189cfa3
dependabot[bot],https://api.github.com/repos/uber-go/zap/pulls/1417,https://api.github.com/repos/uber-go/zap/issues/1417,closed,2024-02-12,2024-02-12,2024-02-12,2a893f61347ef844d78dcb4ad3b454ee11ae7641
MKrupauskas,https://api.github.com/repos/uber-go/zap/pulls/1416,https://api.github.com/repos/uber-go/zap/issues/1416,closed,2024-02-09,2024-02-20,2024-02-20,e5a56ee593d51f611de3a73cf3140f1c1927d68e
justinhwang,https://api.github.com/repos/uber-go/zap/pulls/1414,https://api.github.com/repos/uber-go/zap/issues/1414,open,2024-02-07,2024-03-04,,bfed66c1553e28b509385a4e9ac21a393941ad60
arukiidou,https://api.github.com/repos/uber-go/zap/pulls/1413,https://api.github.com/repos/uber-go/zap/issues/1413,open,2024-02-07,2024-03-04,,9eaa108435476797f8f20511c141549f0d3df6ed
arukiidou,https://api.github.com/repos/uber-go/zap/pulls/1411,https://api.github.com/repos/uber-go/zap/issues/1411,closed,2024-02-06,2024-02-06,2024-02-06,7db06bc9b095571d3dc3d4eebdfbe4dd9bd20405
dependabot[bot],https://api.github.com/repos/uber-go/zap/pulls/1410,https://api.github.com/repos/uber-go/zap/issues/1410,closed,2024-02-05,2024-02-20,2024-02-20,8f5ee80ab2dbc713823341ce30334cd9c03a98e5
arukiidou,https://api.github.com/repos/uber-go/zap/pulls/1409,https://api.github.com/repos/uber-go/zap/issues/1409,closed,2024-02-03,2024-02-07,2024-02-07,e5745d6095ecc2497281569e8713835f2c4a029f
arukiidou,https://api.github.com/repos/uber-go/zap/pulls/1408,https://api.github.com/repos/uber-go/zap/issues/1408,closed,2024-02-02,2024-02-05,2024-02-05,35ded09102db8ce0b2eba3e87f54ba6ce14f2359
arxeiss,https://api.github.com/repos/uber-go/zap/pulls/1406,https://api.github.com/repos/uber-go/zap/issues/1406,closed,2024-01-29,2024-02-13,2024-02-13,956a21c19cf77ea7a78f9f08ca44b6f77f95053a
arukiidou,https://api.github.com/repos/uber-go/zap/pulls/1404,https://api.github.com/repos/uber-go/zap/issues/1404,closed,2024-01-28,2024-01-29,2024-01-29,70f61bb342203a50f8192b05f7faf40a0f809a91
arukiidou,https://api.github.com/repos/uber-go/zap/pulls/1403,https://api.github.com/repos/uber-go/zap/issues/1403,closed,2024-01-28,2024-02-05,,706982f81810f7c5aa9a0a74c7b9ef7d7d9ecd1a
dimmo,https://api.github.com/repos/uber-go/zap/pulls/1399,https://api.github.com/repos/uber-go/zap/issues/1399,closed,2023-12-30,2024-01-31,2024-01-31,27b96e378909082d0bf2f0c5802a9f648150fe98
