created_at,pull_requests
2011-12-15,1
2012-01-12,1
2012-03-13,2
2012-03-14,1
2012-04-04,1
2012-06-21,1
2012-07-07,1
2012-09-03,2
2012-09-04,4
2012-09-05,1
2012-09-06,3
2012-09-09,1
2012-09-14,1
2012-09-20,1
2012-10-08,1
2012-10-15,1
2012-10-19,1
2012-10-22,1
2012-10-24,1
2012-11-02,2
2012-11-08,1
2012-11-09,1
2012-11-10,1
2012-11-11,1
2012-11-18,1
2012-11-29,2
2012-12-03,1
2012-12-04,1
2012-12-07,1
2012-12-10,1
2012-12-14,1
2012-12-15,1
2012-12-30,1
2013-01-11,1
2013-01-12,1
2013-01-19,1
2013-01-20,1
2013-01-31,1
2013-02-07,1
2013-02-14,2
2013-02-15,1
2013-02-16,1
2013-02-17,1
2013-02-20,1
2013-02-21,1
2013-02-22,1
2013-02-26,1
2013-03-05,3
2013-03-06,1
2013-03-07,1
2013-03-10,1
2013-03-15,1
2013-03-18,1
2013-03-19,2
2013-03-24,1
2013-03-25,2
2013-03-26,3
2013-03-28,2
2013-03-29,2
2013-04-03,1
2013-04-08,1
2013-04-14,1
2013-04-26,1
2013-05-24,1
2013-07-28,2
2013-07-30,1
2013-07-31,4
2013-08-01,2
2013-08-23,1
2013-09-07,2
2013-09-17,1
2013-11-17,1
2013-12-20,1
2013-12-23,1
2013-12-24,1
2014-01-21,1
2014-02-05,1
2014-02-21,1
2014-03-14,1
2014-03-16,1
2014-03-18,2
2014-03-27,2
2014-04-22,1
2014-05-26,2
2014-05-27,1
2014-06-03,2
2014-06-08,1
2014-06-17,1
2014-07-03,1
2014-08-09,1
2014-09-10,1
2014-09-11,1
2014-10-04,1
2014-10-30,2
2014-10-31,1
2014-11-03,1
2014-11-10,1
2014-11-16,1
2014-12-10,1
2014-12-11,1
2014-12-14,1
2014-12-15,1
2014-12-27,1
2014-12-30,2
2015-01-01,2
2015-01-03,1
2015-01-10,1
2015-01-13,1
2015-01-16,1
2015-01-17,3
2015-01-18,1
2015-01-19,2
2015-01-20,1
2015-01-23,1
2015-01-24,2
2015-01-26,1
2015-01-31,1
2015-02-17,1
2015-02-25,1
2015-03-17,1
2015-03-26,1
2015-03-30,1
2015-04-01,2
2015-04-04,1
2015-04-06,1
2015-04-07,1
2015-04-19,2
2015-05-01,1
2015-05-05,2
2015-05-06,3
2015-05-07,9
2015-05-08,6
2015-05-09,3
2015-05-13,2
2015-05-14,2
2015-05-25,2
2015-06-02,1
2015-06-30,1
2015-07-07,1
2015-07-08,1
2015-07-15,1
2015-07-16,1
2015-07-19,1
2015-07-20,1
2015-07-27,1
2015-07-28,1
2015-08-20,1
2015-08-22,4
2015-08-26,1
2015-08-29,2
2015-09-05,1
2015-09-08,4
2015-09-10,1
2015-09-12,1
2015-09-13,3
2015-09-16,2
2015-09-20,1
2015-09-23,1
2015-10-03,1
2015-10-05,2
2015-10-06,1
2015-10-11,2
2015-10-19,1
2015-10-20,2
2015-10-21,1
2015-11-07,1
2015-11-25,1
2015-12-01,2
2015-12-02,2
2015-12-03,2
2015-12-08,2
2015-12-14,2
2015-12-15,1
2015-12-16,2
2016-01-07,1
2016-01-10,4
2016-01-22,1
2016-01-25,2
2016-01-26,1
2016-02-07,1
2016-02-10,1
2016-02-11,1
2016-02-15,1
2016-02-21,1
2016-02-22,1
2016-02-24,1
2016-03-04,1
2016-03-05,1
2016-03-06,1
2016-03-09,1
2016-03-17,3
2016-03-24,1
2016-03-25,1
2016-03-27,1
2016-03-28,2
2016-03-29,1
