user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Prateek2000,https://api.github.com/repos/Legrandin/pycryptodome/pulls/798,https://api.github.com/repos/Legrandin/pycryptodome/issues/798,open,2024-02-18,2024-02-18,,ce47875b2d7e5ddb06a914147df81274d8c58554
Blinky-Keys,https://api.github.com/repos/Legrandin/pycryptodome/pulls/797,https://api.github.com/repos/Legrandin/pycryptodome/issues/797,open,2024-02-18,2024-02-18,,57b1343fa71821a1be1c68b24f67f15a3714717c
Bl4omArchie,https://api.github.com/repos/Legrandin/pycryptodome/pulls/792,https://api.github.com/repos/Legrandin/pycryptodome/issues/792,closed,2023-12-28,2023-12-28,2023-12-28,544338e32cf1b8a44f1c8fdee12d28302949ddad
jelaiw,https://api.github.com/repos/Legrandin/pycryptodome/pulls/789,https://api.github.com/repos/Legrandin/pycryptodome/issues/789,closed,2023-12-26,2023-12-27,2023-12-27,10e8216079e6965eddac4bf293c3049a8b76b5d7
nltd101,https://api.github.com/repos/Legrandin/pycryptodome/pulls/784,https://api.github.com/repos/Legrandin/pycryptodome/issues/784,open,2023-12-07,2023-12-15,,65f078c1c6bae63fdd95421c1f32b6b776119ff2
jelaiw,https://api.github.com/repos/Legrandin/pycryptodome/pulls/783,https://api.github.com/repos/Legrandin/pycryptodome/issues/783,closed,2023-11-30,2023-12-12,2023-12-12,c9f1288c6bf240e0397606216e9bfdf1950ef6a6
jrisc,https://api.github.com/repos/Legrandin/pycryptodome/pulls/781,https://api.github.com/repos/Legrandin/pycryptodome/issues/781,open,2023-11-15,2023-11-15,,09455d3cc1976f57608de0f2c938cc7da28e7232
solney,https://api.github.com/repos/Legrandin/pycryptodome/pulls/779,https://api.github.com/repos/Legrandin/pycryptodome/issues/779,open,2023-11-08,2023-11-08,,674ee6f63350520cd4e45965d344cb433a8ade62
Emojigit,https://api.github.com/repos/Legrandin/pycryptodome/pulls/776,https://api.github.com/repos/Legrandin/pycryptodome/issues/776,closed,2023-10-27,2023-12-12,2023-12-12,ee91c677a0862914aa7c0bf5829dc59306a93630
jelaiw,https://api.github.com/repos/Legrandin/pycryptodome/pulls/773,https://api.github.com/repos/Legrandin/pycryptodome/issues/773,closed,2023-10-09,2023-12-12,2023-12-12,43a466d170a5e28187732b90b2a7594ab06b6c6d
jelaiw,https://api.github.com/repos/Legrandin/pycryptodome/pulls/772,https://api.github.com/repos/Legrandin/pycryptodome/issues/772,closed,2023-10-09,2023-10-09,,3eccb3634ae8198ac6d3fd403a7e5bea4cb4d8db
jamieluckett,https://api.github.com/repos/Legrandin/pycryptodome/pulls/769,https://api.github.com/repos/Legrandin/pycryptodome/issues/769,closed,2023-09-29,2023-09-30,2023-09-30,0be97e627a1d4c4398dc933545e2bd3fbf0f8e85
jelaiw,https://api.github.com/repos/Legrandin/pycryptodome/pulls/768,https://api.github.com/repos/Legrandin/pycryptodome/issues/768,closed,2023-09-24,2023-09-24,2023-09-24,6b7a58f5e7f04870851ce135fec5572d2b99f03e
jelaiw,https://api.github.com/repos/Legrandin/pycryptodome/pulls/763,https://api.github.com/repos/Legrandin/pycryptodome/issues/763,closed,2023-09-04,2023-09-13,2023-09-13,d1598cde9f19ec879fddaad63c66f62515c829df
ileanadumitrescu95,https://api.github.com/repos/Legrandin/pycryptodome/pulls/761,https://api.github.com/repos/Legrandin/pycryptodome/issues/761,closed,2023-08-08,2023-08-08,2023-08-08,d44cfcec51e1520e23442afc9c6a631f262e71d3
cclauss,https://api.github.com/repos/Legrandin/pycryptodome/pulls/758,https://api.github.com/repos/Legrandin/pycryptodome/issues/758,closed,2023-08-01,2023-09-13,,983aedb84bd2ab4df15ccb098d546eed174796f0
jeremyd2019,https://api.github.com/repos/Legrandin/pycryptodome/pulls/757,https://api.github.com/repos/Legrandin/pycryptodome/issues/757,open,2023-07-27,2023-08-07,,18c43eb3e217c41e02e36681297ac3446cdb90ee
