user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1637,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1637,open,2024-03-02,2024-03-02,,b555996b4c68b9c9353f57e96230d7efc812d043
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1636,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1636,open,2024-02-28,2024-02-29,,e3d406fe8f90623bb7840da1f80823a36ad739d3
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1635,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1635,open,2024-02-28,2024-02-28,,8954f57ac39bb43e5bd8e7180f975cc28527e6e9
jborean93,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1632,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1632,open,2024-02-27,2024-02-27,,93a820aa539f797f33e6e8f0d111f5ce2c4f326f
mokarchi,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1630,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1630,closed,2024-02-23,2024-02-26,2024-02-26,783c482bbb1d59e02e6859fd5397ebda95774f3c
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1628,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1628,closed,2024-02-22,2024-02-25,2024-02-24,59430c38879a5780ee296e686901e78f33ea17e6
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1627,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1627,closed,2024-02-21,2024-02-26,2024-02-26,9ee7b8fbe4b8f5963405c47d10d7fb6eb8eb80c6
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1626,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1626,closed,2024-02-21,2024-02-22,,54fe4b4ca669a8c384c58363d6c052ab5152a597
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1623,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1623,closed,2024-02-19,2024-02-19,2024-02-19,aa1d224b09fa66f4bd134711cf8c07aab9ef57ba
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1622,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1622,closed,2024-02-19,2024-02-19,2024-02-19,440a26a41dfda4f5131d67c61f0007277ceeeaa9
daveMueller,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1621,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1621,closed,2024-02-19,2024-02-19,2024-02-19,ae591a87f597edbf6393fdf0fc2a092aee88ae38
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1617,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1617,closed,2024-02-14,2024-02-29,,78e265f580b1e1db890bac6b063bb36507769e23
dependabot[bot],https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1616,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1616,closed,2024-02-13,2024-02-13,2024-02-13,16b9883710bf6ff771de3b0ce66a9dfa38e05a4a
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1609,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1609,closed,2024-02-06,2024-02-09,2024-02-09,50fbaa7bb91cf0c5bdc0a1888f393782e34135fb
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1608,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1608,closed,2024-02-03,2024-02-08,,95ae8f3cd8a329d2d95ddcff8a8b8276f4d644d9
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1606,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1606,closed,2024-02-01,2024-02-05,,47e78cdd26d6cdeda035cba8da21f496f04e3ef4
Bertk,https://api.github.com/repos/coverlet-coverage/coverlet/pulls/1604,https://api.github.com/repos/coverlet-coverage/coverlet/issues/1604,closed,2024-01-30,2024-02-03,2024-02-01,9321d2e2cc28eef46052134c17ae0351f0318adc
