user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
nicolaj-hartmann,https://api.github.com/repos/eventflow/EventFlow/pulls/1015,https://api.github.com/repos/eventflow/EventFlow/issues/1015,open,2024-02-13,2024-02-28,,69a4ebb93f2e2159b3b71834f28736028ccc9017
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1014,https://api.github.com/repos/eventflow/EventFlow/issues/1014,open,2024-01-16,2024-01-16,,454a25a26022caeeea757f00e8b50d4e95468c4b
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1013,https://api.github.com/repos/eventflow/EventFlow/issues/1013,open,2023-12-14,2024-02-20,,9b24ea2c663de953e49fc360244b22582a8b6993
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1012,https://api.github.com/repos/eventflow/EventFlow/issues/1012,closed,2023-12-13,2024-02-20,2024-02-20,908b7b36abb1b374a47646cb2b5be42ff5999f76
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1011,https://api.github.com/repos/eventflow/EventFlow/issues/1011,open,2023-12-12,2024-02-20,,270ebf69ffc2a98bc7e6d748300670057ef9e2d7
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1010,https://api.github.com/repos/eventflow/EventFlow/issues/1010,open,2023-12-12,2024-02-20,,85d787943876f972f4727f5de87a8971095ef902
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1009,https://api.github.com/repos/eventflow/EventFlow/issues/1009,closed,2023-12-12,2024-02-20,2024-02-20,b277c52ea409c52e5f5b78f9cedfd0b3d399015d
SeWaS,https://api.github.com/repos/eventflow/EventFlow/pulls/1008,https://api.github.com/repos/eventflow/EventFlow/issues/1008,open,2023-10-30,2024-01-19,,054a8fd8505a202859464eaf55f3dab6594c5623
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/1007,https://api.github.com/repos/eventflow/EventFlow/issues/1007,closed,2023-09-26,2023-09-26,,
dependabot[bot],https://api.github.com/repos/eventflow/EventFlow/pulls/1004,https://api.github.com/repos/eventflow/EventFlow/issues/1004,closed,2023-09-04,2023-12-12,,570e51cb469f4730c6970b8e13e81b0c101fa30b
rasmus,https://api.github.com/repos/eventflow/EventFlow/pulls/1001,https://api.github.com/repos/eventflow/EventFlow/issues/1001,closed,2023-08-09,2023-11-15,,fdf67962fe88ccceb01ec52c41b431fc1bf4a57c
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/1000,https://api.github.com/repos/eventflow/EventFlow/issues/1000,closed,2023-06-20,2023-09-27,,39f5e15480e3cac8b35766696ed4cc93dadc6717
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/999,https://api.github.com/repos/eventflow/EventFlow/issues/999,closed,2023-06-17,2023-09-24,,62c10bbd63a17182f825dd475642a223ee118e80
rasmus,https://api.github.com/repos/eventflow/EventFlow/pulls/998,https://api.github.com/repos/eventflow/EventFlow/issues/998,closed,2023-06-13,2023-06-13,2023-06-13,ed8941a8e58c9596fb904e27a2954a3339681669
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/997,https://api.github.com/repos/eventflow/EventFlow/issues/997,closed,2023-06-10,2023-06-13,2023-06-13,c917d4fa2f4ad935983d2a6edecffa2473eab4ae
rasmus,https://api.github.com/repos/eventflow/EventFlow/pulls/996,https://api.github.com/repos/eventflow/EventFlow/issues/996,closed,2023-06-08,2023-06-09,2023-06-09,54bd1d7d871125fcfe61e5bb907758fc115dd7c0
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/995,https://api.github.com/repos/eventflow/EventFlow/issues/995,closed,2023-06-05,2023-06-10,,fb05ad143ccd372a2a3eb01782f517fdde38b535
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/994,https://api.github.com/repos/eventflow/EventFlow/issues/994,closed,2023-05-29,2023-09-26,,4dd510ae50323d569c4944298cc3c6c3de6a8ce1
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/993,https://api.github.com/repos/eventflow/EventFlow/issues/993,closed,2023-05-28,2023-09-26,,b24b50dd0d70d010a8a20e2bb86883dfb775e281
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/992,https://api.github.com/repos/eventflow/EventFlow/issues/992,closed,2023-05-28,2023-05-28,,
rasmus,https://api.github.com/repos/eventflow/EventFlow/pulls/991,https://api.github.com/repos/eventflow/EventFlow/issues/991,closed,2023-05-23,2023-06-08,,e7dbec4ce3d021ea11c0e630f4cbec80842cc6ac
rasmus,https://api.github.com/repos/eventflow/EventFlow/pulls/990,https://api.github.com/repos/eventflow/EventFlow/issues/990,closed,2023-05-23,2023-05-24,,1a5ddb460339fb5460fb19801e1d5ecc5eb20154
joshua211,https://api.github.com/repos/eventflow/EventFlow/pulls/989,https://api.github.com/repos/eventflow/EventFlow/issues/989,closed,2023-05-22,2023-05-23,2023-05-23,d9a07cce72a6acc3f3125964f499a3329ae6bf5d
kyle-bradley,https://api.github.com/repos/eventflow/EventFlow/pulls/988,https://api.github.com/repos/eventflow/EventFlow/issues/988,closed,2023-05-21,2023-08-27,,d8b5842c81d04a073b335d1febb7eef3506d9d99
