user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/grafana/pyroscope/pulls/3083,https://api.github.com/repos/grafana/pyroscope/issues/3083,open,2024-03-04,2024-03-04,,cd00a80d399cb19d245fc227de956b57e75dd1d5
dependabot[bot],https://api.github.com/repos/grafana/pyroscope/pulls/3082,https://api.github.com/repos/grafana/pyroscope/issues/3082,open,2024-03-04,2024-03-04,,8cdb60b6a3e7433e1d35230e3ce5f1b7638f98f2
github-actions[bot],https://api.github.com/repos/grafana/pyroscope/pulls/3079,https://api.github.com/repos/grafana/pyroscope/issues/3079,closed,2024-03-01,2024-03-01,2024-03-01,650a59f4c61a0d7fb7843b951505d8a795b7e5a4
github-actions[bot],https://api.github.com/repos/grafana/pyroscope/pulls/3077,https://api.github.com/repos/grafana/pyroscope/issues/3077,open,2024-03-01,2024-03-03,,e24c2a74cc871c8b28c9ab0600da6ef9af12a105
knylander-grafana,https://api.github.com/repos/grafana/pyroscope/pulls/3076,https://api.github.com/repos/grafana/pyroscope/issues/3076,closed,2024-03-01,2024-03-01,2024-03-01,d25d50f93eb030ce17e59c1714841afecf322372
knylander-grafana,https://api.github.com/repos/grafana/pyroscope/pulls/3075,https://api.github.com/repos/grafana/pyroscope/issues/3075,closed,2024-03-01,2024-03-01,,f0cd0c0a5eae92f4a49c893757f431ee8226c2e2
knylander-grafana,https://api.github.com/repos/grafana/pyroscope/pulls/3074,https://api.github.com/repos/grafana/pyroscope/issues/3074,closed,2024-03-01,2024-03-01,,01366221264d145ff3fed91e13b71aa8dad12d91
knylander-grafana,https://api.github.com/repos/grafana/pyroscope/pulls/3073,https://api.github.com/repos/grafana/pyroscope/issues/3073,closed,2024-03-01,2024-03-01,2024-03-01,17f53f82133e955aa3c1b9f94aa569689df52549
knylander-grafana,https://api.github.com/repos/grafana/pyroscope/pulls/3071,https://api.github.com/repos/grafana/pyroscope/issues/3071,closed,2024-02-29,2024-02-29,2024-02-29,dd339e54016ea3e5c3c5961bcac822a7045a5633
github-actions[bot],https://api.github.com/repos/grafana/pyroscope/pulls/3070,https://api.github.com/repos/grafana/pyroscope/issues/3070,closed,2024-02-29,2024-02-29,2024-02-29,6e75515252b491041fa1fba89a3493f95c2f9d48
