user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/microsoft/onefuzz/pulls/3612,https://api.github.com/repos/microsoft/onefuzz/issues/3612,open,2023-11-01,2023-11-01,,d75f7c11b6945c8796e8c4314d96c0783b2e1b4f
chkeita,https://api.github.com/repos/microsoft/onefuzz/pulls/3611,https://api.github.com/repos/microsoft/onefuzz/issues/3611,open,2023-10-31,2023-10-31,,93c0f18f752737420876ece7935f0e1e43c4b7cb
nharper285,https://api.github.com/repos/microsoft/onefuzz/pulls/3610,https://api.github.com/repos/microsoft/onefuzz/issues/3610,closed,2023-10-30,2023-10-31,2023-10-31,ca6f3cdfd9318cf0bccf01c2ca61242cfe0a91f4
nharper285,https://api.github.com/repos/microsoft/onefuzz/pulls/3609,https://api.github.com/repos/microsoft/onefuzz/issues/3609,closed,2023-10-30,2023-10-30,,bc2474f940556749b22cb6579929b2001e9fea69
chkeita,https://api.github.com/repos/microsoft/onefuzz/pulls/3608,https://api.github.com/repos/microsoft/onefuzz/issues/3608,closed,2023-10-30,2023-10-31,2023-10-31,902557f78c8fa1288bc6112eebd8ecaea31e668f
nharper285,https://api.github.com/repos/microsoft/onefuzz/pulls/3607,https://api.github.com/repos/microsoft/onefuzz/issues/3607,closed,2023-10-27,2023-10-31,2023-10-31,82fffbe8adc047f055cb4fddcae17e9e1244423e
dependabot[bot],https://api.github.com/repos/microsoft/onefuzz/pulls/3606,https://api.github.com/repos/microsoft/onefuzz/issues/3606,closed,2023-10-26,2023-10-27,,5609674e8623f6cb0fcd1cfdae37abbeba5fe5b0
nharper285,https://api.github.com/repos/microsoft/onefuzz/pulls/3605,https://api.github.com/repos/microsoft/onefuzz/issues/3605,closed,2023-10-26,2023-10-26,2023-10-26,5cf619ee8fac3062d63f855556015693a632bafa
Porges,https://api.github.com/repos/microsoft/onefuzz/pulls/3603,https://api.github.com/repos/microsoft/onefuzz/issues/3603,open,2023-10-26,2023-10-30,,7e50508cee66fd92290149d7f4f225dacba99202
kananb,https://api.github.com/repos/microsoft/onefuzz/pulls/3602,https://api.github.com/repos/microsoft/onefuzz/issues/3602,open,2023-10-25,2023-10-31,,06c355e621dd3b27b5ac9383288d39af44fea127
nharper285,https://api.github.com/repos/microsoft/onefuzz/pulls/3601,https://api.github.com/repos/microsoft/onefuzz/issues/3601,open,2023-10-25,2023-10-26,,0aaad38e96dbbbb88813a0941145330e2edf59ee
Porges,https://api.github.com/repos/microsoft/onefuzz/pulls/3600,https://api.github.com/repos/microsoft/onefuzz/issues/3600,open,2023-10-24,2023-10-25,,508ccb1ae1e2dd2fbe9828d2c125194a083684b6
nharper285,https://api.github.com/repos/microsoft/onefuzz/pulls/3599,https://api.github.com/repos/microsoft/onefuzz/issues/3599,closed,2023-10-24,2023-10-26,2023-10-26,0390822144b6fde4190ef1b4cf0c8f00fb17dcb6
Porges,https://api.github.com/repos/microsoft/onefuzz/pulls/3596,https://api.github.com/repos/microsoft/onefuzz/issues/3596,closed,2023-10-24,2023-10-24,2023-10-24,ca3c503a59a39f8f1c48fab27cf781e80d665ba2
AdamL-Microsoft,https://api.github.com/repos/microsoft/onefuzz/pulls/3595,https://api.github.com/repos/microsoft/onefuzz/issues/3595,closed,2023-10-23,2023-10-24,,5e630ba6cb084d1e013fa1470c136a13467ba461
Porges,https://api.github.com/repos/microsoft/onefuzz/pulls/3594,https://api.github.com/repos/microsoft/onefuzz/issues/3594,closed,2023-10-23,2023-10-24,2023-10-24,957f1fb1baad3739d0213ccee98124d5a4be973f
AdamL-Microsoft,https://api.github.com/repos/microsoft/onefuzz/pulls/3593,https://api.github.com/repos/microsoft/onefuzz/issues/3593,closed,2023-10-23,2023-10-23,2023-10-23,44c2c394d71a3d6573f18abeb9f8795903db61d3
AdamL-Microsoft,https://api.github.com/repos/microsoft/onefuzz/pulls/3592,https://api.github.com/repos/microsoft/onefuzz/issues/3592,closed,2023-10-20,2023-10-23,,524457357ce00d18542a4d6fe53bcb5316fbefa0
kananb,https://api.github.com/repos/microsoft/onefuzz/pulls/3591,https://api.github.com/repos/microsoft/onefuzz/issues/3591,closed,2023-10-19,2023-10-24,2023-10-24,9ba004f568b69b0d1da0427f72a5437cec406cdf
tevoinea,https://api.github.com/repos/microsoft/onefuzz/pulls/3588,https://api.github.com/repos/microsoft/onefuzz/issues/3588,open,2023-10-19,2023-10-23,,7f3517def3efb613200b0e928e148b57f45409ca
dependabot[bot],https://api.github.com/repos/microsoft/onefuzz/pulls/3587,https://api.github.com/repos/microsoft/onefuzz/issues/3587,closed,2023-10-19,2023-10-26,,d527c07cf529c6e9b0be4acbec48f18399b91b11
dependabot[bot],https://api.github.com/repos/microsoft/onefuzz/pulls/3586,https://api.github.com/repos/microsoft/onefuzz/issues/3586,open,2023-10-19,2023-10-27,,b9d89756e1dfbfb3048b4d29e15afc316c7ce70f
dependabot[bot],https://api.github.com/repos/microsoft/onefuzz/pulls/3584,https://api.github.com/repos/microsoft/onefuzz/issues/3584,closed,2023-10-18,2023-10-18,2023-10-18,09c857904747c180df8e347a0896d963cb4ec618
dependabot[bot],https://api.github.com/repos/microsoft/onefuzz/pulls/3583,https://api.github.com/repos/microsoft/onefuzz/issues/3583,closed,2023-10-18,2023-10-19,,a7a50e293c35caf85581457699c18d035d2a388b
