user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
SlimeYummy,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/688,https://api.github.com/repos/recastnavigation/recastnavigation/issues/688,closed,2024-02-06,2024-02-06,,103abe9267ba9328612b7838247268f82f6e32d5
ikpil,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/686,https://api.github.com/repos/recastnavigation/recastnavigation/issues/686,open,2024-01-23,2024-01-29,,69c59aaaaaaf55557e5efb3d65c6a39277e37626
m-bronnikov,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/684,https://api.github.com/repos/recastnavigation/recastnavigation/issues/684,closed,2024-01-09,2024-01-14,,60abe39c0659770e47403da2908dcc7d1eaff4fb
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/683,https://api.github.com/repos/recastnavigation/recastnavigation/issues/683,closed,2024-01-01,2024-01-01,2024-01-01,c36a40645afe4327facc376daeb441065bdca058
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/682,https://api.github.com/repos/recastnavigation/recastnavigation/issues/682,closed,2023-12-31,2023-12-31,2023-12-31,fc18ed81940ea85af94b319c314e8220e467fe75
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/681,https://api.github.com/repos/recastnavigation/recastnavigation/issues/681,closed,2023-12-28,2023-12-28,2023-12-28,1c87cff00c4bb2aba3d7f3b0eb405eaa5f455838
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/680,https://api.github.com/repos/recastnavigation/recastnavigation/issues/680,closed,2023-12-28,2023-12-28,2023-12-28,53089459faf7b6d15b3fe6e7473e9307376819c3
Srekel,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/677,https://api.github.com/repos/recastnavigation/recastnavigation/issues/677,closed,2023-12-18,2023-12-20,2023-12-20,9044200bc04b272cf81322d266f3f9dd54a869aa
zz2108828,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/672,https://api.github.com/repos/recastnavigation/recastnavigation/issues/672,closed,2023-10-29,2023-12-31,2023-12-31,3e94c3b6fcb5361bc30e87cacfa0ff46bde37a2c
m-bronnikov,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/670,https://api.github.com/repos/recastnavigation/recastnavigation/issues/670,closed,2023-09-29,2023-12-27,,9989c4cdfd2ad3a78e5841104db5af2da026043a
JoeLee-cg,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/667,https://api.github.com/repos/recastnavigation/recastnavigation/issues/667,closed,2023-09-24,2023-09-24,,0361db2bd4297cb7ff66199a9d21d3d0dfb000fb
ghost,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/664,https://api.github.com/repos/recastnavigation/recastnavigation/issues/664,closed,2023-09-12,2023-12-20,,bd344be3c5ea0fb99498d204cbd144f6a5e7af3f
Gamemechanicwow,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/661,https://api.github.com/repos/recastnavigation/recastnavigation/issues/661,closed,2023-09-02,2023-09-20,2023-09-04,cd898904b72a300011fbb24d578620bafa08ef2c
alonfaraj,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/660,https://api.github.com/repos/recastnavigation/recastnavigation/issues/660,closed,2023-08-16,2023-08-16,2023-08-16,1adf911a0949cd9f4688da2631843781ad4d5942
jakobbotsch,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/657,https://api.github.com/repos/recastnavigation/recastnavigation/issues/657,closed,2023-08-10,2023-12-20,2023-12-20,c393777d26d2ff6519ac23612abf8af42678c9dd
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/655,https://api.github.com/repos/recastnavigation/recastnavigation/issues/655,closed,2023-08-10,2023-08-10,2023-08-10,6d9998e5b4fe96c607a04ed0fed318522165ab49
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/653,https://api.github.com/repos/recastnavigation/recastnavigation/issues/653,closed,2023-08-03,2023-08-09,2023-08-09,af6d4758ffae1d192de50b9c6217ee58211baa6a
satyam126,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/651,https://api.github.com/repos/recastnavigation/recastnavigation/issues/651,closed,2023-07-29,2023-07-31,2023-07-31,d95483a99351f32e32ac3ca3ce27c540cd979205
HelloKitty,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/649,https://api.github.com/repos/recastnavigation/recastnavigation/issues/649,closed,2023-07-25,2023-07-25,2023-07-25,ee39124e5f6cb23086b4aa9eebd18454c7342f4f
elsid,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/648,https://api.github.com/repos/recastnavigation/recastnavigation/issues/648,closed,2023-07-20,2023-07-21,2023-07-21,d2cd095abbd2d7c51c7f6bea0d305f22cd7a755c
niji-k,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/645,https://api.github.com/repos/recastnavigation/recastnavigation/issues/645,open,2023-07-05,2023-08-07,,e9d50298c0fac6d2a91408dca696b41dee79dab7
jozamudi,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/637,https://api.github.com/repos/recastnavigation/recastnavigation/issues/637,closed,2023-06-19,2023-06-25,2023-06-25,99b6c3306efd7ca8f204d1e1b39311ca5b783386
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/636,https://api.github.com/repos/recastnavigation/recastnavigation/issues/636,closed,2023-06-18,2023-07-23,2023-07-23,8a42fb634849505f536cff1716e9e11ce11cc88c
elsid,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/635,https://api.github.com/repos/recastnavigation/recastnavigation/issues/635,closed,2023-06-18,2024-01-28,2024-01-28,599fd0f023181c0a484df2a18cf1d75a3553852e
andriyDev,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/628,https://api.github.com/repos/recastnavigation/recastnavigation/issues/628,closed,2023-04-30,2023-05-05,2023-05-05,53f781802724f65be1a056dee7aa2e91dffcd2cf
andriyDev,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/627,https://api.github.com/repos/recastnavigation/recastnavigation/issues/627,closed,2023-04-29,2023-04-30,2023-04-30,32e5f94b111d40c2a1063cabeff9873c0d95c7ba
andriyDev,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/626,https://api.github.com/repos/recastnavigation/recastnavigation/issues/626,closed,2023-04-28,2023-05-20,2023-05-20,9432fd6381d5b7c0567b06e6baff3783e80a3eb1
andriyDev,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/625,https://api.github.com/repos/recastnavigation/recastnavigation/issues/625,closed,2023-04-16,2023-04-20,2023-04-20,6d1f9711b3b71f28c2c1c0742d76e0ef8766cf91
illwieckz,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/624,https://api.github.com/repos/recastnavigation/recastnavigation/issues/624,closed,2023-04-11,2023-04-14,2023-04-14,5c494ad1eecbdc879d4195788a343f806f247874
zkz196,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/622,https://api.github.com/repos/recastnavigation/recastnavigation/issues/622,open,2023-04-10,2023-07-04,,e30fde4d1f31b23a45a3906b681085e05a840f82
ghost,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/621,https://api.github.com/repos/recastnavigation/recastnavigation/issues/621,closed,2023-04-09,2023-05-03,,924cc036933d1c4318f19339f1f46db205b30546
nicknide,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/619,https://api.github.com/repos/recastnavigation/recastnavigation/issues/619,closed,2023-03-30,2023-07-23,2023-07-23,9147d0955358212a13e336b97e2ebe50fa069ab2
FcAYH,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/617,https://api.github.com/repos/recastnavigation/recastnavigation/issues/617,closed,2023-03-25,2023-03-26,2023-03-25,b0ed8b7a3cb031e0849cc48642bc25f011515da4
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/616,https://api.github.com/repos/recastnavigation/recastnavigation/issues/616,closed,2023-03-23,2023-03-25,2023-03-25,cc944f28c105aaf8f6cd1e3f9e7c40ad41d710d9
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/612,https://api.github.com/repos/recastnavigation/recastnavigation/issues/612,closed,2023-03-20,2023-03-20,2023-03-20,8e9c308afd0fc6f7b8d8a76dbb8f905e41cb1425
andriyDev,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/611,https://api.github.com/repos/recastnavigation/recastnavigation/issues/611,closed,2023-03-19,2023-03-20,2023-03-20,b921dd16b1d15d6f9e93233ee2f90d8f10168e65
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/608,https://api.github.com/repos/recastnavigation/recastnavigation/issues/608,closed,2023-03-18,2023-03-18,2023-03-18,d18a4a6bbd600ecf0c71701c979b3c50e4b0a384
AlexanderPolyakov,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/601,https://api.github.com/repos/recastnavigation/recastnavigation/issues/601,closed,2023-01-25,2023-03-16,2023-03-16,3c4a34968afab75a0a041cf8cd8f47e2fe6158a6
DarthGandalf,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/600,https://api.github.com/repos/recastnavigation/recastnavigation/issues/600,closed,2023-01-14,2023-03-25,2023-03-25,a015950eaa5c4638b458fcaf87ccebea60e5fd76
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/598,https://api.github.com/repos/recastnavigation/recastnavigation/issues/598,closed,2022-12-28,2023-01-02,2022-12-29,7501007439c4b17481794d8171a6f5bcbc10d9af
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/596,https://api.github.com/repos/recastnavigation/recastnavigation/issues/596,closed,2022-12-27,2022-12-29,2022-12-29,b43c82c8087f7e277077dcb7cb1e6c626d5550ce
alpaca2333,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/593,https://api.github.com/repos/recastnavigation/recastnavigation/issues/593,closed,2022-12-14,2023-03-03,,84e31d502e887d465a6412e45e9ba19e69a51351
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/592,https://api.github.com/repos/recastnavigation/recastnavigation/issues/592,closed,2022-12-14,2022-12-22,2022-12-22,b51925bb8720e78a65c77339a532459b96ddfc7e
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/584,https://api.github.com/repos/recastnavigation/recastnavigation/issues/584,closed,2022-11-24,2022-11-26,2022-11-26,67ba9a2a15d7cb6b0a1e428dbb4b1ed947c74658
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/581,https://api.github.com/repos/recastnavigation/recastnavigation/issues/581,closed,2022-11-20,2022-11-23,2022-11-23,2b0c244d127e8e1de743102f53416af2b482393c
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/580,https://api.github.com/repos/recastnavigation/recastnavigation/issues/580,closed,2022-11-12,2022-11-24,2022-11-12,3d0f0a3d9e27590e30d910d992188ccf370ac10b
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/579,https://api.github.com/repos/recastnavigation/recastnavigation/issues/579,closed,2022-11-10,2022-11-12,2022-11-12,17a19d0e826ac5454146db6f38485b684cdc8897
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/578,https://api.github.com/repos/recastnavigation/recastnavigation/issues/578,closed,2022-11-10,2022-11-12,2022-11-12,ea7bfbee709b7a2467ccf96a1bb34523fdf1b5a2
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/576,https://api.github.com/repos/recastnavigation/recastnavigation/issues/576,closed,2022-11-05,2022-11-12,2022-11-12,51111395580c897d8bb178c778829e7ad8b5ab6e
SpaceIm,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/575,https://api.github.com/repos/recastnavigation/recastnavigation/issues/575,closed,2022-10-30,2022-11-20,2022-11-20,53f779fa8db103f9650461134f7d0b617c165ade
grahamboree,https://api.github.com/repos/recastnavigation/recastnavigation/pulls/574,https://api.github.com/repos/recastnavigation/recastnavigation/issues/574,closed,2022-10-29,2022-11-08,2022-11-08,b0d71bed92a89c0b4ad63ca4278d12c63d8d6eb4
