user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
liudongmiao,https://api.github.com/repos/warmcat/libwebsockets/pulls/3084,https://api.github.com/repos/warmcat/libwebsockets/issues/3084,open,2024-03-05,2024-03-05,,8d2a081aa8b633bf9cbd38d81bff2554ceb0e8cf
darthwalsh,https://api.github.com/repos/warmcat/libwebsockets/pulls/3083,https://api.github.com/repos/warmcat/libwebsockets/issues/3083,closed,2024-03-04,2024-03-05,,baf82e785931776d5fdac5b0806bd6236c01c011
liudongmiao,https://api.github.com/repos/warmcat/libwebsockets/pulls/3082,https://api.github.com/repos/warmcat/libwebsockets/issues/3082,open,2024-03-03,2024-03-03,,2d2634591c2b4804923b0aef99bdd65e509191cc
solomonchild,https://api.github.com/repos/warmcat/libwebsockets/pulls/3078,https://api.github.com/repos/warmcat/libwebsockets/issues/3078,closed,2024-02-29,2024-03-01,,4a182c6181ea9516f67a95ae93997c1bd5365664
liudongmiao,https://api.github.com/repos/warmcat/libwebsockets/pulls/3077,https://api.github.com/repos/warmcat/libwebsockets/issues/3077,closed,2024-02-28,2024-03-01,,6f6ae708191208ccf1cb2d282633cae9c92c6ab3
VaibhavTekale1,https://api.github.com/repos/warmcat/libwebsockets/pulls/3066,https://api.github.com/repos/warmcat/libwebsockets/issues/3066,closed,2024-02-09,2024-02-16,,aedaeb234cab81e20c9e404a235bf1d2597a07ba
Ddom952,https://api.github.com/repos/warmcat/libwebsockets/pulls/3041,https://api.github.com/repos/warmcat/libwebsockets/issues/3041,closed,2024-01-08,2024-01-08,,278105157e7a7805e055d3e816e145b2b5756336
alex3d,https://api.github.com/repos/warmcat/libwebsockets/pulls/3038,https://api.github.com/repos/warmcat/libwebsockets/issues/3038,closed,2024-01-03,2024-01-20,,015ca5c46c953180c0da76d92244025cd16aee13
aphage,https://api.github.com/repos/warmcat/libwebsockets/pulls/3037,https://api.github.com/repos/warmcat/libwebsockets/issues/3037,closed,2024-01-02,2024-01-02,,70a50b07ed12fc1aad2453ed64e817520d56e84c
ffontaine,https://api.github.com/repos/warmcat/libwebsockets/pulls/3034,https://api.github.com/repos/warmcat/libwebsockets/issues/3034,closed,2023-12-26,2023-12-27,,03671f68a6afee0fb1561ab2a3d8123a80b799aa
simon0356,https://api.github.com/repos/warmcat/libwebsockets/pulls/3029,https://api.github.com/repos/warmcat/libwebsockets/issues/3029,closed,2023-12-19,2023-12-20,,396229f89f5ae0f2707d0081b1a5c448da7c2f4d
Dolphindalt,https://api.github.com/repos/warmcat/libwebsockets/pulls/3027,https://api.github.com/repos/warmcat/libwebsockets/issues/3027,closed,2023-12-12,2023-12-13,,7954b18908f890aed114bc1a17d474823c2cb883
gdevillele,https://api.github.com/repos/warmcat/libwebsockets/pulls/3025,https://api.github.com/repos/warmcat/libwebsockets/issues/3025,closed,2023-12-08,2023-12-08,,b6993c95f6d5f96fa8465395f60ea9d4d89b7a2a
pombredanne,https://api.github.com/repos/warmcat/libwebsockets/pulls/3021,https://api.github.com/repos/warmcat/libwebsockets/issues/3021,closed,2023-11-27,2023-11-27,,a69d33a718e663c62a615b6fb218ec88d1214d8a
inobelar,https://api.github.com/repos/warmcat/libwebsockets/pulls/3018,https://api.github.com/repos/warmcat/libwebsockets/issues/3018,closed,2023-11-23,2023-11-24,,5e328732c6d2b782fdf0a3eea22e9afef75aea51
lonnywong,https://api.github.com/repos/warmcat/libwebsockets/pulls/3017,https://api.github.com/repos/warmcat/libwebsockets/issues/3017,closed,2023-11-23,2023-11-24,,15e14aad9cf0e623897fc672d52ec13919d90181
lonnywong,https://api.github.com/repos/warmcat/libwebsockets/pulls/3014,https://api.github.com/repos/warmcat/libwebsockets/issues/3014,closed,2023-11-21,2023-11-22,,4387f73feb48e1c1b6cc39800bc63a20acf99e28
zzblydia,https://api.github.com/repos/warmcat/libwebsockets/pulls/3010,https://api.github.com/repos/warmcat/libwebsockets/issues/3010,closed,2023-11-18,2023-11-19,,710224c9a17048a8995ea3066f81cb7515d0ab76
lonnywong,https://api.github.com/repos/warmcat/libwebsockets/pulls/3008,https://api.github.com/repos/warmcat/libwebsockets/issues/3008,closed,2023-11-16,2023-11-20,,40120b99bd6bb07de02ddda14e1bd04a98dff919
inobelar,https://api.github.com/repos/warmcat/libwebsockets/pulls/3003,https://api.github.com/repos/warmcat/libwebsockets/issues/3003,closed,2023-11-09,2023-11-10,,94321b125624488c76b368113da0e01303de145d
nkarstens,https://api.github.com/repos/warmcat/libwebsockets/pulls/2987,https://api.github.com/repos/warmcat/libwebsockets/issues/2987,closed,2023-10-23,2023-10-24,,180a757fc64c6a1a4d965485d2e3fc2028045ebe
audricschiltknecht,https://api.github.com/repos/warmcat/libwebsockets/pulls/2985,https://api.github.com/repos/warmcat/libwebsockets/issues/2985,closed,2023-10-20,2023-10-21,,a283e9a4d4a3183e72c96ac93311885f28a38eaa
dylanetaft,https://api.github.com/repos/warmcat/libwebsockets/pulls/2980,https://api.github.com/repos/warmcat/libwebsockets/issues/2980,closed,2023-10-14,2023-10-15,,96c9b84d3d308c88dcee7c27355e8fed4ee77f7e
kpcyrd,https://api.github.com/repos/warmcat/libwebsockets/pulls/2977,https://api.github.com/repos/warmcat/libwebsockets/issues/2977,closed,2023-10-09,2023-11-14,,206c50dfb6bf5367512accd2a3d8ca84c781bbc3
mpb27,https://api.github.com/repos/warmcat/libwebsockets/pulls/2970,https://api.github.com/repos/warmcat/libwebsockets/issues/2970,closed,2023-09-23,2023-09-24,,c598481c12bbff0f06810d52b57b5a31a02362a4
wangyingdong1,https://api.github.com/repos/warmcat/libwebsockets/pulls/2967,https://api.github.com/repos/warmcat/libwebsockets/issues/2967,closed,2023-09-19,2023-09-21,,3ebdde5feef93d39a2df8137a34498315ff2a7fa
VictorieeMan,https://api.github.com/repos/warmcat/libwebsockets/pulls/2935,https://api.github.com/repos/warmcat/libwebsockets/issues/2935,open,2023-07-20,2024-01-16,,84330186a70fb8745d9ced0dc8e228c489b3ea2a
rzr,https://api.github.com/repos/warmcat/libwebsockets/pulls/2927,https://api.github.com/repos/warmcat/libwebsockets/issues/2927,closed,2023-07-10,2023-09-21,,6c8d3371e51e97a88efbb067b050ebcc20d0b054
NoelGraf,https://api.github.com/repos/warmcat/libwebsockets/pulls/2924,https://api.github.com/repos/warmcat/libwebsockets/issues/2924,closed,2023-07-02,2023-11-08,,bc8a805b11d894b012f5444c608c404218a3316d
johnnychen-prestolabs,https://api.github.com/repos/warmcat/libwebsockets/pulls/2917,https://api.github.com/repos/warmcat/libwebsockets/issues/2917,closed,2023-06-27,2023-11-14,,1079aa4e8e483ea925d38c2504b74c8050b284d9
dddaniel,https://api.github.com/repos/warmcat/libwebsockets/pulls/2902,https://api.github.com/repos/warmcat/libwebsockets/issues/2902,closed,2023-06-05,2023-09-28,,c5562257ea18ddd45a3ed55a5e59c770da1f0535
wreuven,https://api.github.com/repos/warmcat/libwebsockets/pulls/2893,https://api.github.com/repos/warmcat/libwebsockets/issues/2893,open,2023-05-30,2024-01-16,,8fa2a7ef4bfdf1b5d5a50f467249c9a2d1810616
GuzhavinAleksey,https://api.github.com/repos/warmcat/libwebsockets/pulls/2882,https://api.github.com/repos/warmcat/libwebsockets/issues/2882,open,2023-05-23,2024-01-16,,87ca66d3980891ee5f846968a5b1ae21ac4f28e1
edwardz-prestolabs,https://api.github.com/repos/warmcat/libwebsockets/pulls/2872,https://api.github.com/repos/warmcat/libwebsockets/issues/2872,closed,2023-04-24,2023-11-13,,a6329e107344a030467a355c9cf4536b85dcf1b6
maxvankessel,https://api.github.com/repos/warmcat/libwebsockets/pulls/2869,https://api.github.com/repos/warmcat/libwebsockets/issues/2869,closed,2023-04-17,2023-11-14,,6813da61269e26cf3e03378feff6064ebd4ed0dd
ch-f,https://api.github.com/repos/warmcat/libwebsockets/pulls/2861,https://api.github.com/repos/warmcat/libwebsockets/issues/2861,open,2023-04-01,2024-01-16,,bd60c8eb85b964e2c22a62cf5587e864be0a2d20
darhaywa,https://api.github.com/repos/warmcat/libwebsockets/pulls/2856,https://api.github.com/repos/warmcat/libwebsockets/issues/2856,closed,2023-03-23,2023-11-13,,a405ddaf6bb7ef6a359db306595cf00b3b40f163
zoraaver,https://api.github.com/repos/warmcat/libwebsockets/pulls/2832,https://api.github.com/repos/warmcat/libwebsockets/issues/2832,closed,2023-02-07,2023-10-21,,5a3ec6112159b4beeb6b45e4d23e3706b3f0932a
martlaak-gmail,https://api.github.com/repos/warmcat/libwebsockets/pulls/2828,https://api.github.com/repos/warmcat/libwebsockets/issues/2828,open,2023-01-30,2024-01-16,,7b480aed4cbd1db7bb042ad91ce0507e8c8a036a
kraj,https://api.github.com/repos/warmcat/libwebsockets/pulls/2824,https://api.github.com/repos/warmcat/libwebsockets/issues/2824,closed,2023-01-27,2023-11-17,,05cd1c0071509b4eeda22f4a0f4e9defcf3bdb27
italo-parallelz,https://api.github.com/repos/warmcat/libwebsockets/pulls/2808,https://api.github.com/repos/warmcat/libwebsockets/issues/2808,closed,2023-01-03,2023-11-14,,24e6fabbdf8ff9a216cc6de85e723c5faced999c
orgads,https://api.github.com/repos/warmcat/libwebsockets/pulls/2792,https://api.github.com/repos/warmcat/libwebsockets/issues/2792,closed,2022-12-12,2023-11-18,,db261cedbe5efa624a3b5d4d809a47bde0ba88f7
ilsme,https://api.github.com/repos/warmcat/libwebsockets/pulls/2785,https://api.github.com/repos/warmcat/libwebsockets/issues/2785,open,2022-11-21,2024-03-01,,3de9fd43dfbdd0e3f10fbb244cd47db104f456c1
simon0356,https://api.github.com/repos/warmcat/libwebsockets/pulls/2781,https://api.github.com/repos/warmcat/libwebsockets/issues/2781,closed,2022-11-18,2023-12-19,,d1d56cc31aeca3a3cb69893e8b21009d78876976
DavidKorczynski,https://api.github.com/repos/warmcat/libwebsockets/pulls/2780,https://api.github.com/repos/warmcat/libwebsockets/issues/2780,open,2022-11-17,2024-01-16,,d19002cf368792510bedcedfa15faf517a38c30b
lgtm-com[bot],https://api.github.com/repos/warmcat/libwebsockets/pulls/2778,https://api.github.com/repos/warmcat/libwebsockets/issues/2778,open,2022-11-16,2024-01-16,,80271acd6814ad2321a38c8d37c96c47089a5ca0
