created_at,pull_requests
2011-02-14,1
2011-06-04,1
2011-08-03,1
2012-05-14,1
2012-06-29,1
2012-07-17,1
2013-02-27,1
2013-02-28,1
2013-07-22,1
2013-12-03,1
2014-01-07,1
2014-01-17,1
2014-03-06,1
2014-03-11,1
2014-03-26,1
2014-05-07,1
2014-09-01,1
2014-09-20,1
2014-10-24,1
2014-10-30,1
2014-11-10,1
2014-12-11,1
2014-12-17,2
2015-01-10,1
2015-03-21,1
2015-04-18,1
2015-04-22,1
2015-04-29,1
2015-05-04,1
2015-05-08,1
2015-05-13,1
2015-05-20,1
2015-05-23,1
2015-05-30,1
2015-06-11,2
2015-06-18,1
2015-07-16,2
2015-07-17,1
2015-08-13,1
2015-10-04,1
2015-11-10,1
2015-12-26,1
2016-01-02,1
2016-01-03,1
2016-01-08,1
2016-01-17,1
2016-01-18,1
2016-01-19,1
2016-01-21,3
2016-01-25,1
2016-02-02,1
2016-03-02,1
2016-03-28,1
2016-03-30,1
2016-04-07,1
2016-04-09,1
2016-04-11,1
2016-04-15,2
2016-05-14,1
2016-06-27,1
2016-10-07,1
2016-10-12,1
2016-10-22,1
2016-11-03,1
2016-11-21,1
2016-11-23,1
2016-11-26,1
2016-12-02,1
2016-12-23,1
2016-12-27,1
2017-01-09,1
2017-02-04,2
2017-03-02,1
2017-03-05,1
2017-03-14,2
2017-07-13,1
2017-07-21,2
2017-09-14,1
2017-09-15,1
2017-09-18,1
2017-09-25,1
2017-10-03,1
2017-10-21,1
2017-10-24,1
2017-11-22,1
2017-11-24,1
2017-12-04,1
2018-01-11,1
2018-02-15,2
2018-02-19,1
2018-03-02,1
2018-03-04,1
2018-03-05,1
2018-03-09,1
2018-03-10,1
2018-03-13,1
2018-03-24,1
2018-04-03,1
2018-05-09,1
2018-05-10,1
2018-05-25,1
2018-08-13,1
2018-08-16,1
2018-09-25,1
2018-11-15,1
2018-12-19,1
2019-01-03,1
2019-01-31,1
2019-04-21,2
2019-04-23,1
2019-04-25,1
2019-06-05,1
2019-06-26,1
2019-08-22,1
2019-09-02,1
2019-09-27,1
2019-11-09,1
2019-11-10,1
2019-11-12,1
2020-01-13,4
2020-05-22,1
2020-05-23,1
2020-08-22,1
2020-08-25,1
2020-09-04,1
2020-09-08,1
2020-10-15,1
2020-10-17,1
2021-01-07,1
2021-01-15,1
2021-04-10,1
2021-05-22,1
2021-05-24,5
2021-06-07,1
2021-06-09,1
2021-06-18,1
2021-07-08,1
2021-07-28,1
2021-08-19,2
2021-09-02,1
2022-02-22,1
2022-03-24,1
2022-11-02,1
2023-02-21,1
2023-06-18,1
2023-10-08,1
2023-11-28,1
