created_at,pull_requests
2015-04-27,1
2015-08-05,1
2015-09-06,1
2015-09-09,1
2015-09-17,2
2015-09-18,1
2015-09-19,1
2015-09-20,1
2015-09-22,1
2015-09-25,2
2015-09-29,1
2015-10-01,1
2015-10-03,1
2015-10-04,1
2015-10-05,1
2015-11-07,1
2015-11-10,1
2015-11-18,1
2015-12-03,1
2015-12-08,1
2015-12-09,1
2015-12-29,1
2016-01-14,1
2016-01-20,1
2016-01-21,1
2016-01-28,1
2016-02-11,1
2016-02-13,1
2016-02-18,3
2016-02-22,1
2016-02-23,1
2016-03-05,1
2016-03-06,1
2016-04-03,1
2016-04-19,1
2016-04-23,1
2016-05-15,1
2016-06-02,1
2016-07-01,1
2016-07-23,1
2016-08-06,2
2016-08-08,1
2016-08-09,1
2016-08-23,1
2016-08-31,1
2016-09-04,1
2016-09-05,1
2016-09-06,2
2016-09-10,1
2016-09-13,1
2016-09-28,1
2016-10-26,1
2016-11-27,1
2017-02-17,1
2017-03-18,1
2017-04-02,1
2017-10-22,1
2017-11-21,1
2018-01-30,1
2018-01-31,1
2018-05-11,1
2018-05-14,1
2018-05-29,1
2018-06-23,1
2018-07-06,2
2018-07-11,1
2018-08-03,1
2018-11-05,1
2018-11-06,1
2019-02-02,1
2019-02-09,1
2019-02-16,1
2019-05-02,1
2019-06-08,1
2019-06-12,1
2019-06-18,1
2019-09-03,1
2019-10-31,1
2019-12-28,1
2019-12-29,1
2019-12-30,1
2019-12-31,2
2020-01-02,2
2020-01-04,1
2020-01-06,1
2020-01-07,1
2020-02-25,2
2020-05-29,1
2020-10-04,1
2020-12-05,1
2020-12-08,1
2021-01-08,1
2021-01-12,1
2021-11-11,2
2021-12-18,1
2021-12-27,2
2021-12-30,1
2021-12-31,2
2022-01-01,4
2022-01-03,2
2022-01-04,1
2022-01-05,1
2022-01-11,1
2022-01-31,2
2022-02-19,1
2022-02-24,1
2022-04-05,2
2022-04-13,1
2022-04-21,1
2022-06-19,1
2022-07-03,1
2022-10-11,1
2022-10-14,1
2022-10-25,1
2023-01-02,1
2023-01-04,1
2023-01-19,1
2023-02-05,1
2023-03-21,2
2023-03-22,2
2023-03-30,1
2023-03-31,1
2023-04-08,1
2023-04-09,2
2023-11-26,1
