created_at,pull_requests
2022-01-14,2
2022-01-17,3
2022-01-18,3
2022-01-19,4
2022-01-20,1
2022-01-21,2
2022-01-22,2
2022-01-24,4
2022-01-25,2
2022-01-26,5
2022-01-28,1
2022-02-07,2
2022-02-08,1
2022-02-09,3
2022-02-10,3
2022-02-11,5
2022-02-12,1
2022-02-13,2
2022-02-14,1
2022-02-15,3
2022-02-16,5
2022-02-17,3
2022-02-18,3
2022-02-21,1
2022-02-22,1
2022-02-23,1
2022-02-24,2
2022-02-25,1
2022-02-28,3
2022-03-01,1
2022-03-02,1
2022-03-03,2
2022-03-04,1
2022-03-07,3
2022-03-08,3
2022-03-09,2
2022-03-10,9
2022-03-11,3
2022-03-16,4
2022-03-17,7
2022-03-18,7
2022-03-19,3
2022-03-20,3
2022-03-21,4
2022-03-22,3
2022-03-23,1
2022-03-24,2
2022-03-25,3
2022-03-28,5
2022-03-29,5
2022-03-30,9
2022-03-31,5
2022-04-01,5
2022-04-02,5
2022-04-06,1
2022-04-07,4
2022-04-08,2
2022-04-11,4
2022-04-12,2
2022-04-13,3
2022-04-14,3
2022-04-15,1
2022-04-18,2
2022-04-19,1
2022-04-20,1
2022-04-21,2
2022-04-22,2
2022-04-24,4
2022-04-25,1
2022-04-26,7
2022-04-27,4
2022-04-28,2
2022-04-29,2
2022-05-03,1
2022-05-05,2
2022-05-06,3
2022-05-07,1
2022-05-09,3
2022-05-10,2
2022-05-11,1
2022-05-12,3
2022-05-13,2
2022-05-16,3
2022-05-18,1
2022-05-19,2
2022-05-20,3
2022-05-23,2
2022-05-24,2
2022-05-25,1
2022-05-26,3
2022-05-27,2
2022-05-28,1
2022-05-30,2
2022-06-01,1
2022-06-02,1
2022-06-06,1
2022-06-07,1
2022-06-08,1
2022-06-09,2
2022-06-10,1
2022-06-13,1
2022-06-14,2
2022-06-16,1
2022-06-17,1
2022-06-21,3
2022-06-23,3
2022-06-27,3
2022-06-28,1
2022-06-29,4
2022-06-30,2
2022-07-01,4
2022-07-04,3
2022-07-05,3
2022-07-06,1
2022-07-07,4
2022-07-08,1
2022-07-11,3
2022-07-12,5
2022-07-14,1
2022-07-18,1
2022-07-19,3
2022-07-21,2
2022-07-22,3
2022-07-26,3
2022-07-27,2
2022-07-28,5
2022-07-29,1
2022-08-01,1
2022-08-02,4
2022-08-03,1
2022-08-04,2
2022-08-05,1
2022-08-08,1
2022-08-09,2
2022-08-11,1
2022-08-12,1
2022-08-15,1
2022-08-23,1
2022-08-25,4
2022-08-26,2
2022-08-29,3
2022-08-30,4
2022-08-31,3
2022-09-01,3
2022-09-05,1
2022-09-07,3
2022-09-08,1
2022-09-09,3
2022-09-13,1
2022-09-14,1
2022-09-15,4
2022-09-19,3
2022-09-20,2
2022-09-22,2
