created_at,pull_requests
2017-07-12,1
2017-07-13,2
2017-08-01,1
2017-08-08,1
2017-08-10,1
2017-08-12,3
2017-08-14,3
2017-08-16,1
2017-08-19,1
2017-09-12,4
2017-09-13,2
2017-09-19,1
2017-10-06,1
2017-10-13,3
2017-10-18,1
2017-10-25,1
2017-10-26,1
2017-12-19,1
2018-01-11,2
2018-01-19,2
2018-01-22,1
2018-01-25,2
2018-01-26,4
2018-02-12,2
2018-03-23,1
2018-04-13,1
2018-04-14,2
2018-04-15,1
2018-04-30,4
2018-05-07,1
2018-07-30,2
2018-07-31,1
2018-08-02,2
2018-08-03,3
2018-08-04,1
2018-08-08,1
2018-08-09,1
2018-08-10,2
2018-08-11,2
2018-08-12,1
2018-08-13,2
2018-08-14,5
2018-08-16,2
2018-08-17,2
2018-08-20,2
2018-09-06,1
2018-10-11,1
2018-10-15,1
2018-11-06,1
2018-11-07,1
2018-11-08,1
2019-02-27,1
2019-03-06,1
2019-03-09,2
2019-03-11,2
2019-03-19,2
2019-03-29,3
2019-03-30,1
2019-03-31,5
2019-04-03,2
2019-04-04,1
2019-04-05,1
2019-04-06,1
2019-04-08,2
2019-04-10,2
2019-04-23,2
2019-04-24,1
2019-04-25,1
2019-04-26,2
2019-04-29,1
2019-06-23,2
2019-06-24,1
2019-06-26,2
2019-07-05,1
2019-07-10,1
2019-07-11,1
2019-07-12,1
2019-08-09,1
2019-08-12,1
2019-08-19,1
2019-08-20,1
2019-08-21,1
2019-08-25,2
2019-08-27,1
2019-08-28,1
2019-08-30,6
2019-09-13,1
2019-09-16,1
2019-10-22,1
2019-10-24,1
2019-10-29,1
2019-10-30,1
2019-10-31,1
2019-11-11,1
2019-11-28,1
2019-12-01,1
2019-12-03,1
2019-12-04,1
2019-12-05,1
2019-12-09,1
2019-12-12,1
2019-12-16,1
2019-12-18,2
2019-12-28,1
2019-12-30,1
2020-01-06,1
2020-01-20,1
2020-01-24,1
2020-01-28,1
2020-01-31,1
2020-02-10,1
2020-02-24,1
2020-03-16,1
2020-04-20,1
2020-05-04,1
2020-05-18,1
2020-05-20,1
2020-05-21,2
2020-05-22,1
2020-05-29,1
2020-06-01,2
2020-06-05,1
2020-06-07,1
2020-06-25,1
2020-07-22,1
2020-07-23,1
2020-07-30,1
2020-07-31,2
2020-08-03,5
2020-08-04,2
2020-08-06,1
2020-08-10,1
2020-08-11,1
2020-08-14,2
2020-08-18,1
2020-08-19,2
2020-08-20,1
2020-08-21,1
2020-08-26,1
2020-09-01,1
2020-09-10,2
2020-09-11,1
2020-09-25,1
2020-09-26,1
2020-11-15,1
2020-11-17,1
2020-11-19,1
2020-12-02,1
2020-12-27,1
2020-12-28,1
2021-02-17,1
2021-03-28,1
2021-04-11,1
2021-04-26,1
2021-04-27,3
2021-04-29,1
2021-05-05,1
2021-05-13,1
2021-05-31,1
2021-06-08,1
2021-06-09,1
2021-06-14,1
2021-07-26,1
2021-08-02,1
2021-08-12,1
2021-09-29,1
2021-10-11,2
2021-10-13,1
2021-10-19,1
2021-10-20,2
2021-10-27,1
2021-10-28,2
2021-11-04,3
2021-11-05,1
2021-11-08,2
2021-11-16,1
2021-12-26,1
2021-12-30,1
2022-01-26,1
2022-02-14,1
2022-02-15,1
2022-02-16,1
2022-03-01,1
2022-03-24,1
2022-03-30,1
2022-04-04,1
2022-04-06,1
2022-04-13,2
2022-04-22,1
2022-04-26,3
2022-06-16,1
2022-07-07,1
2022-07-14,1
2022-08-22,1
2022-08-23,1
2022-08-25,4
2022-08-29,1
2022-09-01,3
2022-09-02,2
2022-09-07,1
2022-09-09,2
2022-09-12,1
2022-09-13,1
2022-09-15,2
2022-09-20,1
2022-09-22,1
2022-09-23,1
2022-09-27,2
2022-10-04,2
2022-10-14,1
2022-10-27,1
2022-11-01,1
2022-11-02,1
2022-11-03,3
2022-11-15,1
2022-11-17,2
2022-11-18,1
2022-11-23,1
2022-11-24,1
2022-11-25,1
2022-11-29,1
2022-12-05,3
2022-12-06,2
2022-12-12,1
2022-12-13,1
2022-12-14,1
2022-12-15,1
2023-01-10,1
2023-01-11,1
2023-01-12,1
2023-01-17,1
2023-01-19,1
2023-01-23,1
2023-01-25,1
2023-01-27,1
2023-01-31,1
2023-02-03,1
2023-02-07,3
2023-02-10,1
2023-02-13,1
2023-02-15,1
2023-02-16,1
2023-02-22,1
2023-02-28,1
2023-03-07,1
2023-03-08,1
2023-03-09,1
2023-03-24,1
2023-03-31,1
2023-04-04,1
2023-04-08,1
2023-04-13,1
2023-04-14,1
2023-04-20,1
2023-04-21,2
2023-04-24,1
2023-04-28,1
2023-05-02,1
2023-05-03,2
2023-05-04,1
2023-05-19,1
2023-05-26,1
2023-05-30,1
2023-05-31,3
2023-06-12,1
2023-06-14,1
2023-06-19,1
2023-06-21,1
2023-07-19,1
2023-08-13,1
2023-09-04,1
2023-09-18,2
2023-10-17,3
2023-10-18,1
2023-10-19,1
2023-11-28,1
2023-12-01,1
2023-12-04,1
2023-12-12,1
2023-12-16,1
2023-12-25,1
2024-01-16,1
2024-01-23,1
2024-01-29,1
2024-02-01,1
2024-02-02,2
2024-02-03,2
2024-02-05,6
2024-02-06,2
2024-02-07,1
2024-02-09,1
2024-02-12,1
2024-02-13,1
2024-02-20,2
2024-02-21,3
2024-02-22,1
2024-02-23,3
2024-02-27,1
2024-02-28,1
2024-03-01,4
2024-03-04,2
