created_at,pull_requests
2014-05-29,2
2014-08-01,1
2014-08-28,1
2014-08-29,1
2014-11-26,1
2014-12-03,2
2014-12-06,1
2015-06-18,1
2015-06-25,1
2015-07-02,1
2015-07-24,1
2015-10-26,1
2016-03-10,1
2016-03-19,1
2016-03-31,1
2016-04-05,1
2016-04-08,1
2016-04-17,2
2016-04-20,1
2016-05-02,1
2016-05-05,1
2016-05-20,1
2016-05-21,1
2016-05-24,2
2016-05-25,1
2016-05-28,2
2016-06-01,1
2016-06-23,1
2016-07-09,1
2016-07-18,1
2016-07-26,1
2016-07-31,1
2016-09-08,2
2016-09-14,1
2016-09-21,1
2016-11-07,1
2016-11-21,1
2016-11-24,1
2016-11-29,2
2017-01-04,1
2017-01-11,1
2017-01-19,1
2017-01-30,1
2017-02-26,1
2017-02-27,2
2017-07-07,1
2017-07-13,1
2017-07-16,1
2017-07-17,1
2017-07-18,2
2017-07-19,1
2017-07-21,2
2017-08-03,1
2017-08-30,1
2017-10-06,1
2017-10-07,1
2017-10-08,1
2017-11-09,1
2017-11-28,1
2017-11-29,2
2017-12-04,1
2017-12-09,1
2017-12-19,3
2018-02-09,1
2018-02-17,1
2018-02-18,1
2018-02-19,2
2018-02-22,1
2018-03-08,1
2018-03-13,1
2018-03-22,1
2018-03-31,2
2018-04-05,2
2018-04-17,1
2018-05-09,1
2018-05-11,1
2018-05-31,1
2018-06-01,1
2018-06-08,1
2018-06-24,1
2018-06-26,1
2018-06-29,1
2018-07-03,2
2018-07-06,1
2018-07-22,1
2018-08-03,1
2018-08-31,1
2018-09-04,1
2018-11-15,2
2018-11-27,1
2018-11-29,1
2019-01-26,1
2019-02-15,4
2019-02-24,1
2019-04-28,3
2019-07-13,1
2019-10-15,1
2019-10-16,1
2019-11-21,2
2019-12-15,1
2019-12-17,1
2019-12-29,3
2020-01-06,1
2020-02-02,1
2020-03-25,1
2020-05-03,1
2020-07-01,1
2020-07-23,1
2020-08-08,1
2020-09-11,1
2020-10-01,1
2020-10-24,1
2020-10-31,1
2020-11-10,1
2020-11-26,1
2020-12-07,1
2020-12-14,1
2021-01-24,1
2021-03-03,1
2021-03-28,1
2021-04-04,1
2021-04-19,1
2021-05-04,3
2021-05-09,1
2021-08-06,1
2021-10-10,1
2022-01-22,1
2022-01-27,1
2022-02-15,1
2022-02-17,1
2022-04-25,1
2022-05-13,1
2022-05-18,2
2022-05-20,1
2022-06-05,1
2022-06-20,1
2022-08-03,1
2022-10-27,1
2022-11-19,1
2022-12-20,1
2022-12-24,1
2023-08-29,1
2023-10-09,1
2023-10-22,1
2023-11-03,1
2023-11-11,1
2023-12-05,4
2023-12-08,2
2023-12-13,2
2023-12-18,1
2024-01-09,1
2024-01-10,1
2024-01-17,1
