created_at,pull_requests
2011-11-09,1
2011-11-10,1
2013-05-15,1
2013-05-17,1
2014-02-04,1
2014-02-05,1
2014-02-06,2
2014-02-07,1
2014-04-04,1
2014-11-03,1
2014-11-06,1
2014-11-07,1
2014-11-10,1
2014-11-12,2
2015-03-12,1
2015-03-14,2
2015-03-19,1
2015-03-21,6
2015-03-22,3
2015-03-23,3
2015-03-24,1
2015-03-25,4
2015-03-27,4
2015-03-28,4
2015-03-29,5
2015-03-30,1
2015-03-31,1
2015-04-01,6
2015-04-02,4
2015-04-03,4
2015-04-04,1
2015-04-05,10
2015-04-06,3
2015-04-07,1
2015-04-08,4
2015-04-09,2
2015-04-10,1
2015-04-11,3
2015-04-12,3
2015-04-13,1
2015-04-14,2
2015-04-16,2
2015-04-19,1
2015-04-24,1
2015-04-26,2
2015-04-29,2
2015-05-03,1
2015-05-05,1
2015-05-09,1
2015-05-20,1
2015-06-01,1
2015-06-28,1
2015-09-13,1
2015-09-14,1
2015-09-15,1
2015-10-16,1
2016-02-15,1
2016-02-24,1
2016-04-23,5
2016-05-03,1
2016-05-05,1
2016-05-31,1
2016-06-26,1
2016-06-30,1
2016-07-29,1
2016-07-30,1
2016-10-24,1
2016-11-07,1
2016-11-19,4
2016-11-20,2
2016-11-22,1
2016-12-19,1
2017-03-13,1
2017-04-19,1
2017-05-09,1
2017-05-23,1
2017-09-15,1
2017-10-18,3
2017-10-19,1
2017-10-28,1
2017-12-18,1
2018-02-19,1
2018-03-14,1
2018-03-24,1
2018-03-27,2
2018-03-29,1
2018-04-11,1
2018-04-21,1
2018-06-26,1
2018-08-25,2
2018-10-02,1
2019-03-21,1
2019-04-25,1
2019-07-29,1
2019-08-01,1
2019-10-23,1
2019-11-23,1
2020-01-17,2
2020-09-04,1
2020-09-09,2
2020-09-11,2
2020-09-14,1
2020-09-18,3
2020-09-19,1
2020-09-21,2
2020-09-22,1
2020-09-23,3
2020-09-25,1
2020-09-27,1
2020-10-20,1
2020-11-25,1
2020-12-13,1
2020-12-23,1
2021-01-01,1
2021-02-03,1
2021-04-28,2
2021-06-09,1
2021-07-14,1
2021-08-25,1
2021-09-19,1
2021-10-18,1
2022-02-16,1
2022-02-19,1
2022-02-21,2
2022-03-03,1
2022-03-04,1
2022-03-07,1
2022-04-07,1
2022-05-02,1
2022-07-01,1
2022-08-30,1
2022-09-03,1
2022-09-04,2
2022-09-08,1
2022-09-20,1
2022-09-22,1
2022-09-29,1
2022-10-01,1
2022-10-16,2
2022-10-31,1
2022-11-06,1
2022-11-20,1
2022-11-29,1
2022-12-11,1
2022-12-15,1
2023-01-17,1
2023-01-21,1
2023-01-23,1
2023-03-04,2
2023-03-23,1
2023-03-31,1
2023-04-09,1
2023-04-24,3
2023-04-28,1
2023-05-24,3
2023-07-07,1
2023-07-08,2
2023-07-09,1
2023-08-05,2
2023-10-16,1
2023-11-09,1
2024-02-14,1
