created_at,pull_requests
2015-03-25,1
2015-05-12,1
2015-05-14,1
2015-05-20,1
2015-06-20,2
2015-07-21,1
2016-03-15,1
2016-04-04,1
2016-04-08,1
2016-07-18,1
2016-10-28,1
2016-11-23,1
2016-11-29,1
2016-12-19,1
2017-03-02,1
2017-04-19,1
2017-04-28,1
2017-07-14,1
2017-07-30,1
2017-08-03,1
2017-08-04,3
2017-08-18,1
2017-08-25,1
2017-09-03,1
2017-09-11,1
2017-09-21,1
2017-10-12,1
2017-10-24,1
2017-11-01,1
2017-11-07,1
2017-11-08,1
2017-11-09,1
2017-11-15,2
2017-11-28,1
2017-12-27,1
2018-01-04,2
2018-01-05,1
2018-01-08,1
2018-01-10,2
2018-01-24,1
2018-01-30,1
2018-02-08,1
2018-02-21,1
2018-03-07,1
2018-03-08,1
2018-03-27,1
2018-04-02,1
2018-04-18,1
2018-05-03,1
2018-05-08,1
2018-06-08,1
2018-06-18,1
2018-06-20,1
2018-07-05,1
2018-07-06,1
2018-08-01,1
2018-08-08,1
2018-08-12,1
2018-08-16,1
2018-08-17,1
2018-09-12,1
2018-09-19,1
2018-09-20,1
2018-09-24,1
2018-10-05,1
2018-10-18,1
2018-10-26,3
2018-10-28,1
2018-10-29,1
2018-10-31,1
2018-12-06,1
2018-12-27,2
2019-01-02,1
2019-01-10,1
2019-01-18,1
2019-01-22,1
2019-01-23,1
2019-02-01,1
2019-02-07,1
2019-03-18,1
2019-03-20,1
2019-04-09,2
2019-04-10,1
2019-04-11,1
2019-04-19,1
2019-04-22,1
2019-04-23,2
2019-04-24,1
2019-04-29,1
2019-05-08,1
2019-05-09,1
2019-05-15,1
2019-05-20,1
2019-05-23,1
2019-05-24,1
2019-05-27,1
2019-05-28,1
2019-06-04,1
2019-06-26,1
2019-07-10,1
2019-07-19,1
2019-07-25,4
2019-07-30,1
2019-08-06,1
2019-08-14,2
2019-08-16,1
2019-08-17,1
2019-08-22,1
2019-08-28,1
2019-09-01,1
2019-09-03,1
2019-09-09,3
2019-09-10,1
2019-09-11,1
2019-09-13,1
2019-09-17,2
2019-09-19,2
2019-09-23,4
2019-09-24,5
2019-09-25,1
2019-09-30,1
2019-10-01,1
2019-10-02,2
2019-10-04,1
2019-10-08,2
2019-10-10,1
2019-11-06,1
2019-11-07,1
2019-11-26,1
2019-12-05,1
2019-12-06,1
2019-12-10,1
2019-12-17,1
2019-12-26,1
2019-12-27,1
2019-12-30,1
2020-01-05,2
2020-01-06,1
2020-01-15,2
2020-01-22,2
2020-01-24,1
2020-01-27,2
2020-01-28,1
2020-01-30,1
2020-01-31,1
2020-02-05,1
2020-02-07,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-15,1
2020-02-17,1
2020-02-20,1
2020-03-06,1
2020-03-11,1
2020-03-14,2
2020-04-08,1
2020-04-09,1
2020-10-27,1
2021-02-21,1
2021-03-03,1
2021-03-20,1
2021-04-04,1
2021-04-19,2
2021-04-29,1
2021-10-29,1
2021-11-10,1
2022-06-01,1
2022-06-09,1
2022-10-31,2
2023-06-05,1
