user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1449,https://api.github.com/repos/getsops/sops/issues/1449,open,2024-03-04,2024-03-04,,ec2d179d94361a6ff6964e53b103526811d89830
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1447,https://api.github.com/repos/getsops/sops/issues/1447,closed,2024-02-26,2024-03-04,,3251ca74162eb739553f66ab2bae50e2df9f5b88
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1442,https://api.github.com/repos/getsops/sops/issues/1442,closed,2024-02-19,2024-02-26,,41c7b45cf4f576b9755a3293f7ee22c24e9474d7
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1439,https://api.github.com/repos/getsops/sops/issues/1439,closed,2024-02-15,2024-02-15,2024-02-15,d8e8809bf92a47e0b2f742b9a43c3ab713acfd6a
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1438,https://api.github.com/repos/getsops/sops/issues/1438,closed,2024-02-12,2024-02-15,,c7c6b583e6dd4adaf29aa3bad8df31faf589fa38
felixfontein,https://api.github.com/repos/getsops/sops/pulls/1436,https://api.github.com/repos/getsops/sops/issues/1436,open,2024-02-10,2024-02-12,,e47f83a29eaa0f4e95f3045c954a2b9341f2c3bc
felixfontein,https://api.github.com/repos/getsops/sops/pulls/1434,https://api.github.com/repos/getsops/sops/issues/1434,open,2024-02-09,2024-02-09,,df49c2f4277f662ae43b5a18fd741dabc21de2f8
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1432,https://api.github.com/repos/getsops/sops/issues/1432,closed,2024-02-06,2024-02-06,2024-02-06,f70e63611945f274e6cab446c6b4a0864e67c49d
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1431,https://api.github.com/repos/getsops/sops/issues/1431,closed,2024-02-05,2024-02-06,,7692d778f3eedab1b1f7e5aebb2cbe8bf4ab11c7
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1429,https://api.github.com/repos/getsops/sops/issues/1429,closed,2024-02-03,2024-02-06,2024-02-06,3b11d2a35a4413743936b59dd8249d8a51199459
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1428,https://api.github.com/repos/getsops/sops/issues/1428,closed,2024-02-03,2024-02-03,2024-02-03,46d84b7cedc0c0506644a2a3bc2a191c6ed3375b
b-dean,https://api.github.com/repos/getsops/sops/pulls/1427,https://api.github.com/repos/getsops/sops/issues/1427,closed,2024-02-01,2024-02-15,2024-02-15,56b06d657a9887febb8c230aa43d20b62c568915
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1426,https://api.github.com/repos/getsops/sops/issues/1426,closed,2024-01-29,2024-02-03,,73c7932dfdf14594015081251bc948bd17606e2f
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1425,https://api.github.com/repos/getsops/sops/issues/1425,closed,2024-01-29,2024-02-03,2024-02-03,fce832a6fd912d6da1301550c21d5732905489c0
felixfontein,https://api.github.com/repos/getsops/sops/pulls/1424,https://api.github.com/repos/getsops/sops/issues/1424,open,2024-01-28,2024-02-09,,f44203e11716d95be2dd0e4b6a7c0ea4f92bba09
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1417,https://api.github.com/repos/getsops/sops/issues/1417,closed,2024-01-22,2024-01-29,,9f5c6b100b1ce63d6eabd68d266f414d0ebcf06f
dependabot[bot],https://api.github.com/repos/getsops/sops/pulls/1416,https://api.github.com/repos/getsops/sops/issues/1416,closed,2024-01-22,2024-01-29,,3abbf25f3861fc86aff2912aff53d0289f7d53a3
