user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
parviz-yu,https://api.github.com/repos/go-playground/validator/pulls/1237,https://api.github.com/repos/go-playground/validator/issues/1237,open,2024-02-26,2024-02-26,,0c22c75b67abf4558c4ad29d3a25928a4cc05dd3
amirkaramiit,https://api.github.com/repos/go-playground/validator/pulls/1236,https://api.github.com/repos/go-playground/validator/issues/1236,open,2024-02-22,2024-02-22,,a6c0544c3f5291e00a17e9b2441d121c658121e2
MysteriousPotato,https://api.github.com/repos/go-playground/validator/pulls/1235,https://api.github.com/repos/go-playground/validator/issues/1235,open,2024-02-22,2024-02-22,,905729790f439fbd49755962bc1f456b4202e413
nikolaianohyn,https://api.github.com/repos/go-playground/validator/pulls/1234,https://api.github.com/repos/go-playground/validator/issues/1234,closed,2024-02-22,2024-03-02,2024-03-02,cec504f2f70aac9c9c1014a60013b3e8906c5b6d
bfabio,https://api.github.com/repos/go-playground/validator/pulls/1231,https://api.github.com/repos/go-playground/validator/issues/1231,open,2024-02-14,2024-02-14,,786228190871769ca578895fdf01666322a5e8a9
xgourmandin,https://api.github.com/repos/go-playground/validator/pulls/1230,https://api.github.com/repos/go-playground/validator/issues/1230,open,2024-02-14,2024-02-14,,5935b09902da79cf52df3d3700922a89c43a8591
leodido,https://api.github.com/repos/go-playground/validator/pulls/1228,https://api.github.com/repos/go-playground/validator/issues/1228,open,2024-02-12,2024-02-12,,79d6db3f7a90f644ea223096ad8e99eeb4273e5d
ddymko,https://api.github.com/repos/go-playground/validator/pulls/1226,https://api.github.com/repos/go-playground/validator/issues/1226,closed,2024-02-12,2024-02-21,,d0ea59d859ac0209b356c34e60966d6f9c14b628
leodido,https://api.github.com/repos/go-playground/validator/pulls/1224,https://api.github.com/repos/go-playground/validator/issues/1224,open,2024-02-12,2024-02-12,,09fb13f9ed5a52dd3953283f4220c686b4054f0b
deankarn,https://api.github.com/repos/go-playground/validator/pulls/1222,https://api.github.com/repos/go-playground/validator/issues/1222,closed,2024-02-11,2024-02-11,2024-02-11,01120ee0f2c16103754aab536d793d4dec609c60
jippi,https://api.github.com/repos/go-playground/validator/pulls/1219,https://api.github.com/repos/go-playground/validator/issues/1219,open,2024-02-01,2024-02-02,,0048ddc2e86c1075bd6a06e03be3880705bd9363
thinkofher,https://api.github.com/repos/go-playground/validator/pulls/1217,https://api.github.com/repos/go-playground/validator/issues/1217,open,2024-01-21,2024-01-21,,1b29637e568d7e19e74025d7bee4f991221d9134
bartventer,https://api.github.com/repos/go-playground/validator/pulls/1215,https://api.github.com/repos/go-playground/validator/issues/1215,open,2024-01-12,2024-01-12,,5c058f809a1946cab2286394facc650570461b6b
KimNorgaard,https://api.github.com/repos/go-playground/validator/pulls/1214,https://api.github.com/repos/go-playground/validator/issues/1214,open,2024-01-12,2024-01-12,,563b04effbfc19a72cfe5748b5b3feeae483d0bb
