user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
avezina-ubik,https://api.github.com/repos/golang-migrate/migrate/pulls/1042,https://api.github.com/repos/golang-migrate/migrate/issues/1042,open,2024-02-28,2024-02-29,,802b10a18e40264d4c6770b709514de5a8397028
nekrondev,https://api.github.com/repos/golang-migrate/migrate/pulls/1041,https://api.github.com/repos/golang-migrate/migrate/issues/1041,open,2024-02-21,2024-02-21,,9492f824257e32a7bf8765a430931e1c281e2b89
calvinbrown085,https://api.github.com/repos/golang-migrate/migrate/pulls/1039,https://api.github.com/repos/golang-migrate/migrate/issues/1039,closed,2024-02-19,2024-02-19,,3639dcf05e57aa2d9f64a6b5bbcf41fed2363fa0
code-R,https://api.github.com/repos/golang-migrate/migrate/pulls/1037,https://api.github.com/repos/golang-migrate/migrate/issues/1037,closed,2024-01-31,2024-01-31,,6b9bcf86544afc52b0429be90d422b89a964d926
AlexisOMG,https://api.github.com/repos/golang-migrate/migrate/pulls/1034,https://api.github.com/repos/golang-migrate/migrate/issues/1034,closed,2024-01-22,2024-01-22,,5ca6b6265aaff437f2e9e410664ad44e09f1fc34
AlexisOMG,https://api.github.com/repos/golang-migrate/migrate/pulls/1032,https://api.github.com/repos/golang-migrate/migrate/issues/1032,closed,2024-01-21,2024-01-21,,
AlexisOMG,https://api.github.com/repos/golang-migrate/migrate/pulls/1031,https://api.github.com/repos/golang-migrate/migrate/issues/1031,closed,2024-01-21,2024-01-21,,69be34d6da90e70d15993e6c97e65564dc66f23d
Ray-Barker,https://api.github.com/repos/golang-migrate/migrate/pulls/1030,https://api.github.com/repos/golang-migrate/migrate/issues/1030,open,2024-01-19,2024-01-19,,3461c554cd7c52625b208302a2539efc3f6df903
lksv,https://api.github.com/repos/golang-migrate/migrate/pulls/1029,https://api.github.com/repos/golang-migrate/migrate/issues/1029,open,2024-01-17,2024-01-17,,3e41f7cb585dbaa42c76455da426654cefd2c4fa
alyarskiy,https://api.github.com/repos/golang-migrate/migrate/pulls/1028,https://api.github.com/repos/golang-migrate/migrate/issues/1028,open,2024-01-16,2024-01-31,,369ea6740bc70b0bc5176a0f0f8e87755a94abc3
requaos,https://api.github.com/repos/golang-migrate/migrate/pulls/1027,https://api.github.com/repos/golang-migrate/migrate/issues/1027,open,2024-01-12,2024-01-12,,873359c6f73a620f381fd3b65eed995ba7b8a41a
requaos,https://api.github.com/repos/golang-migrate/migrate/pulls/1026,https://api.github.com/repos/golang-migrate/migrate/issues/1026,closed,2024-01-12,2024-01-12,,84a4da97241ad812857a1e695dc4f7f2b0c8ff9b
otoolep,https://api.github.com/repos/golang-migrate/migrate/pulls/1025,https://api.github.com/repos/golang-migrate/migrate/issues/1025,closed,2024-01-05,2024-01-11,2024-01-11,a5dc5d1efc69e65f4f4c8f7c76c96a80da71a68a
dependabot[bot],https://api.github.com/repos/golang-migrate/migrate/pulls/1022,https://api.github.com/repos/golang-migrate/migrate/issues/1022,closed,2023-12-31,2024-01-02,2024-01-02,0d4158977486291b6d148e053a3671574cb01b6c
nobbynobbs,https://api.github.com/repos/golang-migrate/migrate/pulls/1018,https://api.github.com/repos/golang-migrate/migrate/issues/1018,open,2023-12-22,2023-12-22,,dbf9b2ab618386ada1249968ed982d32f70fa651
dependabot[bot],https://api.github.com/repos/golang-migrate/migrate/pulls/1015,https://api.github.com/repos/golang-migrate/migrate/issues/1015,closed,2023-12-19,2023-12-20,2023-12-20,47a2661dd493804165a7119824c8eccebb12f293
dependabot[bot],https://api.github.com/repos/golang-migrate/migrate/pulls/1014,https://api.github.com/repos/golang-migrate/migrate/issues/1014,closed,2023-12-19,2023-12-20,2023-12-20,834fa39423b427295cfb8c12118955ac95d40917
ping-localhost,https://api.github.com/repos/golang-migrate/migrate/pulls/1010,https://api.github.com/repos/golang-migrate/migrate/issues/1010,open,2023-12-13,2024-01-18,,9229f69ff22306a47d6ecaceb5c3388adc765e60
daniel-garcia,https://api.github.com/repos/golang-migrate/migrate/pulls/1009,https://api.github.com/repos/golang-migrate/migrate/issues/1009,closed,2023-12-08,2023-12-08,,81afdad15dc9fd5ca360515372bca15a9e39c1b4
daniel-garcia,https://api.github.com/repos/golang-migrate/migrate/pulls/1008,https://api.github.com/repos/golang-migrate/migrate/issues/1008,closed,2023-12-01,2023-12-01,,
