user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
G-XD,https://api.github.com/repos/justauth/JustAuth/pulls/192,https://api.github.com/repos/justauth/JustAuth/issues/192,open,2024-01-19,2024-02-01,,5912cd4185a9ca89360ba6fc721ab7f2a4911127
ion1ze,https://api.github.com/repos/justauth/JustAuth/pulls/188,https://api.github.com/repos/justauth/JustAuth/issues/188,closed,2023-12-14,2023-12-19,,d0f3209eba564e7b346e7f65de95438e779b843d
ion1ze,https://api.github.com/repos/justauth/JustAuth/pulls/186,https://api.github.com/repos/justauth/JustAuth/issues/186,closed,2023-12-11,2023-12-13,,d5f9be19f87f4d157d08f1bd7912e5fb8083f831
christxlx,https://api.github.com/repos/justauth/JustAuth/pulls/166,https://api.github.com/repos/justauth/JustAuth/issues/166,closed,2023-03-21,2023-12-03,2023-12-03,4d2a110fea48405049ae339fe7488b4989446388
cheng521521,https://api.github.com/repos/justauth/JustAuth/pulls/159,https://api.github.com/repos/justauth/JustAuth/issues/159,closed,2022-10-03,2023-02-26,2023-02-26,ca8e194c4ebc2fc38dafd1b7cc70531cc00e29f3
marquis-chen,https://api.github.com/repos/justauth/JustAuth/pulls/155,https://api.github.com/repos/justauth/JustAuth/issues/155,closed,2022-09-05,2023-02-26,2023-02-26,81ea4b1620dd38383b13582424d4466607eb97db
cheng521521,https://api.github.com/repos/justauth/JustAuth/pulls/154,https://api.github.com/repos/justauth/JustAuth/issues/154,closed,2022-08-18,2022-10-03,,17a5e77219c8761ffdb6f75e30a9db08b72c3fb2
dependabot[bot],https://api.github.com/repos/justauth/JustAuth/pulls/149,https://api.github.com/repos/justauth/JustAuth/issues/149,closed,2022-06-17,2022-08-07,2022-08-07,571466f07968ca866482d5cd6d2365b03f81fd1b
zhangruhong,https://api.github.com/repos/justauth/JustAuth/pulls/142,https://api.github.com/repos/justauth/JustAuth/issues/142,closed,2021-12-29,2021-12-29,,e7e770c3c952a35e3e8d0d64b2b09cf4a3bf41f2
carldea,https://api.github.com/repos/justauth/JustAuth/pulls/138,https://api.github.com/repos/justauth/JustAuth/issues/138,closed,2021-09-27,2021-09-30,2021-09-29,12edff893e1c75e66601a7d44dd69ec3a0452776
verils,https://api.github.com/repos/justauth/JustAuth/pulls/134,https://api.github.com/repos/justauth/JustAuth/issues/134,closed,2021-09-01,2021-09-20,2021-09-20,497498dbf4f60bc52e2aa191729f2cd333364816
kang8,https://api.github.com/repos/justauth/JustAuth/pulls/133,https://api.github.com/repos/justauth/JustAuth/issues/133,closed,2021-08-27,2021-09-20,2021-09-20,62cd7af61946959b3819967420b1994d3e00948b
mroldx,https://api.github.com/repos/justauth/JustAuth/pulls/132,https://api.github.com/repos/justauth/JustAuth/issues/132,closed,2021-08-25,2021-08-26,2021-08-26,2de0ad5013a577405e56177921e3d1d0db72cc7d
