user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
EINDEX,https://api.github.com/repos/lobehub/lobe-chat/pulls/1456,https://api.github.com/repos/lobehub/lobe-chat/issues/1456,open,2024-03-03,2024-03-05,,94e636270c1d436b88884e56d2a990d60ff7f7fe
danielglh,https://api.github.com/repos/lobehub/lobe-chat/pulls/1455,https://api.github.com/repos/lobehub/lobe-chat/issues/1455,open,2024-03-03,2024-03-05,,752f4649b3a9a513391a838db4beff0a1b2d114b
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1449,https://api.github.com/repos/lobehub/lobe-chat/issues/1449,closed,2024-03-03,2024-03-03,2024-03-03,d0be0c7355f58e9387dc5ed066c8a5d7d692c248
renovate[bot],https://api.github.com/repos/lobehub/lobe-chat/pulls/1448,https://api.github.com/repos/lobehub/lobe-chat/issues/1448,closed,2024-03-03,2024-03-05,2024-03-03,0a0310d5856000cc4274023156ac05c06fc6fb54
renovate[bot],https://api.github.com/repos/lobehub/lobe-chat/pulls/1447,https://api.github.com/repos/lobehub/lobe-chat/issues/1447,closed,2024-03-03,2024-03-05,2024-03-03,04a6ef75fe9983abc8aed3910f9714dff1727a76
renovate[bot],https://api.github.com/repos/lobehub/lobe-chat/pulls/1446,https://api.github.com/repos/lobehub/lobe-chat/issues/1446,closed,2024-03-03,2024-03-05,2024-03-03,c95e4f075d25ec9b45fe2e3dec72a267161552fb
renovate[bot],https://api.github.com/repos/lobehub/lobe-chat/pulls/1445,https://api.github.com/repos/lobehub/lobe-chat/issues/1445,closed,2024-03-03,2024-03-05,2024-03-03,9ed648b5d8475cb97e9428ec8ff8395e02432423
renovate[bot],https://api.github.com/repos/lobehub/lobe-chat/pulls/1444,https://api.github.com/repos/lobehub/lobe-chat/issues/1444,closed,2024-03-03,2024-03-03,2024-03-03,61bf0ec277481e2c61b92c888aa29cbd6fddc863
lobehubbot,https://api.github.com/repos/lobehub/lobe-chat/pulls/1437,https://api.github.com/repos/lobehub/lobe-chat/issues/1437,closed,2024-03-01,2024-03-01,2024-03-01,003e230c57d3acc7062f2c4ad73ab1ff0a032576
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1436,https://api.github.com/repos/lobehub/lobe-chat/issues/1436,closed,2024-03-01,2024-03-01,,31b89e779094e2c8e48f0f3d2975c4b1cc277b0c
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1435,https://api.github.com/repos/lobehub/lobe-chat/issues/1435,closed,2024-03-01,2024-03-01,2024-03-01,233150e7521d945f0da511f57ceccd897da49b5c
laike,https://api.github.com/repos/lobehub/lobe-chat/pulls/1434,https://api.github.com/repos/lobehub/lobe-chat/issues/1434,closed,2024-03-01,2024-03-01,2024-03-01,bf29ec533ad57cacd4c102012fe3c4d4e0a4f183
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1433,https://api.github.com/repos/lobehub/lobe-chat/issues/1433,closed,2024-03-01,2024-03-01,2024-03-01,438b4c2bdb6875542a6794291c6963a701650ed1
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1426,https://api.github.com/repos/lobehub/lobe-chat/issues/1426,closed,2024-02-29,2024-02-29,2024-02-29,7d3c1b6ea6c3561022e39226d906ee3618e966d2
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1424,https://api.github.com/repos/lobehub/lobe-chat/issues/1424,closed,2024-02-29,2024-02-29,2024-02-29,063a4d5a2efafaa97c40bba748acb1155f480cdf
jrr997,https://api.github.com/repos/lobehub/lobe-chat/pulls/1423,https://api.github.com/repos/lobehub/lobe-chat/issues/1423,closed,2024-02-29,2024-02-29,2024-02-29,d992262beb5f26f390fb069e490126b624a0dae1
luxlzz6,https://api.github.com/repos/lobehub/lobe-chat/pulls/1422,https://api.github.com/repos/lobehub/lobe-chat/issues/1422,closed,2024-02-29,2024-02-29,,05ff516708226c10f7101d6427f4b010ebe15829
keung67,https://api.github.com/repos/lobehub/lobe-chat/pulls/1418,https://api.github.com/repos/lobehub/lobe-chat/issues/1418,closed,2024-02-28,2024-02-28,2024-02-28,87bf1fbfc7e4c5928038eeaf2ae4a4be83b4e6c9
arvinxx,https://api.github.com/repos/lobehub/lobe-chat/pulls/1417,https://api.github.com/repos/lobehub/lobe-chat/issues/1417,closed,2024-02-28,2024-02-28,2024-02-28,6aa168911d4fd356f2ccfe59d33455fd54bf610b
