user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
ivanpopelyshev,https://api.github.com/repos/mozilla/shumway/pulls/2453,https://api.github.com/repos/mozilla/shumway/issues/2453,open,2019-04-19,2019-04-19,,1c3518093093ab9d4c203258733df361fbb2c798
Mozilla-GitHub-Standards,https://api.github.com/repos/mozilla/shumway/pulls/2452,https://api.github.com/repos/mozilla/shumway/issues/2452,open,2019-03-28,2019-03-28,,0629bafec94c180fb06b0b36c7f46dcbadffcbd0
ivanpopelyshev,https://api.github.com/repos/mozilla/shumway/pulls/2448,https://api.github.com/repos/mozilla/shumway/issues/2448,open,2019-01-16,2019-01-16,,27cc4696baf4616eeb4fdec84f94728c4bf20fd9
ExE-Boss,https://api.github.com/repos/mozilla/shumway/pulls/2444,https://api.github.com/repos/mozilla/shumway/issues/2444,open,2018-04-15,2018-04-15,,daef48c5d52d9576cb647948c06af19d8749da17
demurgos,https://api.github.com/repos/mozilla/shumway/pulls/2443,https://api.github.com/repos/mozilla/shumway/issues/2443,open,2018-02-12,2018-03-27,,e17f569636030da2837eb1835cd7e8364e28f307
ivanpopelyshev,https://api.github.com/repos/mozilla/shumway/pulls/2442,https://api.github.com/repos/mozilla/shumway/issues/2442,open,2017-12-25,2019-01-16,,bef277fef58a9a1b87f65a77f9b1f3b5b45c97a4
ivanpopelyshev,https://api.github.com/repos/mozilla/shumway/pulls/2441,https://api.github.com/repos/mozilla/shumway/issues/2441,closed,2017-12-08,2017-12-25,,86af54fd9bf0a34b3109c6ee6bb074eb64441ebc
jabbany,https://api.github.com/repos/mozilla/shumway/pulls/2436,https://api.github.com/repos/mozilla/shumway/issues/2436,open,2017-04-24,2017-04-24,,c7abe19c94008da720cc2c52fd7d9eae0b370954
ExE-Boss,https://api.github.com/repos/mozilla/shumway/pulls/2434,https://api.github.com/repos/mozilla/shumway/issues/2434,open,2017-04-06,2018-04-11,,9eb202350be7fabe60797cdb56e785edc9225b42
luser,https://api.github.com/repos/mozilla/shumway/pulls/2417,https://api.github.com/repos/mozilla/shumway/issues/2417,closed,2016-03-29,2016-03-29,2016-03-29,16451d8836fa85f4b16eeda8b4bda2fa9e2b22b0
faceofwin,https://api.github.com/repos/mozilla/shumway/pulls/2407,https://api.github.com/repos/mozilla/shumway/issues/2407,open,2016-01-27,2016-03-29,,85bb1f40775396ac5b59993a885e764154cab321
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2394,https://api.github.com/repos/mozilla/shumway/issues/2394,closed,2015-09-24,2015-11-17,,efea3603470ed8852866878f330ddd6ad168778d
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2392,https://api.github.com/repos/mozilla/shumway/issues/2392,open,2015-09-17,2016-04-18,,6dad41fb2abdac370d8bc30c21aabdeffb3bb2fa
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2389,https://api.github.com/repos/mozilla/shumway/issues/2389,open,2015-09-15,2015-10-15,,471a2bddce1d5f5e9e1d533c556e3337cb53f701
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2387,https://api.github.com/repos/mozilla/shumway/issues/2387,closed,2015-09-14,2015-09-19,2015-09-19,34b04b2dc8bb12d08dd875aee5bbc818758547a8
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2386,https://api.github.com/repos/mozilla/shumway/issues/2386,closed,2015-09-12,2015-09-14,2015-09-14,5fce2dde866a4b46ee7f20d028dba135e9332229
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2385,https://api.github.com/repos/mozilla/shumway/issues/2385,closed,2015-09-12,2015-09-12,2015-09-12,9d5900b0ab8db2543d68c46459c12d4789d7f572
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2384,https://api.github.com/repos/mozilla/shumway/issues/2384,closed,2015-09-11,2015-09-12,2015-09-12,67c7b8115adea7d9c9ce30ce3950297f9d875d66
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2383,https://api.github.com/repos/mozilla/shumway/issues/2383,closed,2015-09-11,2015-09-11,2015-09-11,c7eb5b7b6bb22def279a5c2322e41f35840b9d12
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2382,https://api.github.com/repos/mozilla/shumway/issues/2382,closed,2015-09-10,2015-09-10,2015-09-10,74910d95016e73fc880d989c781b830df8d17e0f
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2381,https://api.github.com/repos/mozilla/shumway/issues/2381,closed,2015-09-09,2015-09-10,2015-09-10,1d90b7c01366036adcbef416b5edbc6ca39c0a8f
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2380,https://api.github.com/repos/mozilla/shumway/issues/2380,closed,2015-09-09,2015-09-09,2015-09-09,458805a26b071930d5cdbf1ede31970dbcf674e0
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2379,https://api.github.com/repos/mozilla/shumway/issues/2379,closed,2015-09-09,2015-09-09,2015-09-09,d5013febefbcd85c0ed62b5e62aa0b4c4159f315
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2378,https://api.github.com/repos/mozilla/shumway/issues/2378,closed,2015-09-09,2015-09-10,2015-09-10,e35e10d8c140a9cf60771d757f464a3893d0f663
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2377,https://api.github.com/repos/mozilla/shumway/issues/2377,closed,2015-09-09,2015-09-12,2015-09-12,be4eb94864b795a7b7f825530965f7f4c7bb7233
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2376,https://api.github.com/repos/mozilla/shumway/issues/2376,closed,2015-09-09,2015-09-09,2015-09-09,8c30eb8ea8a29b1e0fb459886b41a964a10a7003
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2375,https://api.github.com/repos/mozilla/shumway/issues/2375,closed,2015-09-08,2015-09-09,2015-09-09,e97faaa06207dc4f36e9f79e4d475f2a7340b38a
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2374,https://api.github.com/repos/mozilla/shumway/issues/2374,closed,2015-09-08,2015-09-08,2015-09-08,8c99aa4a0bc720bc078b24f4ea056423c4d2a468
tobitailor,https://api.github.com/repos/mozilla/shumway/pulls/2373,https://api.github.com/repos/mozilla/shumway/issues/2373,closed,2015-09-08,2015-09-09,2015-09-09,6ad3109e885f4f730d63843d7bb63ffa1c667589
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2372,https://api.github.com/repos/mozilla/shumway/issues/2372,closed,2015-09-08,2015-09-08,2015-09-08,33ec2243fca50f833ae8e9bb2a1c19579c180300
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2371,https://api.github.com/repos/mozilla/shumway/issues/2371,closed,2015-09-06,2015-09-06,2015-09-06,7d8cc42ad91e8af2b0bec23071f95e717cdd6526
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2370,https://api.github.com/repos/mozilla/shumway/issues/2370,closed,2015-09-03,2015-09-04,2015-09-04,00e1e5c52eee5213cd15eb87b5716ba37a1a81e8
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2369,https://api.github.com/repos/mozilla/shumway/issues/2369,closed,2015-09-03,2015-09-03,2015-09-03,cd69e689d0631959d673da72dc5f8c78d0c46ab2
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2368,https://api.github.com/repos/mozilla/shumway/issues/2368,closed,2015-09-03,2015-09-03,2015-09-03,0bba80df097cf5e723706c6f0f46224226abfc8f
tobitailor,https://api.github.com/repos/mozilla/shumway/pulls/2367,https://api.github.com/repos/mozilla/shumway/issues/2367,closed,2015-09-02,2015-09-03,2015-09-03,8b1a10c29a54486c85e89c75ed5139a934fe8fa9
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2366,https://api.github.com/repos/mozilla/shumway/issues/2366,closed,2015-09-02,2015-09-03,2015-09-03,59bdb93de29b5b022485eb4c99407db77178b0eb
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2365,https://api.github.com/repos/mozilla/shumway/issues/2365,closed,2015-09-02,2015-09-04,,0f4a09f4dbad153a4b2835c00847217d7ba450c1
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2364,https://api.github.com/repos/mozilla/shumway/issues/2364,closed,2015-09-02,2015-09-10,2015-09-10,47c2074fabb5166dbb2d3eaf4e977e23581f75b0
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2363,https://api.github.com/repos/mozilla/shumway/issues/2363,closed,2015-09-02,2015-09-02,2015-09-02,0eb8faab2c2a31b00e1bc6d46130fa47dc87f140
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2362,https://api.github.com/repos/mozilla/shumway/issues/2362,closed,2015-09-02,2015-09-02,2015-09-02,92d759ea03fbf8033695f93a92559e1fbf6b9237
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2361,https://api.github.com/repos/mozilla/shumway/issues/2361,closed,2015-09-02,2015-09-09,2015-09-09,0064e5eaada1173fc6c2bedf4e19b0e44efa8cce
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2360,https://api.github.com/repos/mozilla/shumway/issues/2360,closed,2015-09-02,2015-09-02,2015-09-02,676e519a59f2c9d983ec78b654a90fe85e37b81a
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2359,https://api.github.com/repos/mozilla/shumway/issues/2359,closed,2015-09-02,2015-09-02,2015-09-02,84c23f1ecb0580c225cdbbfcfd56e777a30494a2
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2358,https://api.github.com/repos/mozilla/shumway/issues/2358,closed,2015-09-02,2015-09-02,,96fa8d404ddac8ddff028921ae56ace9e19b0d34
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2357,https://api.github.com/repos/mozilla/shumway/issues/2357,closed,2015-09-01,2015-09-01,2015-09-01,0d8d7dfcc9070513cd5b0446c19079088b4e7f88
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2356,https://api.github.com/repos/mozilla/shumway/issues/2356,closed,2015-08-31,2015-09-09,2015-09-09,7cf3343137508705cdd641a3d0c397d5d7a8f32f
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2355,https://api.github.com/repos/mozilla/shumway/issues/2355,closed,2015-08-28,2015-08-29,2015-08-29,178edd9fae2dffd7726f9d3a36ff50c07cd2fb76
mbebenita,https://api.github.com/repos/mozilla/shumway/pulls/2354,https://api.github.com/repos/mozilla/shumway/issues/2354,closed,2015-08-28,2015-08-28,2015-08-28,6e8dce5732854d5dc45577ca1338bf12d6761035
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2353,https://api.github.com/repos/mozilla/shumway/issues/2353,closed,2015-08-28,2015-08-29,2015-08-29,bc1a696ca4a3fe05a9a0414cc879e951a332914d
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2352,https://api.github.com/repos/mozilla/shumway/issues/2352,closed,2015-08-27,2015-08-27,2015-08-27,44b4cc4eac734418ab6c6d663bbd02da11c5f604
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2351,https://api.github.com/repos/mozilla/shumway/issues/2351,closed,2015-08-27,2015-08-27,2015-08-27,7ede3d751d60d75e2d4e9112d3ac540d39d3fac3
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2350,https://api.github.com/repos/mozilla/shumway/issues/2350,closed,2015-08-26,2015-08-27,2015-08-27,365310b577bb407ac2b4e04b3c99468f42551a84
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2349,https://api.github.com/repos/mozilla/shumway/issues/2349,closed,2015-08-26,2015-08-27,2015-08-27,5acfb8f8b1256cccc4968c16957d006b279fd5dc
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2348,https://api.github.com/repos/mozilla/shumway/issues/2348,closed,2015-08-26,2015-08-26,2015-08-26,ff887d4bf599e240437ccee12acac8d7ea081f3c
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2347,https://api.github.com/repos/mozilla/shumway/issues/2347,closed,2015-08-26,2015-08-27,2015-08-27,3562fa20a134b4a65cc0b4b71bf604ab9e4a115b
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2346,https://api.github.com/repos/mozilla/shumway/issues/2346,closed,2015-08-26,2015-08-26,2015-08-26,a71ca2b860a30eaabaa69a4bf1bbf9bf0c013d8d
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2345,https://api.github.com/repos/mozilla/shumway/issues/2345,closed,2015-08-20,2015-10-14,2015-10-14,a032410dd3c3f113d94a4a852e1d53956698b1ba
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2344,https://api.github.com/repos/mozilla/shumway/issues/2344,closed,2015-08-20,2015-08-20,2015-08-20,f2f1e675f585c048b0f47fc8cc438891a49ee24f
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2343,https://api.github.com/repos/mozilla/shumway/issues/2343,closed,2015-08-19,2015-08-19,2015-08-19,ee2d7127c48ed85adb74847a2ac07243d38df038
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2341,https://api.github.com/repos/mozilla/shumway/issues/2341,closed,2015-08-14,2015-08-14,2015-08-14,ccb4b80b34c79c4c198606103d27eb0e113a951d
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2340,https://api.github.com/repos/mozilla/shumway/issues/2340,closed,2015-08-14,2015-08-15,2015-08-15,5611328a02f81c81f36ceacb8e9fe7a930adb7f7
tschneidereit,https://api.github.com/repos/mozilla/shumway/pulls/2339,https://api.github.com/repos/mozilla/shumway/issues/2339,closed,2015-08-12,2015-08-13,2015-08-13,8b2bd3c5816581bea4ed2f972afdb859b61916fd
yurydelendik,https://api.github.com/repos/mozilla/shumway/pulls/2338,https://api.github.com/repos/mozilla/shumway/issues/2338,closed,2015-08-12,2015-08-12,2015-08-12,d1d7515445ffe544e59e54277bf902a345b86a2a
