user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Kiskae,https://api.github.com/repos/nicolargo/glances/pulls/2688,https://api.github.com/repos/nicolargo/glances/issues/2688,closed,2024-03-03,2024-03-04,2024-03-04,57eaa08a525585da5b34ec8120837fa230ac3045
turbocrime,https://api.github.com/repos/nicolargo/glances/pulls/2687,https://api.github.com/repos/nicolargo/glances/issues/2687,closed,2024-03-01,2024-03-04,2024-03-04,be7457e6348c6c8d4d7e8f722e8e46fba5295271
renovate[bot],https://api.github.com/repos/nicolargo/glances/pulls/2685,https://api.github.com/repos/nicolargo/glances/issues/2685,closed,2024-03-01,2024-03-04,,0247fbab52e62d2eae9312472b665d797756b5d1
nicolargo,https://api.github.com/repos/nicolargo/glances/pulls/2683,https://api.github.com/repos/nicolargo/glances/issues/2683,open,2024-02-24,2024-02-24,,98cbb4fdcbb560cd4e14052e970cf05ab35f6ad9
renovate[bot],https://api.github.com/repos/nicolargo/glances/pulls/2682,https://api.github.com/repos/nicolargo/glances/issues/2682,open,2024-02-17,2024-02-17,,9f8f60361a602bd53cd63d892470d0aa037ea67e
nicolargo,https://api.github.com/repos/nicolargo/glances/pulls/2678,https://api.github.com/repos/nicolargo/glances/issues/2678,open,2024-02-11,2024-02-11,,ace5310da175948346a161fddaf6596b6935bbe7
cmatsuoka,https://api.github.com/repos/nicolargo/glances/pulls/2672,https://api.github.com/repos/nicolargo/glances/issues/2672,closed,2024-02-03,2024-02-17,,3462cee28ac361155cf1eab4a8d478f22a04f007
cmatsuoka,https://api.github.com/repos/nicolargo/glances/pulls/2669,https://api.github.com/repos/nicolargo/glances/issues/2669,closed,2024-01-29,2024-02-03,,2eef319ed97085a39c919114aa97e6170d49d0c4
renovate[bot],https://api.github.com/repos/nicolargo/glances/pulls/2663,https://api.github.com/repos/nicolargo/glances/issues/2663,open,2024-01-20,2024-01-28,,d32cc1a39a9d6455817b5d07475020484c9671ca
renovate[bot],https://api.github.com/repos/nicolargo/glances/pulls/2661,https://api.github.com/repos/nicolargo/glances/issues/2661,open,2024-01-20,2024-01-28,,481471e6fe97373a2f1d1718b66db5666c4a6bb9
dependabot[bot],https://api.github.com/repos/nicolargo/glances/pulls/2657,https://api.github.com/repos/nicolargo/glances/issues/2657,closed,2024-01-14,2024-01-28,,299bd107689c910e0f450a1faa16725e05c7cb0a
osalbahr,https://api.github.com/repos/nicolargo/glances/pulls/2641,https://api.github.com/repos/nicolargo/glances/issues/2641,closed,2024-01-04,2024-01-06,2024-01-06,98f08f8511220c45310990dfbaef5fb0ecc72972
clintonsteiner,https://api.github.com/repos/nicolargo/glances/pulls/2640,https://api.github.com/repos/nicolargo/glances/issues/2640,closed,2024-01-03,2024-01-06,2024-01-06,d2a5f5aab43dd588e15c113a734135f7bc32e4c0
clintonsteiner,https://api.github.com/repos/nicolargo/glances/pulls/2638,https://api.github.com/repos/nicolargo/glances/issues/2638,closed,2024-01-02,2024-01-03,,
clintonsteiner,https://api.github.com/repos/nicolargo/glances/pulls/2635,https://api.github.com/repos/nicolargo/glances/issues/2635,closed,2023-12-29,2024-01-03,,23e3d649e7bf4e6254d89564e7a17507dda4f3b7
nicolargo,https://api.github.com/repos/nicolargo/glances/pulls/2631,https://api.github.com/repos/nicolargo/glances/issues/2631,closed,2023-12-21,2024-01-20,2024-01-20,a6276ac6bdda523231db2755da3b701a10fc0f66
gtimchenko,https://api.github.com/repos/nicolargo/glances/pulls/2625,https://api.github.com/repos/nicolargo/glances/issues/2625,closed,2023-12-10,2023-12-10,2023-12-10,c82a5a70981ebac0f21c26942155d6cd215a2c5a
gtimchenko,https://api.github.com/repos/nicolargo/glances/pulls/2624,https://api.github.com/repos/nicolargo/glances/issues/2624,closed,2023-12-10,2023-12-10,,
gtimchenko,https://api.github.com/repos/nicolargo/glances/pulls/2620,https://api.github.com/repos/nicolargo/glances/issues/2620,closed,2023-12-10,2023-12-10,2023-12-10,4fc1336810dfdd2a27adf9fb161718398600ff8d
