user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
HaraldFair,https://api.github.com/repos/nukeop/nuclear/pulls/1563,https://api.github.com/repos/nukeop/nuclear/issues/1563,closed,2024-03-02,2024-03-03,2024-03-03,f988ec47871b21e365ae1723abba5bb1ef099825
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1562,https://api.github.com/repos/nukeop/nuclear/issues/1562,open,2024-02-29,2024-03-01,,5c99ad497224b1f5275530bac7f3939922f94fbc
Alzamer,https://api.github.com/repos/nukeop/nuclear/pulls/1561,https://api.github.com/repos/nukeop/nuclear/issues/1561,open,2024-02-26,2024-02-26,,c6d795e96f1d45f54d58b906112f1dbbf54ebe99
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1559,https://api.github.com/repos/nukeop/nuclear/issues/1559,open,2024-02-25,2024-02-25,,915d006588dbde7040aff7add11fc4f7d1d13916
amanbhardwaj12072003,https://api.github.com/repos/nukeop/nuclear/pulls/1556,https://api.github.com/repos/nukeop/nuclear/issues/1556,open,2024-02-20,2024-02-24,,17682d6e4024bf46c7fcd16e33dd28e0ce76e6d4
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1554,https://api.github.com/repos/nukeop/nuclear/issues/1554,closed,2024-02-16,2024-02-24,2024-02-24,98529a08aaf35c7df0a7f531a66c5389e6c1eda4
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1553,https://api.github.com/repos/nukeop/nuclear/issues/1553,closed,2024-02-16,2024-02-24,2024-02-24,1ec000acaa3926a52119b35bfaf0e1b091dfe5c4
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1552,https://api.github.com/repos/nukeop/nuclear/issues/1552,open,2024-02-13,2024-03-03,,e42980dbd8bc6b38a1b31c1058ab28e4253b9aa8
ursapillay,https://api.github.com/repos/nukeop/nuclear/pulls/1551,https://api.github.com/repos/nukeop/nuclear/issues/1551,open,2024-02-11,2024-02-11,,af6dda27728b61d21bbe99e995e9bebdd3090203
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1549,https://api.github.com/repos/nukeop/nuclear/issues/1549,closed,2024-02-11,2024-02-14,2024-02-14,d01e199db702deba4e9d2bd1b1c525c7fbd53589
sferra,https://api.github.com/repos/nukeop/nuclear/pulls/1548,https://api.github.com/repos/nukeop/nuclear/issues/1548,closed,2024-02-10,2024-02-11,2024-02-11,0c7c69aafd07954033a28dc954db8635487d99cb
nukeop,https://api.github.com/repos/nukeop/nuclear/pulls/1547,https://api.github.com/repos/nukeop/nuclear/issues/1547,open,2024-02-08,2024-02-14,,bdd5622df25fad270306b11c8ca75326b78ed07c
