user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Cypher1,https://api.github.com/repos/python-poetry/poetry/pulls/9113,https://api.github.com/repos/python-poetry/poetry/issues/9113,open,2024-03-05,2024-03-05,,3cb0ebeb6b0b2a4625de250f8fd832f91c8a9c3a
poetry-bot[bot],https://api.github.com/repos/python-poetry/poetry/pulls/9112,https://api.github.com/repos/python-poetry/poetry/issues/9112,closed,2024-03-04,2024-03-04,2024-03-04,561a1464bc0d4f2376ad1b5da27d6963461ce3f4
abn,https://api.github.com/repos/python-poetry/poetry/pulls/9111,https://api.github.com/repos/python-poetry/poetry/issues/9111,closed,2024-03-04,2024-03-04,2024-03-04,fb76494a2e42122a035b52c3baeff75f41418b9a
abn,https://api.github.com/repos/python-poetry/poetry/pulls/9110,https://api.github.com/repos/python-poetry/poetry/issues/9110,closed,2024-03-04,2024-03-04,2024-03-04,d08c75afcc097b3b6a73c704f64f7cebbc2765c1
Secrus,https://api.github.com/repos/python-poetry/poetry/pulls/9108,https://api.github.com/repos/python-poetry/poetry/issues/9108,closed,2024-03-03,2024-03-03,2024-03-03,748883e717770b4b146700368c69f384e167339b
abn,https://api.github.com/repos/python-poetry/poetry/pulls/9107,https://api.github.com/repos/python-poetry/poetry/issues/9107,closed,2024-03-03,2024-03-04,2024-03-04,2f6a5534794fd6dbf818a3a0f056e3b45886bdb0
poetry-bot[bot],https://api.github.com/repos/python-poetry/poetry/pulls/9106,https://api.github.com/repos/python-poetry/poetry/issues/9106,closed,2024-03-03,2024-03-03,2024-03-03,e6c7c3fba55ed49e7b37c8162a8b77234ca6f47a
abn,https://api.github.com/repos/python-poetry/poetry/pulls/9105,https://api.github.com/repos/python-poetry/poetry/issues/9105,closed,2024-03-03,2024-03-03,2024-03-03,52e06eb3a56ca6ade96e2169e2e47a242cc0b347
abn,https://api.github.com/repos/python-poetry/poetry/pulls/9104,https://api.github.com/repos/python-poetry/poetry/issues/9104,closed,2024-03-03,2024-03-03,2024-03-03,1b309b6ab7b9903b9d4c16378cd2e3f9939b4ea0
dimbleby,https://api.github.com/repos/python-poetry/poetry/pulls/9103,https://api.github.com/repos/python-poetry/poetry/issues/9103,closed,2024-03-03,2024-03-03,2024-03-03,b8fd4a1233c858fca678ebf4b0c06cc42f5b554b
