user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
gau-nernst,https://api.github.com/repos/pytorch/vision/pulls/8295,https://api.github.com/repos/pytorch/vision/issues/8295,open,2024-03-05,2024-03-05,,9b043290f61d6f2fb6f7f433d64641ff4eebe40c
NicolasHug,https://api.github.com/repos/pytorch/vision/pulls/8291,https://api.github.com/repos/pytorch/vision/issues/8291,closed,2024-03-04,2024-03-04,2024-03-04,c8c3839cb9b0fc52885cafa431460f686c46f5ae
zhulinchng,https://api.github.com/repos/pytorch/vision/pulls/8287,https://api.github.com/repos/pytorch/vision/issues/8287,closed,2024-03-04,2024-03-04,2024-03-04,3b5e6fc42403cc20f8cfbafb52a75b30bd00c226
zhulinchng,https://api.github.com/repos/pytorch/vision/pulls/8286,https://api.github.com/repos/pytorch/vision/issues/8286,closed,2024-03-04,2024-03-04,,688e3b984545b880749ded38e0b13e3629a20591
atalman,https://api.github.com/repos/pytorch/vision/pulls/8282,https://api.github.com/repos/pytorch/vision/issues/8282,closed,2024-02-27,2024-02-27,2024-02-27,2c127da8b5e2e8f44b50994c6cb931bcca267cfe
Tobias-Fischer,https://api.github.com/repos/pytorch/vision/pulls/8280,https://api.github.com/repos/pytorch/vision/issues/8280,open,2024-02-25,2024-03-04,,c99ee760cdc171282dd02605cd956152b6f3cfdb
vfdev-5,https://api.github.com/repos/pytorch/vision/pulls/8279,https://api.github.com/repos/pytorch/vision/issues/8279,open,2024-02-23,2024-03-05,,74d960267eb0ca0fec9105ae63fdcbb025a2c277
GsnMithra,https://api.github.com/repos/pytorch/vision/pulls/8276,https://api.github.com/repos/pytorch/vision/issues/8276,closed,2024-02-17,2024-03-04,2024-03-04,fa5b844665f34e1d02244779a0d97335ec0b8613
pmeier,https://api.github.com/repos/pytorch/vision/pulls/8273,https://api.github.com/repos/pytorch/vision/issues/8273,closed,2024-02-14,2024-02-15,2024-02-15,b1123cfd543d35d282de9bb28067e48ebec18afe
pmeier,https://api.github.com/repos/pytorch/vision/pulls/8272,https://api.github.com/repos/pytorch/vision/issues/8272,closed,2024-02-14,2024-02-14,2024-02-14,f21c6bd8ca5cd057fc3d1e0dc5ea8f6403dc144f
atalman,https://api.github.com/repos/pytorch/vision/pulls/8271,https://api.github.com/repos/pytorch/vision/issues/8271,closed,2024-02-12,2024-02-13,2024-02-12,4fd856bfbcf59a4da3a91f0e12515c7ef0709777
NicolasHug,https://api.github.com/repos/pytorch/vision/pulls/8267,https://api.github.com/repos/pytorch/vision/issues/8267,closed,2024-02-09,2024-02-09,2024-02-09,20610ed3f8d79c8d1b414ffd6f317951b43dabfb
NicolasHug,https://api.github.com/repos/pytorch/vision/pulls/8265,https://api.github.com/repos/pytorch/vision/issues/8265,closed,2024-02-08,2024-02-09,2024-02-09,a52607ece94aedbe41107617ace22a8da91efc25
NicolasHug,https://api.github.com/repos/pytorch/vision/pulls/8264,https://api.github.com/repos/pytorch/vision/issues/8264,closed,2024-02-08,2024-02-08,2024-02-08,a0e8e6cfb1ee597f9c745f43c4ccf9f42d34c870
mantasu,https://api.github.com/repos/pytorch/vision/pulls/8262,https://api.github.com/repos/pytorch/vision/issues/8262,open,2024-02-07,2024-02-24,,1304d7c1e76e1c9408636911ce0ce4e4127488e4
GuoZhiBin2014,https://api.github.com/repos/pytorch/vision/pulls/8257,https://api.github.com/repos/pytorch/vision/issues/8257,closed,2024-02-06,2024-02-06,,442013065b2be298a1b655c8e3c18aad308be09d
mantasu,https://api.github.com/repos/pytorch/vision/pulls/8256,https://api.github.com/repos/pytorch/vision/issues/8256,closed,2024-02-05,2024-02-06,2024-02-06,36d0e3e64c16103d9ba6e75af935c9a884d99cc5
DanilBaibak,https://api.github.com/repos/pytorch/vision/pulls/8253,https://api.github.com/repos/pytorch/vision/issues/8253,closed,2024-02-05,2024-02-06,2024-02-06,8e712070dc6bdfbd8a756e620bdd5d8d65555bf3
adamtheturtle,https://api.github.com/repos/pytorch/vision/pulls/8251,https://api.github.com/repos/pytorch/vision/issues/8251,closed,2024-02-02,2024-02-08,2024-02-08,81e2831a5509c1f2989b8f4bb25f40f7c9ee93ea
Parskatt,https://api.github.com/repos/pytorch/vision/pulls/8249,https://api.github.com/repos/pytorch/vision/issues/8249,closed,2024-02-02,2024-02-06,2024-02-06,4c0f44145792adca866a1668a79f2e11ed966491
