user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
groot007,https://api.github.com/repos/react-navigation/react-navigation/pulls/11869,https://api.github.com/repos/react-navigation/react-navigation/issues/11869,open,2024-03-05,2024-03-05,,59af9bd59b858af34e682ba6fe925090850ef085
groot007,https://api.github.com/repos/react-navigation/react-navigation/pulls/11867,https://api.github.com/repos/react-navigation/react-navigation/issues/11867,open,2024-03-05,2024-03-05,,b14f65f56c811b81292aad305865f68fb1dc1367
vibhor-d11,https://api.github.com/repos/react-navigation/react-navigation/pulls/11866,https://api.github.com/repos/react-navigation/react-navigation/issues/11866,open,2024-03-05,2024-03-05,,48242a13b39a2f421c66faad0ad0ee5fbc2c9400
groot007,https://api.github.com/repos/react-navigation/react-navigation/pulls/11864,https://api.github.com/repos/react-navigation/react-navigation/issues/11864,closed,2024-03-02,2024-03-03,2024-03-03,872659710dec1b097ec7c7b1dd59a6174e021b30
therealkh,https://api.github.com/repos/react-navigation/react-navigation/pulls/11862,https://api.github.com/repos/react-navigation/react-navigation/issues/11862,open,2024-02-29,2024-02-29,,4f3f93b55119541a072fd94a66b967a8fd8219c8
groot007,https://api.github.com/repos/react-navigation/react-navigation/pulls/11860,https://api.github.com/repos/react-navigation/react-navigation/issues/11860,open,2024-02-29,2024-03-04,,94a2e0d7f9006d06b15dcf440bbdbc87e2392b4b
alexandre1921,https://api.github.com/repos/react-navigation/react-navigation/pulls/11859,https://api.github.com/repos/react-navigation/react-navigation/issues/11859,closed,2024-02-28,2024-02-29,,a932f1efa303798e280fa3c5b1fba66325d9e05b
groot007,https://api.github.com/repos/react-navigation/react-navigation/pulls/11854,https://api.github.com/repos/react-navigation/react-navigation/issues/11854,open,2024-02-27,2024-03-04,,44a46b93fe721bd40323f7dfbc9fb6c0e28587ec
ramen2020,https://api.github.com/repos/react-navigation/react-navigation/pulls/11852,https://api.github.com/repos/react-navigation/react-navigation/issues/11852,open,2024-02-26,2024-02-29,,035d8f1f0ca1fdaeb0c8182464d3ad57b1416ab2
rexfordessilfie,https://api.github.com/repos/react-navigation/react-navigation/pulls/11849,https://api.github.com/repos/react-navigation/react-navigation/issues/11849,open,2024-02-25,2024-03-04,,e2b7804ec123e4128e83a78c15f6debc01ac6a22
satya164,https://api.github.com/repos/react-navigation/react-navigation/pulls/11848,https://api.github.com/repos/react-navigation/react-navigation/issues/11848,open,2024-02-25,2024-02-28,,8b3e2d357b00229cf19d7c8c644772d24fb7dd34
rexfordessilfie,https://api.github.com/repos/react-navigation/react-navigation/pulls/11844,https://api.github.com/repos/react-navigation/react-navigation/issues/11844,open,2024-02-23,2024-03-04,,fd0bfaa8e9d0a041bdb9ec31f2acf39d08fd7b84
tboba,https://api.github.com/repos/react-navigation/react-navigation/pulls/11840,https://api.github.com/repos/react-navigation/react-navigation/issues/11840,closed,2024-02-21,2024-02-23,2024-02-23,c1e327ca40679ff9356a38e5ef96e349f323fb94
SlickDomique,https://api.github.com/repos/react-navigation/react-navigation/pulls/11833,https://api.github.com/repos/react-navigation/react-navigation/issues/11833,closed,2024-02-18,2024-02-23,2024-02-23,7e5df557182b080fb29faeae78634f7c2f1bcb10
MrRefactor,https://api.github.com/repos/react-navigation/react-navigation/pulls/11827,https://api.github.com/repos/react-navigation/react-navigation/issues/11827,closed,2024-02-15,2024-02-23,2024-02-23,b3512a5aa7fdcdac0ea3f23acda33b0cbce270e1
j-piasecki,https://api.github.com/repos/react-navigation/react-navigation/pulls/11807,https://api.github.com/repos/react-navigation/react-navigation/issues/11807,closed,2024-02-01,2024-02-08,2024-02-08,ce2cf9ffd14b6434420a331ced80da4f03130327
j-piasecki,https://api.github.com/repos/react-navigation/react-navigation/pulls/11806,https://api.github.com/repos/react-navigation/react-navigation/issues/11806,closed,2024-02-01,2024-02-07,2024-02-07,aa518f1171d6f4caafa2fe5675eefe55b586fd28
tboba,https://api.github.com/repos/react-navigation/react-navigation/pulls/11803,https://api.github.com/repos/react-navigation/react-navigation/issues/11803,closed,2024-01-31,2024-02-05,2024-02-01,90cfbf23bcc5259f3262691a9eec6c5b906e5262
gianlucalippolis,https://api.github.com/repos/react-navigation/react-navigation/pulls/11800,https://api.github.com/repos/react-navigation/react-navigation/issues/11800,closed,2024-01-24,2024-02-23,2024-02-23,1770c96834abf8af28aa0f3c6bffb618ea3dcce9
marceloqc,https://api.github.com/repos/react-navigation/react-navigation/pulls/11799,https://api.github.com/repos/react-navigation/react-navigation/issues/11799,closed,2024-01-24,2024-01-25,,1adb6101010267975f9fd9f5faf316dbe33ff31e
satya164,https://api.github.com/repos/react-navigation/react-navigation/pulls/11796,https://api.github.com/repos/react-navigation/react-navigation/issues/11796,closed,2024-01-23,2024-01-23,2024-01-23,0cc80f2ba96922e3815994a79a7511de87cd9a5b
intomyam,https://api.github.com/repos/react-navigation/react-navigation/pulls/11795,https://api.github.com/repos/react-navigation/react-navigation/issues/11795,closed,2024-01-23,2024-02-08,,963d261a658535f566e7a42bfe688621b059bd3b
superyarik,https://api.github.com/repos/react-navigation/react-navigation/pulls/11790,https://api.github.com/repos/react-navigation/react-navigation/issues/11790,closed,2024-01-18,2024-02-23,2024-02-23,db4653c1638435c025d1fcc4607869f87ef4a54d
gianlucalippolis,https://api.github.com/repos/react-navigation/react-navigation/pulls/11786,https://api.github.com/repos/react-navigation/react-navigation/issues/11786,closed,2024-01-16,2024-02-25,2024-02-08,4c521b5c865f2c46d58abb2e9e7fd1b0d2074215
abdelhakimrafik,https://api.github.com/repos/react-navigation/react-navigation/pulls/11785,https://api.github.com/repos/react-navigation/react-navigation/issues/11785,closed,2024-01-15,2024-01-18,2024-01-18,4dcb07e36985eef7a990d1b192a5ca10edf189f6
abdelhakimrafik,https://api.github.com/repos/react-navigation/react-navigation/pulls/11783,https://api.github.com/repos/react-navigation/react-navigation/issues/11783,closed,2024-01-15,2024-01-18,,fb7027725c8d7f45a91bdd8d9c7b8f9f26d46785
douglowder,https://api.github.com/repos/react-navigation/react-navigation/pulls/11782,https://api.github.com/repos/react-navigation/react-navigation/issues/11782,closed,2024-01-13,2024-01-18,2024-01-18,aa5ae177d4d6b7ea2ae36c194b6a46747c242f9b
