user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
sundowndev,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1399,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1399,closed,2024-02-21,2024-02-21,2024-02-21,5f6156f567613a07ea8e3f04b004864582060a57
sundowndev,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1396,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1396,closed,2024-02-15,2024-02-20,2024-02-20,72e43a7ac53d45f84494df8e715c142d39b98eb0
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1387,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1387,open,2023-12-25,2023-12-25,,757a68de19dc6758bb5599cf04dcc88ab5bb1f15
sundowndev,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1385,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1385,closed,2023-12-21,2023-12-21,2023-12-21,b38394aa32fb95f664e959b3f2e9fe4d0e271442
sundowndev,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1384,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1384,closed,2023-12-21,2023-12-21,2023-12-21,07e742b09070ca4027fff974a9184966710d1522
Ahmedkbcx,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1379,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1379,closed,2023-12-12,2023-12-12,,b37bf5e10f15b6f6e9b1567be2432b883754505b
Ahmedkbcx,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1378,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1378,closed,2023-12-12,2023-12-12,,bbdb312a4824ece7963aae4246bbf1a86744435e
Ahmedkbcx,https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1377,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1377,closed,2023-12-12,2023-12-12,,beffc1166c7b3524c88e907d05a826922f5c2e2e
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1376,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1376,closed,2023-12-11,2023-12-25,,661cc57b43d53a7a817027e0cbdd39809dfcad93
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1375,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1375,open,2023-12-11,2023-12-11,,635aaf8b713c58cdb662d76d2ae9f8915c6dc337
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1373,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1373,closed,2023-12-04,2023-12-11,,d2c3e3a4e2b5a429838dfbd3f7dfffffa9e5ef49
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1367,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1367,closed,2023-11-20,2023-12-04,,28312b257432b6abe63921e1f03cab312898ba76
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1363,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1363,closed,2023-11-13,2023-12-11,,9cbc54989acfea3c0db3f63b3bc85a13d3b748d9
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1362,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1362,closed,2023-10-30,2023-11-20,,569d993efbb84430328153b41e665fb6ad5c88b9
dependabot[bot],https://api.github.com/repos/sundowndev/phoneinfoga/pulls/1360,https://api.github.com/repos/sundowndev/phoneinfoga/issues/1360,closed,2023-10-23,2023-10-30,,6da703503997ae9be37454b3f53d7dc1ecaf83be
