created_at,pull_requests
2017-08-22,2
2017-08-23,6
2017-08-24,4
2017-08-25,4
2017-08-26,2
2017-08-27,1
2017-08-28,10
2017-08-29,9
2017-08-30,10
2017-08-31,10
2017-09-01,2
2017-09-04,3
2017-09-05,3
2017-09-06,9
2017-09-07,3
2017-09-08,1
2017-09-11,3
2017-09-12,4
2017-09-13,2
2017-09-14,7
2017-09-18,1
2017-09-19,3
2017-09-20,3
2017-09-21,1
2017-09-22,1
2017-09-25,4
2017-09-27,4
2017-09-28,2
2017-09-29,1
2017-10-02,3
2017-10-03,6
2017-10-05,3
2017-10-06,4
2017-10-09,4
2017-10-10,9
2017-10-11,5
2017-10-12,7
2017-10-13,5
2017-10-14,1
2017-10-16,3
2017-10-17,2
2017-10-18,1
2017-10-19,3
2017-10-20,2
2017-10-26,1
2017-10-27,2
2017-10-30,1
2017-11-01,1
2017-11-03,1
2017-11-06,2
2017-11-10,1
2017-11-13,1
2017-11-15,2
2017-11-19,1
2017-11-21,1
2017-11-22,1
2017-11-23,1
2017-11-28,1
2017-11-29,1
2017-11-30,1
2017-12-01,6
2017-12-02,1
2017-12-03,1
2017-12-04,6
2017-12-05,8
2017-12-06,5
2017-12-07,4
2017-12-08,7
2017-12-10,1
2017-12-11,2
2017-12-12,4
2017-12-13,3
2017-12-14,3
2017-12-15,2
2017-12-16,1
2017-12-17,2
2017-12-18,2
2017-12-19,4
2017-12-20,4
2017-12-29,4
2017-12-30,2
2018-01-02,2
2018-01-03,1
2018-01-05,1
2018-01-08,5
2018-01-09,3
2018-01-10,2
2018-01-11,3
2018-01-13,1
2018-01-14,1
2018-01-15,1
2018-01-16,2
2018-01-17,1
2018-01-19,1
2018-01-26,1
2018-02-01,1
2018-02-03,1
2018-02-06,1
2018-02-09,2
2018-02-12,1
2018-02-13,1
2018-02-14,2
2018-02-16,3
2018-02-17,1
2018-02-20,1
2018-02-21,2
2018-02-23,1
2018-02-27,1
2018-02-28,1
2018-03-02,1
2018-03-10,1
2018-03-11,1
2018-03-16,2
2018-03-19,1
2018-03-23,1
2018-03-26,1
2018-03-27,1
2018-03-29,2
2018-04-01,1
2018-04-02,1
2018-04-03,1
2018-04-04,1
2018-04-05,1
2018-04-11,1
2018-04-19,1
2018-04-23,1
2018-04-24,2
2018-04-26,2
2018-04-27,2
2018-04-28,1
2018-04-29,2
2018-05-02,1
2018-05-08,1
2018-05-11,1
2018-05-14,1
2018-05-22,1
2018-05-25,1
2018-05-29,1
2018-06-06,2
2018-06-11,1
2018-06-19,1
2018-06-20,1
2018-06-30,1
2018-07-19,1
2018-07-24,1
2018-07-25,1
2018-08-06,1
2018-08-07,1
2018-08-08,1
2018-08-09,1
2018-08-13,2
2018-08-15,1
2018-08-16,1
2018-08-17,1
2018-08-22,1
2018-08-23,1
2018-09-01,1
2018-09-12,2
2018-09-13,2
2018-09-14,1
2018-09-20,1
2018-09-24,1
2018-09-26,1
2018-09-27,1
2018-09-28,2
2018-10-01,1
2018-10-05,1
2018-10-10,1
2018-10-15,1
2018-10-16,2
2018-10-18,1
2018-10-20,2
2018-10-24,1
2018-10-28,2
2018-10-29,1
2018-10-30,1
2018-10-31,2
2018-11-02,2
2018-11-04,3
2018-11-05,1
2018-11-06,1
2018-11-07,1
2018-11-11,2
2018-11-13,2
2018-11-16,1
2018-11-20,1
2018-11-27,2
2018-11-28,1
2018-12-01,1
2018-12-03,2
2018-12-06,2
2018-12-09,2
2018-12-12,1
2018-12-14,2
2018-12-16,2
2018-12-17,1
2018-12-18,1
2018-12-20,1
2018-12-27,1
2018-12-28,3
2018-12-29,1
2019-01-02,1
2019-01-03,2
2019-01-04,2
2019-01-05,1
2019-01-08,1
2019-01-09,2
2019-01-11,3
2019-01-12,1
2019-01-14,1
2019-01-15,3
2019-01-16,2
2019-01-17,2
2019-01-18,1
2019-01-20,1
2019-01-24,2
2019-01-25,3
2019-01-26,1
2019-01-29,2
2019-01-31,1
2019-02-01,1
2019-02-05,1
2019-02-06,1
2019-02-07,1
2019-02-12,1
2019-02-14,1
2019-02-15,3
2019-02-21,2
2019-02-22,3
2019-02-23,4
2019-02-25,1
2019-02-26,1
2019-02-27,1
2019-02-28,1
2019-03-04,1
2019-03-06,2
2019-03-08,1
2019-03-14,2
2019-03-18,1
2019-03-19,1
2019-03-20,1
2019-03-21,1
2019-03-22,1
2019-03-25,2
2019-03-26,2
2019-03-27,3
2019-03-28,1
2019-04-01,1
2019-04-02,2
2019-04-03,2
2019-04-04,1
2019-04-07,1
2019-04-08,2
2019-04-09,2
2019-04-11,2
2019-04-12,1
2019-04-17,1
2019-04-20,1
2019-04-21,1
2019-04-22,1
2019-04-24,1
2019-04-26,2
2019-04-27,1
2019-04-29,2
2019-05-02,2
2019-05-03,1
2019-05-07,1
2019-05-09,2
2019-05-10,2
2019-05-15,1
2019-05-20,1
2019-05-23,1
2019-05-28,1
2019-06-01,1
2019-06-04,1
2019-06-05,3
2019-06-06,3
2019-06-07,1
2019-06-10,2
2019-06-12,2
2019-06-13,3
2019-06-14,1
2019-06-17,1
2019-06-18,1
2019-06-19,3
2019-06-21,2
2019-06-27,1
2019-07-01,1
2019-07-02,1
2019-07-03,2
2019-07-04,1
2019-07-09,1
2019-07-10,1
2019-07-12,5
2019-07-13,1
2019-07-15,2
2019-07-16,2
2019-07-17,3
2019-07-18,2
2019-07-24,1
2019-07-25,3
2019-07-26,3
2019-07-29,1
2019-07-30,1
2019-07-31,2
2019-08-01,1
2019-08-02,1
2019-08-05,1
2019-08-06,1
2019-08-07,2
2019-08-08,4
2019-08-10,1
2019-08-12,2
2019-08-13,3
2019-08-15,2
2019-08-16,1
2019-08-17,1
2019-08-19,2
2019-08-20,2
2019-08-21,1
2019-08-22,1
2019-08-24,1
2019-08-26,1
2019-08-27,1
2019-08-30,1
2019-09-01,1
2019-09-04,1
2019-09-05,3
2019-09-06,1
2019-09-13,1
2019-09-18,1
2019-09-20,1
2019-09-21,3
2019-09-23,1
2019-09-25,3
2019-09-29,2
2019-09-30,1
2019-10-01,2
2019-10-02,1
2019-10-03,3
2019-10-04,6
2019-10-05,1
2019-10-06,4
2019-10-07,5
2019-10-08,2
2019-10-12,2
2019-10-14,2
2019-10-16,2
2019-10-17,2
2019-10-18,1
2019-10-19,3
2019-10-21,2
2019-10-22,2
2019-10-23,2
2019-10-28,1
2019-10-29,1
2019-10-31,1
2019-11-01,3
2019-11-03,1
2019-11-04,1
2019-11-05,1
2019-11-06,2
2019-11-07,3
2019-11-08,1
2019-11-10,1
2019-11-12,3
2019-11-13,4
2019-11-14,2
2019-11-18,3
2019-11-19,2
2019-11-21,1
2019-11-22,1
2019-11-26,1
2019-11-27,2
2019-11-30,1
2019-12-02,1
2019-12-03,3
2019-12-05,1
2019-12-06,1
2019-12-07,1
2019-12-09,1
2019-12-10,4
2019-12-11,2
2019-12-12,3
2019-12-13,6
2019-12-15,2
2019-12-16,9
2019-12-17,2
2019-12-18,4
2019-12-19,4
2019-12-20,1
2019-12-24,2
2019-12-26,1
2019-12-30,1
2019-12-31,1
2020-01-02,1
2020-01-06,6
2020-01-07,1
2020-01-08,3
2020-01-09,4
2020-01-10,2
2020-01-11,1
2020-01-14,9
2020-01-15,7
2020-01-16,5
2020-01-17,4
2020-01-18,1
2020-01-20,1
2020-01-21,6
2020-01-22,6
2020-01-23,4
2020-01-24,8
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,4
2020-01-31,10
2020-02-01,2
2020-02-03,11
2020-02-04,3
2020-02-05,4
2020-02-06,6
2020-02-07,8
2020-02-08,1
2020-02-10,2
2020-02-11,8
2020-02-12,5
2020-02-13,5
2020-02-14,3
2020-02-17,1
2020-02-18,5
2020-02-19,2
2020-02-20,11
2020-02-21,6
2020-02-22,2
2020-02-24,4
2020-02-25,2
2020-02-26,1
2020-02-27,5
2020-02-28,6
2020-02-29,2
2020-03-02,4
2020-03-03,7
2020-03-04,5
2020-03-05,7
2020-03-06,4
2020-03-07,2
2020-03-08,4
2020-03-09,4
2020-03-10,3
2020-03-11,4
2020-03-12,6
2020-03-13,6
2020-03-14,1
2020-03-15,3
2020-03-16,7
2020-03-17,3
2020-03-18,4
2020-03-19,9
2020-03-20,3
2020-03-21,2
2020-03-22,1
2020-03-23,4
2020-03-24,3
2020-03-25,6
2020-03-26,6
2020-03-27,6
2020-03-28,3
2020-03-29,2
2020-03-30,4
2020-03-31,3
2020-04-01,4
2020-04-02,6
2020-04-03,9
2020-04-04,1
2020-04-05,2
2020-04-06,7
2020-04-07,10
2020-04-08,12
2020-04-09,5
2020-04-10,4
2020-04-11,1
2020-04-12,1
2020-04-13,3
2020-04-14,4
2020-04-15,10
2020-04-16,11
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,7
2020-04-21,4
2020-04-22,7
2020-04-23,13
2020-04-24,12
2020-04-25,1
2020-04-26,1
2020-04-27,8
2020-04-28,5
2020-04-29,7
2020-04-30,6
2020-05-01,8
2020-05-02,2
2020-05-03,2
2020-05-04,5
2020-05-05,4
2020-05-06,4
2020-05-07,5
2020-05-08,3
2020-05-09,3
2020-05-11,5
2020-05-12,9
2020-05-13,6
2020-05-14,5
2020-05-15,1
2020-05-16,1
2020-05-18,1
2020-05-19,4
2020-05-20,2
2020-05-21,7
2020-05-22,10
2020-05-25,3
2020-05-26,2
2020-05-27,3
2020-05-28,9
2020-05-29,2
2020-05-31,1
2020-06-01,3
2020-06-02,5
2020-06-03,8
2020-06-04,5
2020-06-05,5
2020-06-08,6
2020-06-09,1
2020-06-10,4
2020-06-11,7
2020-06-13,1
2020-06-14,1
2020-06-15,2
2020-06-16,4
2020-06-17,5
2020-06-18,3
2020-06-19,4
2020-06-21,1
2020-06-22,6
2020-06-23,10
2020-06-24,7
2020-06-25,14
2020-06-26,8
2020-06-29,5
2020-06-30,11
2020-07-01,12
2020-07-02,4
2020-07-03,1
2020-07-06,2
2020-07-07,6
2020-07-08,8
2020-07-09,7
2020-07-10,5
2020-07-11,2
2020-07-13,4
2020-07-14,10
2020-07-15,5
2020-07-16,6
2020-07-17,4
2020-07-18,3
2020-07-19,3
2020-07-20,3
2020-07-21,3
2020-07-22,7
2020-07-23,7
2020-07-24,7
2020-07-25,2
2020-07-27,8
2020-07-28,5
2020-07-29,11
2020-07-30,1
2020-07-31,3
2020-08-02,1
2020-08-03,3
2020-08-04,4
2020-08-05,4
2020-08-06,7
2020-08-07,6
2020-08-10,8
2020-08-11,5
2020-08-12,5
2020-08-13,8
2020-08-14,6
2020-08-17,4
2020-08-18,8
2020-08-19,6
2020-08-20,7
2020-08-21,4
2020-08-22,1
2020-08-23,5
2020-08-24,1
2020-08-25,4
2020-08-26,5
2020-08-27,2
2020-08-28,6
2020-08-29,1
2020-08-30,3
2020-08-31,3
2020-09-01,4
2020-09-02,4
2020-09-03,2
2020-09-04,7
2020-09-06,1
2020-09-08,5
2020-09-09,5
2020-09-10,10
2020-09-11,5
2020-09-13,1
2020-09-14,9
2020-09-15,7
2020-09-16,2
2020-09-17,3
2020-09-18,5
2020-09-20,2
2020-09-21,3
2020-09-22,9
2020-09-23,7
2020-09-24,9
2020-09-25,1
2020-09-26,1
2020-09-28,6
2020-09-29,3
2020-09-30,4
2020-10-01,3
2020-10-02,9
2020-10-03,1
2020-10-04,1
2020-10-05,6
2020-10-06,5
2020-10-07,2
2020-10-08,4
2020-10-09,3
2020-10-10,1
2020-10-12,4
2020-10-13,3
2020-10-14,9
2020-10-15,4
2020-10-16,7
2020-10-17,7
2020-10-19,4
2020-10-20,5
2020-10-21,4
2020-10-22,5
2020-10-23,6
2020-10-24,1
2020-10-25,2
2020-10-26,9
2020-10-27,9
2020-10-28,8
2020-10-29,3
2020-10-30,3
2020-10-31,2
2020-11-01,1
2020-11-02,6
2020-11-03,7
2020-11-04,5
2020-11-05,6
2020-11-06,1
2020-11-07,1
2020-11-08,3
2020-11-09,3
2020-11-10,2
2020-11-11,3
2020-11-12,2
2020-11-13,1
2020-11-15,1
2020-11-16,4
2020-11-17,5
2020-11-18,4
2020-11-19,4
2020-11-20,5
2020-11-21,1
2020-11-22,3
2020-11-23,1
2020-11-24,2
2020-11-25,3
2020-11-26,1
2020-11-27,2
2020-11-28,1
2020-11-30,2
2020-12-01,3
2020-12-02,4
2020-12-03,7
2020-12-05,5
2020-12-06,1
2020-12-07,5
2020-12-08,6
2020-12-09,7
2020-12-10,5
2020-12-11,10
2020-12-12,3
2020-12-14,9
2020-12-15,3
2020-12-16,5
2020-12-17,2
2020-12-18,7
2020-12-19,2
2020-12-21,1
2020-12-22,1
2020-12-23,1
2020-12-26,1
2020-12-29,4
2020-12-30,1
2020-12-31,1
2021-01-02,1
2021-01-03,3
2021-01-04,6
2021-01-05,2
2021-01-06,2
2021-01-07,1
2021-01-08,3
2021-01-09,1
2021-01-10,2
2021-01-11,6
2021-01-12,2
2021-01-13,3
2021-01-14,3
2021-01-15,5
2021-01-17,2
2021-01-18,1
2021-01-19,4
2021-01-20,6
2021-01-21,5
2021-01-22,4
2021-01-23,1
2021-01-24,1
2021-01-25,7
2021-01-26,2
2021-01-27,5
2021-01-28,6
2021-01-29,4
2021-01-30,1
2021-01-31,1
2021-02-01,1
2021-02-02,6
2021-02-03,11
2021-02-04,8
2021-02-05,4
2021-02-06,1
2021-02-07,1
2021-02-08,3
2021-02-09,6
2021-02-10,9
2021-02-11,8
2021-02-12,4
2021-02-13,2
2021-02-14,1
2021-02-15,5
2021-02-16,2
2021-02-17,5
2021-02-18,7
2021-02-19,2
2021-02-22,9
2021-02-23,12
2021-02-24,4
2021-02-25,15
2021-02-26,10
2021-02-27,2
2021-03-01,2
2021-03-02,8
2021-03-03,7
2021-03-04,9
2021-03-05,8
2021-03-07,1
2021-03-08,7
2021-03-09,7
2021-03-10,4
2021-03-11,6
2021-03-12,8
2021-03-13,3
2021-03-14,1
2021-03-15,6
2021-03-16,4
2021-03-17,5
2021-03-18,9
2021-03-19,5
2021-03-20,3
2021-03-21,1
2021-03-22,12
2021-03-23,4
2021-03-24,2
2021-03-25,4
2021-03-26,4
2021-03-27,2
2021-03-28,1
2021-03-29,3
2021-03-30,2
2021-03-31,9
2021-04-01,5
2021-04-02,4
2021-04-03,1
2021-04-04,1
2021-04-05,3
2021-04-06,3
2021-04-07,1
2021-04-08,7
2021-04-10,2
2021-04-12,3
2021-04-13,6
2021-04-14,6
2021-04-15,4
2021-04-16,2
2021-04-17,5
2021-04-18,2
2021-04-19,5
2021-04-20,5
2021-04-21,4
2021-04-22,2
2021-04-23,4
2021-04-24,2
2021-04-25,1
2021-04-27,1
2021-04-28,1
2021-04-29,4
2021-04-30,5
2021-05-01,1
2021-05-02,3
2021-05-03,7
2021-05-04,6
2021-05-05,5
2021-05-06,7
2021-05-07,2
2021-05-09,1
2021-05-10,4
2021-05-11,4
2021-05-12,7
2021-05-13,5
2021-05-14,12
2021-05-15,5
2021-05-17,2
2021-05-18,4
2021-05-19,5
2021-05-20,1
2021-05-21,4
2021-05-23,1
2021-05-24,5
2021-05-25,13
2021-05-26,10
2021-05-27,5
2021-05-29,1
2021-05-30,1
2021-05-31,2
2021-06-01,3
2021-06-02,4
2021-06-03,5
2021-06-04,4
2021-06-05,2
2021-06-06,1
2021-06-07,3
2021-06-08,4
2021-06-09,3
2021-06-10,3
2021-06-11,7
2021-06-13,1
2021-06-14,4
2021-06-15,4
2021-06-16,1
2021-06-17,4
2021-06-18,2
2021-06-21,3
2021-06-22,3
2021-06-23,4
2021-06-24,4
2021-06-25,3
2021-06-26,2
2021-06-27,1
2021-06-28,2
2021-06-29,3
2021-06-30,1
2021-07-02,1
2021-07-05,2
2021-07-06,1
2021-07-07,4
2021-07-08,8
2021-07-09,1
2021-07-12,1
2021-07-13,1
2021-07-14,2
2021-07-15,3
2021-07-16,3
2021-07-17,2
2021-07-19,2
2021-07-20,9
2021-07-21,7
2021-07-22,4
2021-07-23,2
2021-07-24,1
2021-07-25,2
2021-07-26,3
2021-07-27,2
2021-07-28,3
2021-07-29,7
2021-07-30,2
2021-07-31,1
2021-08-01,1
2021-08-02,4
2021-08-03,1
2021-08-04,5
2021-08-05,4
2021-08-06,2
2021-08-07,3
2021-08-08,2
2021-08-09,6
2021-08-10,2
2021-08-11,4
2021-08-12,1
2021-08-13,4
2021-08-14,1
2021-08-16,2
2021-08-17,5
2021-08-18,5
2021-08-19,4
2021-08-20,3
2021-08-21,1
2021-08-23,3
2021-08-24,3
2021-08-25,2
2021-08-26,3
2021-08-27,3
2021-08-30,4
2021-08-31,6
2021-09-01,7
2021-09-02,3
2021-09-03,2
2021-09-07,2
2021-09-08,3
2021-09-09,2
2021-09-10,5
2021-09-11,3
2021-09-12,4
2021-09-13,3
2021-09-14,5
2021-09-15,2
2021-09-16,2
2021-09-17,7
2021-09-18,2
2021-09-20,2
2021-09-21,5
2021-09-22,4
2021-09-23,4
2021-09-24,1
2021-09-25,2
2021-09-26,2
2021-09-28,5
2021-09-29,4
2021-09-30,3
2021-10-02,2
2021-10-03,3
2021-10-04,1
2021-10-05,3
2021-10-06,5
2021-10-07,5
2021-10-08,3
2021-10-09,3
2021-10-10,1
2021-10-12,4
2021-10-13,2
2021-10-14,1
2021-10-16,2
2021-10-17,1
2021-10-18,4
2021-10-19,9
2021-10-20,11
2021-10-21,15
2021-10-22,6
2021-10-23,3
2021-10-24,2
2021-10-25,1
2021-10-26,8
2021-10-27,8
2021-10-29,5
2021-10-30,4
2021-10-31,2
2021-11-01,4
