created_at,pull_requests
2012-08-15,1
2012-09-02,1
2012-09-04,1
2012-12-26,1
2013-02-03,1
2013-03-04,1
2013-04-03,1
2013-04-17,1
2013-05-13,1
2013-06-02,1
2013-07-07,1
2013-08-13,1
2013-08-17,4
2013-09-23,1
2013-09-24,1
2013-10-02,1
2013-10-06,2
2013-10-22,1
2013-10-28,1
2013-11-15,1
2013-11-18,1
2013-11-26,1
2013-11-27,1
2013-12-20,1
2013-12-31,2
2014-01-01,1
2014-01-04,1
2014-01-08,1
2014-01-09,1
2014-02-02,1
2014-02-06,1
2014-03-09,1
2014-03-19,1
2014-03-28,2
2014-03-30,1
2014-04-01,1
2014-04-20,1
2014-04-26,1
2014-05-05,1
2014-05-13,1
2014-07-21,1
2014-08-16,1
2014-08-17,1
2014-09-02,1
2014-09-12,1
2014-09-15,1
2014-09-30,1
2014-10-16,1
2014-12-02,1
2014-12-27,1
2015-01-27,1
2015-02-11,1
2015-02-13,1
2015-03-21,2
2015-03-23,3
2015-03-25,1
2015-03-30,1
2015-04-01,1
2015-04-18,1
2015-04-30,1
2015-05-04,2
2015-05-09,1
2015-06-06,1
2015-06-10,1
2015-06-16,1
2015-08-03,2
2015-08-04,1
2015-08-07,1
2015-08-19,1
2015-09-01,1
2015-09-14,1
2015-10-05,1
2015-10-28,1
2015-11-04,1
2015-11-08,1
2015-11-19,1
2015-11-22,1
2015-11-24,2
2016-01-05,1
2016-01-09,1
2016-01-18,1
2016-01-21,3
2016-01-29,1
2016-01-30,2
2016-01-31,1
2016-02-10,1
2016-02-17,1
2016-02-20,1
2016-02-23,1
2016-02-24,1
2016-02-28,1
2016-03-01,1
2016-03-04,1
2016-03-06,3
2016-03-07,1
2016-03-08,1
2016-03-20,1
2016-03-24,1
2016-04-08,1
2016-04-19,1
2016-04-24,1
2016-04-25,2
2016-05-12,1
2016-05-14,1
2016-05-17,1
2016-05-26,1
2016-06-06,1
2016-07-29,1
2016-08-03,1
2016-08-15,1
2016-08-22,1
2016-08-23,1
2016-10-02,1
2016-10-19,1
2016-10-28,1
2016-11-01,1
2016-11-05,2
2016-11-20,1
2017-01-02,1
2017-01-06,1
2017-01-07,2
2017-01-10,1
2017-01-11,1
2017-01-20,1
2017-01-22,1
2017-01-25,1
2017-01-26,1
2017-02-05,1
2017-02-08,1
2017-02-13,1
2017-02-15,1
2017-03-28,1
2017-04-04,1
2017-04-06,2
2017-04-10,1
2017-04-25,4
2017-05-16,1
2017-05-26,1
2017-06-04,1
2017-06-12,1
2017-06-13,1
2017-06-16,1
2017-06-20,2
2017-06-26,1
2017-07-14,1
2017-07-29,1
2017-08-02,1
2017-08-14,1
2017-08-16,1
2017-08-25,1
2017-09-13,1
2017-10-05,1
2017-11-10,1
2017-12-08,1
2017-12-20,1
2018-01-31,1
2018-02-03,1
2018-03-17,1
2018-03-28,1
2018-04-06,1
2018-04-09,1
2018-04-10,1
2018-04-12,1
2018-04-13,1
2018-05-28,1
2018-06-10,1
2018-06-15,1
2018-06-16,1
2018-06-21,1
2018-06-27,1
2018-07-05,1
2018-07-14,1
2018-07-15,1
2018-07-24,1
2018-09-16,1
2018-09-18,1
2018-09-21,1
2018-09-28,1
2018-10-28,1
2018-11-22,1
2018-12-12,1
2018-12-28,1
2018-12-29,2
2019-01-04,1
2019-01-05,1
2019-01-09,1
2019-01-12,1
2019-01-13,2
2019-01-14,1
2019-01-16,5
2019-01-25,2
2019-02-07,1
2019-02-08,2
2019-02-11,1
2019-02-14,1
2019-03-01,3
2019-03-07,1
2019-03-09,1
2019-03-12,1
2019-03-13,1
2019-04-06,3
2019-04-07,1
2019-05-01,1
2019-05-10,1
2019-06-04,1
2019-08-28,1
2019-08-31,1
2019-10-06,1
2019-10-15,1
2019-10-16,1
2019-10-17,1
2019-10-25,1
2019-11-02,1
2019-11-03,1
2019-11-07,2
2019-11-10,1
2019-11-11,1
2019-11-13,1
2019-11-15,1
2019-12-12,1
2020-01-08,1
2020-02-11,1
2020-03-09,1
2020-03-12,1
2020-03-25,1
2020-06-18,2
2020-06-20,1
2020-06-21,1
2020-06-22,1
2020-06-27,2
2020-07-02,1
2020-07-03,1
2020-07-04,3
2020-07-05,1
2020-07-06,1
2020-07-15,1
2020-07-19,1
2020-07-21,1
2020-07-23,1
2020-08-12,2
2020-08-16,1
2020-09-23,1
2020-09-26,1
2020-09-30,1
2020-10-01,2
2020-10-02,1
2020-10-03,1
2020-10-14,1
2020-12-31,3
2021-01-02,2
2021-01-20,1
2021-01-24,3
2021-05-27,1
2021-07-06,1
2021-07-07,1
2021-12-06,1
2021-12-13,1
2021-12-23,1
2022-02-07,1
2022-02-08,1
2022-02-17,1
2022-06-26,2
2022-07-02,1
2022-07-18,1
2022-07-19,1
2022-07-27,1
2022-08-05,2
2023-01-20,1
2023-01-21,1
2023-05-24,1
2023-08-14,1
2023-12-18,1
