created_at,pull_requests
2018-11-12,1
2018-11-13,1
2018-11-14,3
2018-11-15,5
2018-11-16,3
2018-11-18,2
2018-11-19,2
2018-11-20,4
2018-11-21,1
2018-11-23,3
2018-11-26,1
2018-11-27,4
2018-11-28,1
2018-11-29,1
2018-11-30,4
2018-12-05,5
2018-12-06,1
2018-12-07,5
2018-12-08,1
2018-12-10,1
2018-12-11,1
2018-12-12,1
2018-12-13,3
2018-12-14,2
2018-12-15,1
2018-12-16,1
2018-12-17,2
2018-12-18,4
2018-12-19,2
2018-12-20,2
2018-12-21,1
2018-12-24,1
2018-12-27,1
2019-01-03,1
2019-01-05,1
2019-01-07,1
2019-01-08,1
2019-01-09,1
2019-01-10,1
2019-01-14,2
2019-01-16,2
2019-01-17,1
2019-01-18,3
2019-01-19,1
2019-01-22,1
2019-01-23,1
2019-01-28,1
2019-01-30,1
2019-02-02,1
2019-02-14,1
2019-02-20,1
2019-02-21,1
2019-02-27,1
2019-03-01,1
2019-03-12,1
2019-03-14,1
2019-03-19,1
2019-03-20,1
2019-03-28,1
2019-03-30,1
2019-04-02,1
2019-04-04,1
2019-05-07,2
2019-05-13,1
2019-05-19,1
2019-06-20,1
2019-07-05,1
2019-07-21,1
2019-08-10,1
2019-08-22,1
2019-09-17,1
2019-09-20,1
2019-10-17,1
2019-11-14,1
2019-11-25,1
2019-12-13,1
2019-12-22,1
2020-01-21,1
2020-02-14,1
2020-03-03,1
2020-03-13,1
2020-04-01,1
2020-04-27,1
2020-05-05,1
2020-05-10,1
2020-06-05,1
2020-06-10,1
2020-06-24,1
2020-06-29,1
2020-07-06,1
2020-08-17,2
2020-10-11,1
2020-10-20,1
2021-01-01,1
2021-05-09,1
2021-06-13,1
2021-06-14,1
2021-06-30,1
2022-03-24,7
2022-03-28,2
2022-03-29,1
2022-03-30,3
2022-03-31,1
2022-04-01,1
2022-04-05,2
2022-04-06,1
2022-04-11,3
2022-04-14,1
2022-04-18,2
2022-04-20,1
2022-04-21,1
2022-04-22,2
2022-04-25,2
2022-04-26,1
2022-04-27,1
2022-04-30,3
2022-05-01,1
2022-05-02,1
2022-05-03,1
2022-05-04,2
2022-05-05,1
2022-05-09,3
2022-05-11,4
2022-05-12,1
2022-05-13,2
2022-05-17,1
2022-05-23,2
2022-05-24,3
2022-05-25,2
2022-05-31,3
2022-06-01,3
2022-06-02,1
2022-06-09,3
2022-06-10,5
2022-06-13,2
2022-06-14,1
2022-06-15,2
2022-06-19,2
2022-06-20,1
2022-06-24,1
2022-06-27,1
2022-07-11,2
2022-07-12,1
2022-07-14,2
2022-07-15,2
2022-07-18,1
2022-07-19,2
2022-07-20,2
2022-07-22,3
2022-07-25,3
2022-07-26,2
2022-07-28,2
2022-07-29,1
2022-08-01,2
2022-08-02,1
2022-08-03,2
2022-08-04,1
2022-08-05,1
2022-08-10,3
2022-08-16,1
2022-08-23,1
2022-08-29,2
2022-08-30,1
2022-08-31,3
2022-09-06,1
2022-09-08,2
2022-09-09,1
2022-09-13,3
2022-09-19,1
2022-09-20,1
2022-09-22,1
2022-09-26,1
2022-09-27,2
2022-09-28,2
2022-09-30,1
2022-10-10,4
2022-10-12,1
2022-10-21,1
2022-10-25,1
2022-10-27,1
2022-10-28,3
2022-11-09,4
2022-11-11,2
2022-11-15,1
2022-11-16,2
2022-11-21,1
2022-11-22,2
2022-11-25,3
2022-12-01,1
2022-12-02,1
2022-12-04,1
2022-12-07,1
2022-12-08,3
2022-12-22,1
2022-12-26,2
2023-01-12,1
2023-02-09,1
2023-02-21,1
2023-03-02,1
2023-03-20,1
2023-03-21,1
2023-03-22,1
2023-04-04,1
2023-04-12,2
2023-04-19,1
2023-06-13,2
2023-08-11,1
2023-09-06,1
2023-10-10,1
2023-10-20,1
2023-12-10,1
2023-12-18,1
2023-12-29,3
