created_at,pull_requests
2014-08-11,2
2014-08-12,2
2014-08-13,3
2014-08-15,1
2014-08-16,2
2014-08-19,1
2014-08-22,1
2014-08-24,1
2014-08-26,3
2014-08-31,1
2014-09-03,1
2014-09-05,1
2014-09-08,1
2014-09-19,1
2014-09-24,1
2014-09-30,1
2014-10-04,1
2014-10-05,1
2014-10-06,1
2014-10-07,1
2014-10-26,1
2014-11-11,1
2014-11-12,1
2014-11-14,1
2014-11-17,1
2014-11-20,1
2014-11-30,1
2014-12-03,1
2014-12-06,1
2015-01-18,1
2015-01-28,1
2015-02-01,2
2015-02-04,1
2015-02-20,1
2015-02-23,1
2015-02-28,2
2015-03-06,1
2015-03-08,1
2015-03-16,1
2015-03-17,1
2015-03-18,2
2015-03-19,2
2015-03-20,2
2015-03-21,1
2015-03-22,3
2015-03-31,1
2015-04-03,1
2015-04-07,1
2015-04-08,1
2015-04-09,1
2015-04-13,1
2015-04-14,1
2015-04-16,2
2015-04-17,1
2015-04-24,1
2015-05-07,2
2015-05-10,1
2015-05-11,2
2015-05-15,1
2015-05-18,1
2015-05-22,1
2015-05-25,1
2015-05-27,1
2015-06-20,1
2015-06-27,1
2015-07-01,1
2015-07-03,1
2015-07-08,2
2015-07-16,2
2015-07-19,1
2015-07-21,1
2015-07-27,2
2015-07-29,1
2015-08-01,1
2015-08-04,1
2015-08-06,1
2015-08-07,1
2015-08-08,2
2015-08-09,1
2015-08-16,1
2015-08-18,1
2015-08-23,2
2015-09-08,1
2015-09-16,1
2015-09-19,1
2015-09-23,1
2015-09-29,1
2015-09-30,2
2015-10-01,1
2015-10-04,1
2015-10-05,1
2015-10-08,1
2015-10-11,2
2015-10-14,2
2015-10-18,1
2015-10-19,1
2015-10-25,1
2015-11-04,1
2015-11-05,1
2015-11-10,1
2015-11-25,1
2015-11-28,1
2015-11-29,1
2015-11-30,1
2015-12-01,1
2015-12-03,1
2015-12-10,1
2016-01-05,1
2016-01-06,1
2016-01-15,1
2016-01-20,1
2016-01-27,1
2016-01-31,1
2016-02-08,1
2016-02-12,1
2016-02-24,1
2016-03-09,1
2016-03-15,1
2016-03-18,1
2016-03-21,1
2016-03-24,1
2016-04-03,1
2016-04-05,2
2016-04-13,1
2016-04-15,1
2016-04-24,2
2016-04-26,2
2016-05-01,1
2016-05-06,1
2016-05-07,3
2016-05-08,1
2016-05-12,1
2016-05-16,1
2016-05-20,1
2016-06-05,1
2016-07-19,1
2016-07-21,1
2016-07-23,1
2016-07-26,1
2016-07-30,1
2016-08-05,3
2016-08-18,1
2016-08-20,1
2016-08-25,1
2016-08-26,1
2016-08-27,2
2016-08-29,1
2016-09-02,1
2016-09-03,1
2016-09-09,1
2016-09-10,1
2016-09-11,2
2016-09-21,1
2016-09-26,4
2016-10-06,2
2016-10-16,1
2016-10-18,1
2016-10-22,3
2016-10-29,1
2016-11-09,1
2016-11-12,2
2016-11-13,1
2016-11-14,1
2016-11-15,1
2016-12-04,1
2017-01-22,1
2017-01-26,1
2017-01-29,1
2017-02-06,1
2017-02-11,1
2017-02-26,4
2017-02-27,1
2017-03-06,1
2017-03-08,1
2017-03-15,1
2017-03-18,1
2017-03-23,1
2017-03-24,1
2017-03-26,1
2017-04-03,2
2017-04-09,1
2017-04-25,1
2017-04-28,1
2017-05-01,1
2017-05-16,1
2017-05-17,1
2017-06-18,1
2017-06-26,1
2017-07-02,1
2017-07-05,1
2017-07-07,1
2017-07-12,1
2017-07-15,1
2017-08-11,1
2017-08-15,1
2017-08-16,1
2017-09-01,1
2017-09-05,1
2017-09-06,1
2017-09-11,1
2017-09-12,1
2017-09-14,2
2017-10-01,1
2017-10-02,1
2017-10-03,1
2017-10-04,1
2017-10-15,2
2017-10-17,1
2017-10-28,1
2017-10-30,2
2017-11-01,2
2017-11-02,1
2017-11-03,1
2017-11-11,1
2017-11-13,1
2017-11-15,1
2017-11-17,1
2017-11-18,2
2017-11-22,2
2017-11-23,1
2017-11-27,1
2017-12-11,1
2017-12-13,1
2017-12-15,1
2017-12-17,1
2017-12-19,1
2018-01-02,1
2018-01-05,1
2018-01-11,1
2018-01-14,2
2018-01-20,1
2018-01-21,2
2018-01-25,2
2018-01-28,1
2018-02-05,1
2018-02-11,1
2018-02-12,1
2018-02-16,2
2018-02-18,1
2018-02-19,1
2018-02-22,2
2018-02-26,1
2018-02-27,1
2018-03-01,1
2018-03-04,1
2018-03-06,1
2018-03-08,1
2018-03-12,2
2018-03-19,2
2018-03-23,1
2018-03-29,2
2018-03-30,1
2018-04-03,1
2018-04-10,1
2018-04-12,1
2018-04-13,2
2018-04-17,1
2018-04-25,3
2018-04-26,1
2018-04-27,1
2018-05-03,1
2018-05-04,1
2018-05-05,1
2018-05-09,1
2018-05-10,1
2018-05-13,1
2018-05-16,1
2018-05-20,1
2018-05-21,1
2018-05-26,1
2018-05-27,1
2018-05-29,1
2018-06-03,1
2018-06-29,1
2018-06-30,1
2018-07-02,1
