created_at,pull_requests
2010-09-17,7
2010-09-18,4
2010-09-20,2
2010-09-22,1
2010-09-23,1
2010-09-27,1
2010-09-28,1
2010-09-30,1
2010-10-02,2
2010-11-10,1
2010-11-23,1
2011-01-16,1
2011-01-23,1
2011-01-28,1
2011-03-13,1
2011-03-25,1
2011-04-02,1
2011-04-25,1
2011-05-08,1
2011-06-03,1
2011-06-28,1
2011-07-01,1
2011-07-04,2
2011-07-19,1
2011-08-01,1
2011-08-24,1
2011-08-31,1
2011-10-02,1
2011-10-17,1
2011-10-19,1
2011-10-20,1
2011-10-27,1
2011-10-30,1
2011-11-03,1
2011-11-06,1
2011-11-24,1
2012-01-27,1
2012-02-03,1
2012-02-06,1
2012-02-08,1
2012-02-09,1
2012-02-16,1
2012-03-03,1
2012-03-04,1
2012-03-05,1
2012-03-06,1
2012-03-08,1
2012-03-10,1
2012-03-12,1
2012-03-13,2
2012-03-16,1
2012-03-22,1
2012-04-10,1
2012-04-23,1
2012-04-24,1
2012-04-30,1
2012-05-08,1
2012-06-22,1
2012-06-24,1
2012-06-29,1
2012-07-06,1
2012-07-07,1
2012-08-06,1
2012-08-15,1
2012-08-17,1
2012-08-30,1
2012-09-10,1
2012-09-11,2
2012-09-14,1
2012-09-15,2
2012-09-19,1
2012-09-27,1
2012-10-08,1
2012-10-11,1
2012-10-12,1
2012-10-15,2
2012-10-18,1
2012-10-27,2
2012-11-03,1
2012-11-18,1
2012-11-19,1
2012-11-23,1
2012-12-03,1
2012-12-07,1
2012-12-12,1
2012-12-13,1
2012-12-14,1
2012-12-17,1
2012-12-19,4
2012-12-21,1
2012-12-24,2
2012-12-31,1
2013-01-04,1
2013-01-09,1
2013-01-10,1
2013-01-21,1
2013-02-01,1
2013-02-06,1
2013-02-07,1
2013-02-19,1
2013-02-20,3
2013-02-24,1
2013-02-25,1
2013-03-01,1
2013-03-11,1
2013-03-12,1
2013-03-14,1
2013-03-17,2
2013-03-19,1
2013-03-21,1
2013-03-26,1
2013-03-27,1
2013-04-04,1
2013-04-14,1
2013-04-18,1
2013-04-24,1
2013-04-30,2
2013-05-09,1
2013-05-22,1
2013-05-26,1
2013-05-31,1
2013-06-08,1
2013-06-23,1
2013-06-25,1
2013-07-15,2
2013-07-31,1
2013-08-04,1
2013-08-08,1
2013-08-30,1
2013-10-11,1
2013-10-14,1
2013-10-16,1
2013-10-22,1
2013-10-30,1
2013-11-14,1
2013-11-20,1
2013-11-21,1
2013-11-26,1
2013-12-12,2
2013-12-15,1
2013-12-17,1
2013-12-23,1
2013-12-25,1
2014-01-09,1
2014-01-14,1
2014-02-03,1
2014-02-07,2
2014-02-17,1
2014-02-19,1
2014-02-26,1
2014-03-25,1
2014-04-12,1
2014-04-18,1
2014-04-23,1
2014-05-07,1
2014-05-13,1
2014-05-19,1
2014-05-22,1
2014-05-27,1
2014-06-11,1
2014-06-15,1
2014-06-23,2
2014-06-26,2
2014-07-08,1
2014-07-12,1
2014-07-13,1
2014-07-23,1
2014-07-27,1
2014-07-31,2
2014-08-01,1
2014-08-03,1
2014-08-07,1
2014-08-11,1
2014-08-19,1
2014-08-22,1
2014-08-28,1
2014-08-29,1
2014-09-04,1
2014-09-12,1
2014-09-22,1
2014-09-25,1
2014-09-30,1
2014-10-15,1
2014-11-04,1
2014-11-14,1
2014-12-08,1
2014-12-09,1
2015-01-05,1
2015-01-06,1
2015-01-13,1
2015-01-21,1
2015-02-24,1
2015-02-27,1
2015-02-28,1
2015-03-01,1
2015-03-02,1
2015-03-11,1
2015-03-13,1
2015-03-20,1
2015-03-25,2
2015-04-01,1
2015-04-02,1
2015-04-11,1
2015-05-05,1
2015-05-08,1
2015-05-17,2
2015-05-25,1
2015-05-28,1
2015-06-11,1
2015-06-30,1
2015-07-10,1
2015-07-11,1
2015-07-12,2
2015-07-16,2
2015-07-22,2
2015-07-24,1
2015-08-15,1
2015-08-17,1
2015-08-26,1
2015-08-29,2
2015-08-30,2
2015-08-31,1
2015-09-01,3
2015-09-02,3
2015-09-03,5
2015-09-04,5
2015-09-07,2
2015-09-10,2
2015-09-12,3
2015-09-13,1
2015-09-14,7
2015-09-15,6
2015-09-17,5
2015-09-18,4
2015-09-19,1
2015-09-24,1
2015-10-04,2
2015-10-07,1
2015-10-10,2
2015-10-16,1
2015-10-19,1
2015-10-21,1
2015-10-26,4
2015-10-28,1
2015-10-29,3
2015-10-30,1
2015-11-01,1
2015-11-05,1
2015-11-15,1
2015-11-27,1
2015-11-29,1
2015-11-30,1
2015-12-10,1
2015-12-16,2
2015-12-30,1
2016-01-03,2
2016-01-05,1
2016-01-07,1
2016-01-09,1
2016-01-14,1
2016-01-18,1
2016-01-20,1
