created_at,pull_requests
2018-11-16,1
2018-12-02,1
2019-01-19,1
2019-03-18,1
2019-03-21,1
2019-04-12,1
2019-05-02,1
2019-05-06,1
2019-05-07,1
2019-06-13,1
2019-06-17,1
2019-07-04,1
2019-07-23,1
2019-08-02,2
2019-09-05,1
2019-09-16,1
2019-10-05,1
2019-11-06,1
2019-11-14,1
2019-12-27,1
2020-01-02,1
2020-01-18,1
2020-02-06,2
2020-03-06,1
2020-03-13,1
2020-04-07,1
2020-04-08,1
2020-04-20,1
2020-05-06,1
2020-05-07,1
2020-05-25,1
2020-07-16,2
2020-07-23,1
2020-08-08,6
2020-08-14,1
2020-08-21,1
2020-08-31,1
2020-10-31,1
2020-11-06,1
2020-11-24,1
2020-12-11,1
2020-12-21,1
2020-12-26,1
2021-02-13,1
2021-04-28,1
2021-05-10,1
2021-05-12,1
2021-05-20,1
2021-05-24,1
2021-06-07,1
2021-06-12,1
2021-06-13,1
2021-08-10,1
2021-09-21,1
2021-10-12,1
2021-11-02,1
2021-11-14,1
2022-01-06,1
2022-01-14,1
2022-02-13,1
2022-03-31,1
2022-04-04,1
2022-05-16,1
2022-07-04,1
2022-08-09,1
2022-10-13,1
2022-11-13,1
2022-12-03,1
2023-01-08,1
2023-06-30,1
2023-10-24,1
2023-11-21,2
2024-01-11,1
2024-01-20,1
