user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1205,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1205,closed,2024-03-02,2024-03-02,2024-03-02,0139eeaeed50502cd60ab36e98447d5c6ee85fe8
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1201,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1201,closed,2024-02-13,2024-02-13,2024-02-13,c0ea57e9b1ccf09df5cfe024b29815cae2f36bbf
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1200,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1200,closed,2024-02-13,2024-02-13,2024-02-13,7c04db40f80dbe40e38fcffe318a1cb440c595c8
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1199,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1199,closed,2024-02-13,2024-02-13,2024-02-13,4588bd0496a1809bbba1b415fd8fe631f7b11bb8
Silex,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1194,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1194,closed,2024-01-26,2024-01-31,2024-01-31,211db1104161847bb59ecd9d5498fab1ebddb173
CanePlayz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1192,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1192,open,2024-01-24,2024-01-24,,b8e5381c37a1b37beca40e8be9d820ef25e42cb5
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1188,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1188,closed,2024-01-18,2024-01-18,2024-01-18,d8e43d89be35244f54db49cc43c2cabbeacccdef
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1185,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1185,closed,2024-01-15,2024-01-15,2024-01-15,057beaacd682a38227321828cfffb0730c0f95c9
MarkCiliaVincenti,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1184,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1184,open,2024-01-14,2024-01-23,,578b8f11ea30c975dd9f713173783fae11967fa0
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1183,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1183,closed,2024-01-09,2024-01-09,2024-01-09,777f92a3f1ed60e6065379585f997fac28385ebd
MarkCiliaVincenti,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1180,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1180,closed,2024-01-03,2024-01-04,,95524b452f9a84611c2c1378311c483f4f74f496
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1176,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1176,closed,2023-12-28,2023-12-28,2023-12-28,a2c5d2e2ddf0a7bf4ab12b3c0b37b3b668b243a2
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1175,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1175,closed,2023-12-28,2023-12-28,2023-12-28,512f181be2f08a08b0a44d95c746f65890dfdd7f
Tyrrrz,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1171,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1171,closed,2023-12-10,2024-02-13,,dc7be0db144d77a07618db05fb21b36663c67cde
Paullitsch,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/pulls/1170,https://api.github.com/repos/Tyrrrz/DiscordChatExporter/issues/1170,open,2023-12-06,2024-01-24,,00418f95fd154a2520f43d19852988677388b8a9
