user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/881,https://api.github.com/repos/dorssel/usbipd-win/issues/881,closed,2024-03-03,2024-03-03,2024-03-03,9fd06f5a76cd3564e406a78f8952b67d609a4b61
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/876,https://api.github.com/repos/dorssel/usbipd-win/issues/876,closed,2024-02-27,2024-02-27,2024-02-27,c111b384f9d43edcd216ed036338d78a09d6f238
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/874,https://api.github.com/repos/dorssel/usbipd-win/issues/874,closed,2024-02-22,2024-02-23,2024-02-23,c298f3c316603a734b4ccaf7fcdfe94eae059716
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/873,https://api.github.com/repos/dorssel/usbipd-win/issues/873,closed,2024-02-22,2024-02-24,2024-02-24,018d58535ec97f21c539b2e5e47fdf13b71f8cb2
github-actions[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/868,https://api.github.com/repos/dorssel/usbipd-win/issues/868,closed,2024-02-16,2024-03-02,2024-03-02,8dc27a3fc91812e9a416282f5ac030d884f2adda
github-actions[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/866,https://api.github.com/repos/dorssel/usbipd-win/issues/866,closed,2024-02-14,2024-02-16,,6b8f15b068f5d4b79b17de9a4321b45257c98992
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/863,https://api.github.com/repos/dorssel/usbipd-win/issues/863,closed,2024-02-11,2024-02-11,2024-02-11,73e8682ff6cc281758fd315e87f9a7766fee726d
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/862,https://api.github.com/repos/dorssel/usbipd-win/issues/862,closed,2024-02-08,2024-02-10,2024-02-10,594f9b55440e7c28d4fa6c390fe401fc0b5a0099
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/860,https://api.github.com/repos/dorssel/usbipd-win/issues/860,closed,2024-02-07,2024-02-07,2024-02-07,8b074bf51db8564cd8bd76f0d35accb7b82555f7
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/859,https://api.github.com/repos/dorssel/usbipd-win/issues/859,closed,2024-02-07,2024-02-07,2024-02-07,f9d9753f295d2d603037af19f9c8b3a13da46efa
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/858,https://api.github.com/repos/dorssel/usbipd-win/issues/858,closed,2024-02-07,2024-02-07,2024-02-07,8f0931a58c3fa56c065192a910dadaff71685549
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/855,https://api.github.com/repos/dorssel/usbipd-win/issues/855,closed,2024-02-02,2024-02-21,2024-02-02,b0b7589d2dc4481b1af481787d6d773f46d0758a
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/854,https://api.github.com/repos/dorssel/usbipd-win/issues/854,closed,2024-02-02,2024-02-02,2024-02-02,8dc43b271eb899e1af5f38994307cacbcb4ab3c2
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/853,https://api.github.com/repos/dorssel/usbipd-win/issues/853,closed,2024-02-02,2024-02-02,2024-02-02,a58e8f71ef9798dd57bb34b2dd1b4895abefa55f
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/849,https://api.github.com/repos/dorssel/usbipd-win/issues/849,closed,2024-01-31,2024-02-01,2024-02-01,69a3f7b282c399d20fbeb143a65b210ad883a569
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/848,https://api.github.com/repos/dorssel/usbipd-win/issues/848,closed,2024-01-31,2024-02-01,2024-02-01,dd6f66ea4846d07e60aa39b6290c1382fa178343
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/847,https://api.github.com/repos/dorssel/usbipd-win/issues/847,closed,2024-01-31,2024-02-01,2024-02-01,bbcf9c4c5b76aeee9e5f49e64344c856bd9e9cb7
github-actions[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/845,https://api.github.com/repos/dorssel/usbipd-win/issues/845,closed,2024-01-31,2024-02-01,2024-02-01,4cb5ae46df218f112072416b9bd0dc28892d5db9
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/844,https://api.github.com/repos/dorssel/usbipd-win/issues/844,closed,2024-01-30,2024-01-30,2024-01-30,131389bdc3b983976861a64489c1a7028a189fca
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/841,https://api.github.com/repos/dorssel/usbipd-win/issues/841,closed,2024-01-28,2024-01-30,2024-01-30,ea664292b8d0e6ef15f3c1e455f4b85ae2629e16
github-actions[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/837,https://api.github.com/repos/dorssel/usbipd-win/issues/837,closed,2024-01-21,2024-01-30,2024-01-30,9b5dbf3b9a78b21c8e4c97977a3530df07ad594c
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/836,https://api.github.com/repos/dorssel/usbipd-win/issues/836,closed,2024-01-20,2024-01-20,2024-01-20,eea75b178749942c313358141875c3fc0175b2df
dependabot[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/834,https://api.github.com/repos/dorssel/usbipd-win/issues/834,closed,2024-01-17,2024-01-17,2024-01-17,5a7efc47e3e5e5fff017a5b14da0165b5d3ddf5a
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/833,https://api.github.com/repos/dorssel/usbipd-win/issues/833,closed,2024-01-17,2024-01-17,2024-01-17,923cf2906093786ef263264943f4bc7a1fc44fc0
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/832,https://api.github.com/repos/dorssel/usbipd-win/issues/832,closed,2024-01-17,2024-01-17,2024-01-17,a52ac3326afe63b1487b028a9ea199585c9d6fb7
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/831,https://api.github.com/repos/dorssel/usbipd-win/issues/831,closed,2024-01-17,2024-01-17,2024-01-17,c9e35b6e4a37d3cefc5a3200404081b564dd39ef
github-actions[bot],https://api.github.com/repos/dorssel/usbipd-win/pulls/825,https://api.github.com/repos/dorssel/usbipd-win/issues/825,closed,2024-01-10,2024-01-10,2024-01-10,f2ed9400a904afc356d5e89adcb63c93e567f07c
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/821,https://api.github.com/repos/dorssel/usbipd-win/issues/821,closed,2024-01-01,2024-01-01,2024-01-01,8c52e8ed1927156391218df0d933ad228018d2d8
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/820,https://api.github.com/repos/dorssel/usbipd-win/issues/820,closed,2024-01-01,2024-01-01,2024-01-01,da4d361d67741ac197aa345856853b9906d54138
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/819,https://api.github.com/repos/dorssel/usbipd-win/issues/819,closed,2023-12-31,2024-01-01,2024-01-01,e1627b248c4c1cbebbe3963c3b70200a84a0dc74
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/817,https://api.github.com/repos/dorssel/usbipd-win/issues/817,closed,2023-12-27,2023-12-28,2023-12-28,c76e3e77571b96fbd78bc5beb53a77fc6b58d395
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/815,https://api.github.com/repos/dorssel/usbipd-win/issues/815,closed,2023-12-26,2023-12-27,2023-12-27,80d0ee686c3dc777ae6d64fab8a4a1c7d992c54f
Programmer86,https://api.github.com/repos/dorssel/usbipd-win/pulls/814,https://api.github.com/repos/dorssel/usbipd-win/issues/814,closed,2023-12-25,2023-12-27,2023-12-27,dc10c8ed622493b9e9d227d99970440dd530fb55
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/812,https://api.github.com/repos/dorssel/usbipd-win/issues/812,closed,2023-12-23,2023-12-29,,923ae9ccee8cc567fcbbb40908ccfd5537b0055a
dorssel,https://api.github.com/repos/dorssel/usbipd-win/pulls/802,https://api.github.com/repos/dorssel/usbipd-win/issues/802,closed,2023-12-15,2023-12-16,2023-12-16,2d82098e87a0eb351063e94fb25a127d2888f1a0
