user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
shinny-yangyang,https://api.github.com/repos/finos/perspective/pulls/2553,https://api.github.com/repos/finos/perspective/issues/2553,closed,2024-03-04,2024-03-04,,
JusungPark6,https://api.github.com/repos/finos/perspective/pulls/2552,https://api.github.com/repos/finos/perspective/issues/2552,closed,2024-03-03,2024-03-03,,fb30dc50bab98db5b627028e7ba73478481a0c2c
tomjakubowski,https://api.github.com/repos/finos/perspective/pulls/2551,https://api.github.com/repos/finos/perspective/issues/2551,open,2024-03-02,2024-03-04,,b50b8198bf86737b3c734096776517e932a3cfac
tomjakubowski,https://api.github.com/repos/finos/perspective/pulls/2547,https://api.github.com/repos/finos/perspective/issues/2547,open,2024-02-27,2024-03-01,,2e77d8b4017f962da603b75cd2ad24d5eb24c5df
texodus,https://api.github.com/repos/finos/perspective/pulls/2546,https://api.github.com/repos/finos/perspective/issues/2546,closed,2024-02-27,2024-02-27,2024-02-27,0ea5b4ea2c70d79f3ab128c2e6de1b4034921cf9
texodus,https://api.github.com/repos/finos/perspective/pulls/2545,https://api.github.com/repos/finos/perspective/issues/2545,closed,2024-02-26,2024-02-26,2024-02-26,fda23d8a511cbb5bdf3b6e006eee50b619861415
JusungPark6,https://api.github.com/repos/finos/perspective/pulls/2542,https://api.github.com/repos/finos/perspective/issues/2542,closed,2024-02-25,2024-02-25,,fa14db5d0ed1419c42a727b1c8c907b237538e52
texodus,https://api.github.com/repos/finos/perspective/pulls/2541,https://api.github.com/repos/finos/perspective/issues/2541,closed,2024-02-24,2024-02-24,2024-02-24,c4b5c01ab8277802ccf2a05b5248a90294a40f89
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2539,https://api.github.com/repos/finos/perspective/issues/2539,open,2024-02-20,2024-02-28,,68d288fe7844075e2a70b50a36e3c47b30456163
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2537,https://api.github.com/repos/finos/perspective/issues/2537,closed,2024-02-16,2024-02-17,2024-02-17,ea2b6a3c319a332bed0ea954986ddadb6dbf42ae
texodus,https://api.github.com/repos/finos/perspective/pulls/2536,https://api.github.com/repos/finos/perspective/issues/2536,closed,2024-02-16,2024-02-16,2024-02-16,5b033413bb6901009072aa2824f5108617cac491
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2535,https://api.github.com/repos/finos/perspective/issues/2535,closed,2024-02-15,2024-02-15,2024-02-15,cc9ea2b0570c0b0789f93795f3a173bef0120732
texodus,https://api.github.com/repos/finos/perspective/pulls/2534,https://api.github.com/repos/finos/perspective/issues/2534,closed,2024-02-15,2024-02-15,2024-02-15,677ae1aeb69e300cb4bb5a25df6de0a5d806e2d1
texodus,https://api.github.com/repos/finos/perspective/pulls/2533,https://api.github.com/repos/finos/perspective/issues/2533,closed,2024-02-15,2024-02-15,2024-02-15,7b6e70fe4c95739d69f0fcd5f1951211e16e1b33
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2530,https://api.github.com/repos/finos/perspective/issues/2530,closed,2024-02-08,2024-02-15,,ddd756a1ef364a0442fd5a14c184f4a27c536570
texodus,https://api.github.com/repos/finos/perspective/pulls/2527,https://api.github.com/repos/finos/perspective/issues/2527,closed,2024-02-06,2024-02-06,2024-02-06,aaff331a2ede998aeae28ea61c806766e1b4c453
tomjakubowski,https://api.github.com/repos/finos/perspective/pulls/2526,https://api.github.com/repos/finos/perspective/issues/2526,closed,2024-02-06,2024-02-15,2024-02-15,1489f0b85c076a905a54f872b005d9c8de37d769
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2525,https://api.github.com/repos/finos/perspective/issues/2525,closed,2024-02-05,2024-02-06,,bdd5afc81df0ea98e0482028e5aa78db92c128ba
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2522,https://api.github.com/repos/finos/perspective/issues/2522,closed,2024-02-02,2024-02-15,,8db249f169d07ffdfb7fe80434f28c15d943d33b
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2521,https://api.github.com/repos/finos/perspective/issues/2521,open,2024-02-01,2024-02-28,,7fd61814e8305ca2a9caa34b9d75c0f6ed6f319b
tomjakubowski,https://api.github.com/repos/finos/perspective/pulls/2515,https://api.github.com/repos/finos/perspective/issues/2515,closed,2024-01-29,2024-02-01,,1012afde902d482030845e50366f3b43db1fdd79
Dreamsorcerer,https://api.github.com/repos/finos/perspective/pulls/2513,https://api.github.com/repos/finos/perspective/issues/2513,closed,2024-01-28,2024-01-29,,bb5c65ff783c7fc5e2ff6a57316d85c376d2247b
maoo,https://api.github.com/repos/finos/perspective/pulls/2511,https://api.github.com/repos/finos/perspective/issues/2511,open,2024-01-26,2024-02-26,,a89fc75ba45ef1053a57dd5688353e9b2db145bd
Jamil-4khtar,https://api.github.com/repos/finos/perspective/pulls/2509,https://api.github.com/repos/finos/perspective/issues/2509,closed,2024-01-24,2024-01-24,,cf56aa0fd559c885877bf8a03f5a8ec3bb29d636
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2508,https://api.github.com/repos/finos/perspective/issues/2508,closed,2024-01-23,2024-02-01,,
texodus,https://api.github.com/repos/finos/perspective/pulls/2505,https://api.github.com/repos/finos/perspective/issues/2505,closed,2024-01-17,2024-01-18,2024-01-18,f7160360817707fa25e8aea8c9078bc98a864ef5
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2502,https://api.github.com/repos/finos/perspective/issues/2502,closed,2024-01-17,2024-02-24,2024-02-24,8e4c9a18edbc2a0a015bbc915b929b594f68901d
ada-x64,https://api.github.com/repos/finos/perspective/pulls/2500,https://api.github.com/repos/finos/perspective/issues/2500,open,2024-01-16,2024-02-28,,4e82a889ec176ee453bed8eec36c1a96aa490a2e
GabrielCoderz,https://api.github.com/repos/finos/perspective/pulls/2499,https://api.github.com/repos/finos/perspective/issues/2499,closed,2024-01-12,2024-01-12,,0d7d30d134ffce2f041c1f89e07ad0e3476b7a67
texodus,https://api.github.com/repos/finos/perspective/pulls/2498,https://api.github.com/repos/finos/perspective/issues/2498,closed,2024-01-12,2024-01-12,2024-01-12,ccd7728890d60d8a0fc7a9a607e06d30287be845
DavidBord,https://api.github.com/repos/finos/perspective/pulls/2497,https://api.github.com/repos/finos/perspective/issues/2497,closed,2024-01-11,2024-01-16,,dbdfc31ea0f84600179f4b75e3116028c3e55d61
texodus,https://api.github.com/repos/finos/perspective/pulls/2495,https://api.github.com/repos/finos/perspective/issues/2495,closed,2024-01-10,2024-01-10,2024-01-10,feb4df67881f2dcf9feb57a93a6704a4579b0d3a
sofchr,https://api.github.com/repos/finos/perspective/pulls/2493,https://api.github.com/repos/finos/perspective/issues/2493,closed,2024-01-09,2024-01-10,,550dab1ec3725859b965b2c089d75e58a2ccbba2
texodus,https://api.github.com/repos/finos/perspective/pulls/2489,https://api.github.com/repos/finos/perspective/issues/2489,closed,2024-01-09,2024-01-10,2024-01-10,e1625e77ca3cbbfe19d7ee1f44ae6bbdefa4a0e2
texodus,https://api.github.com/repos/finos/perspective/pulls/2486,https://api.github.com/repos/finos/perspective/issues/2486,closed,2024-01-03,2024-01-03,2024-01-03,3de64b326480f4982225dee1845789e740fe55e2
texodus,https://api.github.com/repos/finos/perspective/pulls/2484,https://api.github.com/repos/finos/perspective/issues/2484,closed,2024-01-02,2024-01-02,2024-01-02,64b3acecb7eaa932600cbfaad714be73d2369fe1
texodus,https://api.github.com/repos/finos/perspective/pulls/2483,https://api.github.com/repos/finos/perspective/issues/2483,closed,2023-12-31,2023-12-31,2023-12-31,bd591f139c9bd791af05d0511a851eca11902b5c
tomjakubowski,https://api.github.com/repos/finos/perspective/pulls/2482,https://api.github.com/repos/finos/perspective/issues/2482,closed,2023-12-29,2024-01-22,2024-01-22,345edf5b6fdd17b6ec806b87232484f21dc6d827
texodus,https://api.github.com/repos/finos/perspective/pulls/2481,https://api.github.com/repos/finos/perspective/issues/2481,closed,2023-12-26,2023-12-27,2023-12-27,d0b1bbe01dc6cd3c843204d4e1c07803bd5fbb91
aciffone23,https://api.github.com/repos/finos/perspective/pulls/2477,https://api.github.com/repos/finos/perspective/issues/2477,closed,2023-12-12,2024-02-24,,a9d74aada575bfe5d8ee62b92beffab1b2d0a5e1
prashant2808,https://api.github.com/repos/finos/perspective/pulls/2474,https://api.github.com/repos/finos/perspective/issues/2474,closed,2023-12-11,2023-12-11,,f3dd10d91cd8482eea19a0c9e97de4f4e909ec89
Aron-Lomner,https://api.github.com/repos/finos/perspective/pulls/2473,https://api.github.com/repos/finos/perspective/issues/2473,closed,2023-12-11,2023-12-11,,776b09507d8918653169a4d19283e53507c138e9
