created_at,pull_requests
2016-10-29,1
2016-10-30,1
2016-11-05,1
2016-11-07,1
2016-11-11,2
2016-12-01,1
2016-12-07,1
2016-12-08,1
2016-12-09,1
2016-12-14,1
2016-12-16,1
2016-12-17,2
2016-12-18,2
2016-12-19,4
2016-12-20,1
2016-12-22,1
2016-12-23,1
2016-12-25,1
2016-12-28,4
2016-12-29,2
2016-12-30,1
2017-01-01,1
2017-01-04,1
2017-01-08,1
2017-01-11,1
2017-01-15,1
2017-01-19,2
2017-01-24,2
2017-02-01,1
2017-02-02,1
2017-02-05,1
2017-02-07,1
2017-02-12,1
2017-02-15,1
2017-02-17,1
2017-02-18,2
2017-02-19,1
2017-02-20,1
2017-02-21,2
2017-02-27,1
2017-03-02,1
2017-03-05,2
2017-03-08,1
2017-03-11,1
2017-03-14,1
2017-03-15,1
2017-03-16,1
2017-03-17,1
2017-03-18,1
2017-03-21,1
2017-03-22,1
2017-03-23,1
2017-03-24,1
2017-03-26,1
2017-03-28,2
2017-04-03,1
2017-04-06,2
2017-04-11,1
2017-04-13,1
2017-04-14,1
2017-04-17,1
2017-04-18,2
2017-04-20,1
2017-04-24,1
2017-04-26,1
2017-04-27,2
2017-04-28,2
2017-04-29,1
2017-05-01,2
2017-05-05,1
2017-05-06,1
2017-05-09,1
2017-05-11,1
2017-05-19,1
2017-05-24,1
2017-05-29,1
2017-05-30,2
2017-06-01,3
2017-06-05,2
2017-06-18,2
2017-06-21,1
2017-06-24,1
2017-06-26,1
2017-06-28,1
2017-07-01,1
2017-07-07,1
2017-07-10,1
2017-07-12,1
2017-07-17,1
2017-07-28,1
2017-08-06,1
2017-08-10,2
2017-08-12,1
2017-08-16,1
2017-08-17,1
2017-08-19,2
2017-08-21,1
2017-08-24,1
2017-08-28,1
2017-08-30,3
2017-08-31,1
2017-09-02,1
2017-09-09,1
2017-09-15,3
2017-09-16,4
2017-09-17,1
2017-09-18,1
2017-09-19,3
2017-09-21,3
2017-09-22,2
2017-09-23,1
2017-09-25,1
2017-09-27,1
2017-10-03,1
2017-10-05,3
2017-10-06,2
2017-10-08,3
2017-10-09,2
2017-10-11,1
2017-10-12,1
2017-10-27,1
2017-10-30,1
2017-10-31,1
2017-11-17,1
2017-11-21,1
2017-11-23,1
2017-11-24,1
2017-12-05,1
2017-12-07,1
2017-12-08,1
2017-12-09,1
2017-12-10,1
2017-12-11,1
2017-12-18,1
2017-12-19,1
2017-12-20,1
2017-12-24,2
2017-12-26,1
2018-01-01,1
2018-01-11,1
2018-01-14,1
2018-01-15,1
2018-01-16,1
2018-01-20,1
2018-01-23,2
2018-01-24,1
2018-01-25,1
2018-01-31,1
2018-02-03,2
2018-02-04,1
2018-02-06,1
2018-02-09,1
2018-02-17,1
2018-02-19,1
2018-02-22,2
2018-02-24,1
2018-02-25,1
2018-02-28,4
2018-03-02,1
2018-03-11,1
2018-03-14,1
2018-03-18,1
2018-03-20,2
2018-03-21,2
2018-03-23,1
2018-03-24,1
2018-03-25,2
2018-03-27,3
2018-03-28,1
2018-03-30,1
2018-04-04,1
2018-04-10,2
2018-04-11,1
2018-04-12,2
2018-04-13,1
2018-04-15,1
2018-04-17,1
2018-04-18,2
2018-04-19,6
2018-04-23,1
2018-04-26,2
2018-04-27,1
2018-04-28,2
2018-04-29,2
2018-04-30,1
2018-05-03,1
2018-05-07,2
2018-05-09,2
2018-05-10,1
2018-05-11,1
2018-05-13,1
2018-05-15,1
2018-05-18,2
2018-05-21,3
2018-05-22,1
2018-05-23,4
2018-05-24,1
2018-05-25,1
2018-05-29,1
2018-05-30,1
2018-06-02,1
2018-06-05,1
2018-06-10,1
2018-06-12,2
2018-06-16,2
2018-06-17,1
2018-06-22,1
2018-06-23,2
2018-06-24,1
2018-06-25,1
2018-06-26,4
2018-06-27,1
2018-07-01,1
2018-07-02,1
2018-07-03,3
2018-07-08,2
2018-07-10,1
2018-07-12,2
2018-07-22,1
2018-07-24,1
2018-07-27,1
2018-08-04,1
2018-08-05,3
2018-08-07,2
2018-08-14,1
2018-08-17,1
2018-08-20,2
2018-08-22,1
2018-08-23,1
2018-08-24,1
2018-08-27,1
2018-08-31,1
2018-09-01,1
2018-09-03,2
2018-09-06,3
2018-09-13,1
2018-09-17,1
2018-09-18,2
2018-09-20,1
2018-09-21,1
2018-09-23,1
2018-09-26,1
2018-09-27,1
2018-09-28,1
2018-09-29,1
2018-09-30,1
2018-10-01,1
2018-10-04,2
2018-10-05,1
2018-10-06,4
2018-10-07,1
2018-10-11,1
2018-10-15,2
2018-10-18,1
2018-10-19,1
2018-10-20,1
2018-10-23,1
2018-10-24,2
2018-10-26,3
2018-10-27,2
2018-10-29,4
2018-10-30,1
2018-11-01,1
2018-11-02,1
2018-11-04,1
2018-11-05,1
2018-11-06,4
2018-11-10,1
2018-11-27,1
2018-11-29,1
2018-11-30,1
2018-12-05,1
2018-12-06,1
2018-12-08,1
2018-12-11,1
2018-12-12,1
2018-12-15,1
2018-12-16,1
2018-12-22,1
2019-01-04,1
2019-01-08,1
2019-01-09,1
2019-01-19,1
2019-01-20,1
2019-01-25,2
2019-01-28,1
2019-02-04,2
2019-02-05,1
2019-02-09,1
2019-02-11,1
2019-02-14,1
2019-02-15,2
2019-02-19,1
2019-02-20,3
2019-02-21,1
2019-02-23,1
2019-03-15,2
2019-03-21,4
2019-03-26,1
2019-03-28,2
2019-04-01,2
2019-04-03,1
2019-04-04,1
2019-04-07,1
2019-04-11,2
2019-04-13,2
2019-04-15,1
2019-04-17,1
2019-04-20,2
2019-04-22,1
2019-04-23,2
2019-05-01,1
2019-05-02,1
2019-05-04,2
2019-05-05,1
2019-05-07,2
2019-05-11,1
2019-05-15,1
2019-05-16,1
2019-05-19,1
2019-05-24,1
2019-05-25,2
2019-05-26,1
2019-05-28,1
2019-05-30,1
2019-06-03,1
2019-06-04,1
2019-06-05,1
2019-06-10,2
2019-06-13,1
2019-06-18,1
2019-06-19,1
2019-06-23,1
2019-07-19,1
2019-07-24,1
2019-07-29,1
2019-08-04,1
2019-08-07,4
2019-08-08,1
2019-08-09,1
2019-08-10,2
2019-08-11,2
2019-08-12,1
2019-08-13,4
2019-08-15,7
2019-08-19,1
2019-08-20,1
2019-08-22,1
2019-08-24,1
2019-08-25,2
2019-08-27,1
2019-08-29,1
2019-09-01,1
2019-09-06,1
2019-09-07,1
2019-09-08,2
2019-09-12,2
2019-09-17,3
2019-09-19,1
2019-09-30,1
2019-10-01,2
2019-10-04,1
2019-10-05,1
2019-10-11,1
2019-10-13,1
2019-10-16,1
2019-10-23,5
2019-10-24,3
2019-10-25,1
2019-10-31,1
2019-11-01,2
2019-11-05,1
2019-11-07,1
2019-11-11,1
2019-11-14,1
2019-11-20,1
2019-11-27,1
2019-12-03,1
2019-12-05,1
2019-12-11,1
2019-12-12,1
2019-12-20,1
2019-12-27,1
2020-01-03,1
2020-01-06,4
2020-01-07,1
2020-01-09,2
2020-01-10,1
2020-01-11,1
2020-01-12,2
2020-01-13,1
2020-01-16,1
2020-01-18,1
2020-01-19,1
2020-01-20,1
2020-01-22,2
2020-01-25,2
2020-01-28,2
2020-01-30,1
2020-01-31,1
2020-02-02,1
2020-02-04,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-13,1
2020-02-14,1
2020-02-16,1
2020-02-20,1
2020-02-21,1
2020-02-22,3
2020-02-24,1
2020-02-26,1
2020-02-27,4
2020-02-29,1
2020-03-03,1
2020-03-07,2
2020-03-09,1
2020-03-10,1
2020-03-14,2
2020-03-15,1
2020-03-24,1
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-29,2
2020-04-05,1
2020-04-06,2
2020-04-09,2
2020-04-13,1
2020-04-16,1
2020-04-18,2
2020-04-21,3
2020-04-22,2
2020-04-23,1
2020-04-24,1
2020-04-26,1
2020-04-27,2
2020-04-28,2
2020-04-29,1
2020-04-30,2
2020-05-06,1
2020-05-08,1
2020-05-09,1
2020-05-13,1
2020-05-16,1
2020-05-18,1
2020-05-27,1
2020-06-05,1
2020-06-06,2
2020-06-07,1
2020-06-08,1
2020-06-10,2
2020-06-11,1
2020-06-15,1
2020-06-16,2
2020-06-17,1
2020-06-18,1
2020-06-19,1
2020-06-21,1
2020-07-04,2
2020-07-06,1
2020-07-07,1
2020-07-10,1
2020-07-12,1
2020-07-14,1
2020-07-24,1
2020-07-25,1
2020-07-26,1
2020-07-27,1
