created_at,pull_requests
2013-07-14,2
2013-07-17,2
2013-07-18,1
2013-07-29,1
2013-07-31,1
2013-08-19,1
2013-11-17,1
2013-11-21,1
2013-12-06,1
2013-12-22,1
2014-01-10,1
2014-01-14,1
2014-01-23,1
2014-02-23,1
2014-04-29,1
2014-05-12,1
2014-06-10,1
2014-06-13,1
2014-06-16,1
2014-06-19,1
2014-07-26,1
2014-08-02,1
2014-08-22,1
2014-09-10,1
2014-10-12,1
2014-10-15,1
2015-01-22,1
2015-02-07,1
2015-03-03,1
2015-04-13,1
2015-04-20,1
2015-05-30,1
2015-06-08,1
2015-06-15,1
2015-07-19,1
2015-07-21,2
2015-07-22,2
2015-07-23,1
2015-07-27,1
2015-07-30,2
2015-07-31,1
2015-08-10,1
2015-08-26,2
2015-08-29,1
2015-09-02,1
2015-09-23,2
2015-09-25,1
2015-09-29,1
2015-10-18,1
2015-10-19,1
2015-10-21,1
2015-10-22,3
2015-10-23,1
2015-10-26,1
2015-10-28,2
2015-10-29,2
2015-10-31,1
2015-11-01,2
2015-11-03,1
2015-11-06,1
2015-11-13,1
2015-11-15,1
2015-11-16,1
2015-11-20,1
2015-11-30,1
2015-12-07,1
2015-12-09,1
2015-12-12,1
2015-12-13,1
2015-12-19,1
2015-12-20,1
2016-01-20,1
2016-01-29,1
2016-03-13,1
2016-04-11,1
2016-05-01,2
2016-05-23,1
2016-05-24,1
2016-05-27,2
2016-06-05,1
2016-06-09,1
2016-06-11,1
2016-06-23,1
2016-06-24,1
2016-06-28,1
2016-07-09,2
2016-07-22,1
2016-08-14,1
2016-08-31,2
2016-09-22,1
2016-10-03,5
2016-10-16,1
2016-12-15,1
2017-01-12,2
2017-01-29,1
2017-02-01,1
2017-02-11,1
2017-02-12,1
2017-02-25,4
2017-02-26,1
2017-03-14,1
2017-03-25,1
2017-04-15,1
2017-05-11,1
2017-06-20,1
2017-06-22,1
2017-06-24,1
2017-06-25,1
2017-08-11,1
2017-08-18,1
2017-09-02,1
2017-09-03,1
2017-09-04,1
2017-09-05,1
2017-09-06,2
2017-09-26,1
2017-10-01,6
2017-10-06,1
2017-10-07,1
2017-10-08,1
2017-10-14,4
2017-10-17,1
2017-10-25,1
2017-12-12,1
2017-12-18,2
2017-12-31,1
2018-01-05,3
2018-01-08,1
2018-01-13,1
2018-02-02,1
2018-03-08,1
2018-03-22,1
2018-04-03,1
2018-04-29,1
2018-05-12,1
2018-05-17,2
2018-05-18,1
2018-05-30,1
2018-06-03,1
2018-06-12,1
2018-06-13,2
2018-06-14,1
2018-06-18,1
2018-06-28,2
2018-07-13,1
2018-07-20,1
2018-07-21,4
2018-07-27,1
2018-07-28,1
2018-10-08,2
2018-10-22,1
2018-10-24,1
2018-10-25,2
2018-10-26,1
2018-10-28,1
2018-10-31,1
2018-11-03,1
2018-11-25,2
2018-11-26,1
2018-12-16,1
2018-12-17,1
2019-01-02,1
2019-01-06,1
2019-01-07,1
2019-01-11,1
2019-01-18,1
2019-01-22,1
2019-02-01,1
2019-02-04,1
2019-02-05,2
2019-02-08,1
2019-02-09,1
2019-02-14,1
2019-03-27,2
2019-03-28,1
2019-04-11,1
2019-04-27,2
2019-05-01,1
2019-05-02,1
2019-05-05,1
2019-05-11,1
2019-05-20,1
2019-05-23,5
2019-05-31,1
2019-06-23,1
2019-06-24,1
2019-06-27,1
2019-06-30,2
2019-07-15,1
2019-07-17,1
2019-07-22,1
2019-07-28,1
2019-09-09,2
2019-09-23,1
2019-09-24,1
2019-10-01,1
2019-10-02,5
2019-10-03,2
2019-10-05,3
2019-10-07,1
2019-10-10,1
2019-10-15,1
2019-10-16,16
2019-10-17,1
2019-10-19,3
2019-10-20,1
2019-10-24,2
2019-10-28,2
2019-10-29,3
2019-10-30,2
2019-10-31,1
2019-11-02,2
2019-11-03,2
2019-11-04,4
2019-11-06,1
2019-11-07,1
2019-11-16,1
2019-11-22,1
2019-11-27,3
2019-12-04,3
2019-12-18,1
2020-01-18,1
2020-02-05,1
2020-03-12,2
2020-03-31,1
2020-04-03,2
2020-04-07,3
2020-04-15,1
2020-04-21,2
2020-04-24,1
2020-05-06,1
2020-05-14,5
2020-05-15,2
2020-05-16,1
2020-05-19,1
2020-06-02,1
2020-06-04,2
2020-06-18,1
2020-06-19,1
2020-06-21,1
2020-06-28,3
2020-07-02,2
2020-07-05,12
2020-07-06,2
2020-07-07,3
2020-07-08,2
2020-07-09,3
2020-07-14,2
2020-07-22,1
2020-08-04,1
2020-08-07,1
2020-08-21,1
2020-08-27,2
2020-08-31,1
2020-09-01,1
2020-09-07,1
2020-09-09,1
2020-09-13,1
2020-10-05,3
2020-11-09,3
2020-11-10,1
2020-11-16,6
2020-12-03,4
2020-12-08,1
2020-12-30,1
2021-01-09,1
2021-01-10,1
2021-01-11,1
2021-01-18,1
2021-02-24,1
2021-03-17,1
2021-03-20,1
2021-03-22,5
2021-03-23,1
2021-03-26,2
2021-04-02,1
2021-04-11,1
2021-05-05,1
2021-05-17,1
2021-05-26,1
2021-05-27,1
2021-05-29,1
2021-06-13,2
2021-06-27,1
2021-07-04,1
2021-07-22,1
2021-07-30,2
2021-08-13,1
2021-08-17,1
2021-09-14,1
2021-09-23,2
2021-09-25,1
2021-10-02,5
2021-10-08,2
2021-10-09,2
2021-10-10,3
2021-10-12,1
2021-10-27,1
2021-11-09,1
2021-11-10,1
2021-11-11,1
2021-11-12,1
2021-11-13,2
2021-11-14,2
2021-11-17,3
2021-11-24,1
2021-12-04,1
2021-12-21,1
2022-01-01,1
2022-01-03,1
2022-01-06,3
2022-02-17,1
2022-04-01,1
2022-04-02,2
2022-04-12,1
2022-04-22,2
2022-04-24,1
2022-04-25,1
2022-05-03,1
2022-05-05,1
2022-05-06,1
2022-05-10,2
2022-05-11,1
2022-05-17,1
2022-05-20,1
2022-06-01,1
2022-06-04,1
2022-06-13,1
2022-06-20,1
2022-06-27,3
2022-07-17,1
2022-08-02,1
2022-08-03,1
2022-08-10,1
2022-08-19,1
2022-08-24,1
2022-08-26,1
2022-08-28,1
2022-08-30,1
2022-08-31,1
2022-09-02,1
2022-09-21,3
2022-09-26,1
2022-10-20,3
2022-10-28,2
2022-10-29,2
2022-10-30,5
2022-10-31,1
2022-11-07,1
2022-11-10,2
2022-11-11,1
2022-12-16,2
2022-12-19,2
2023-01-22,1
2023-01-24,1
2023-01-30,3
2023-02-20,5
2023-02-21,2
2023-02-28,3
2023-03-06,3
2023-03-17,4
2023-03-18,1
2023-03-21,1
2023-03-28,1
2023-04-03,1
2023-05-16,1
2023-05-26,2
2023-06-02,1
2023-06-05,1
2023-06-06,1
2023-06-09,1
2023-06-27,1
2023-07-06,1
2023-07-07,2
2023-08-03,1
2023-08-07,2
2023-08-10,1
2023-08-17,1
2023-08-19,1
2023-08-29,1
2023-09-04,1
2023-09-18,2
2023-10-04,1
2023-10-13,2
2023-10-17,1
2023-10-18,3
2023-10-20,2
2023-10-24,1
2023-10-27,2
2023-10-29,1
2023-10-30,2
2023-10-31,2
2023-11-01,1
2023-11-03,1
2023-11-09,1
2023-11-14,2
2023-11-16,3
2023-11-18,1
2023-11-20,2
2023-11-24,2
2023-12-11,3
2023-12-18,1
2023-12-25,2
2023-12-27,1
2023-12-28,1
2024-01-05,1
2024-01-09,1
2024-01-15,1
2024-01-22,1
2024-01-31,1
2024-02-05,2
2024-02-07,1
2024-02-08,2
2024-02-16,2
2024-02-22,1
