created_at,pull_requests
2019-09-20,1
2019-10-30,2
2019-10-31,1
2019-11-09,1
2019-11-29,1
2020-01-14,1
2020-01-15,1
2020-01-26,1
2020-03-15,1
2020-04-15,1
2020-04-20,1
2020-04-24,1
2020-05-06,1
2020-05-13,1
2020-05-23,1
2020-06-25,1
2020-07-10,1
2020-07-19,1
2020-07-27,1
2020-07-30,1
2020-08-16,1
2020-10-01,1
2020-10-05,1
2020-10-11,1
2020-10-14,1
2020-10-29,1
2020-11-08,1
2021-02-28,1
2021-03-06,1
2021-03-10,1
2021-03-31,1
2021-04-07,1
2021-04-11,1
2021-07-18,1
2021-07-23,1
2022-01-04,1
2022-01-06,2
2022-01-10,1
2022-01-11,1
2023-03-31,1
2023-11-14,1
2024-01-23,1
