created_at,pull_requests
2014-06-06,1
2014-06-24,4
2014-06-25,2
2014-07-01,2
2014-07-03,1
2014-08-15,1
2014-08-18,2
2014-08-19,1
2014-08-20,2
2014-08-22,1
2014-08-24,1
2014-09-01,1
2014-09-03,3
2014-09-04,1
2014-12-05,1
2014-12-07,1
2014-12-10,4
2014-12-12,2
2014-12-13,1
2014-12-14,1
2014-12-17,1
2014-12-18,2
2014-12-19,1
2014-12-25,1
2014-12-30,1
2015-01-02,1
2015-01-05,1
2015-01-11,1
2015-01-12,2
2015-01-14,1
2015-01-16,1
2015-01-20,1
2015-01-28,1
2015-02-04,1
2015-02-06,2
2015-02-09,1
2015-02-10,3
2015-02-16,1
2015-02-18,3
2015-02-21,1
2015-02-23,3
2015-02-24,1
2015-02-28,1
2015-03-01,3
2015-03-02,1
2015-03-07,3
2015-03-08,1
2015-03-10,1
2015-03-11,2
2015-03-13,1
2015-03-14,2
2015-03-15,2
2015-03-16,4
2015-03-17,6
2015-03-18,3
2015-03-20,1
2015-03-22,1
2015-03-26,2
2015-03-30,1
2015-03-31,1
2015-04-04,2
2015-04-13,2
2015-04-14,1
2015-04-15,1
2015-04-17,1
2015-04-20,1
2015-04-21,2
2015-04-27,3
2015-05-05,1
2015-05-06,1
2015-05-08,1
2015-05-12,2
2015-05-13,1
2015-05-14,2
2015-05-15,1
2015-05-16,1
2015-05-20,1
2015-05-21,1
2015-05-27,1
2015-05-30,1
2015-06-01,1
2015-06-02,2
2015-06-20,2
2015-06-25,1
2015-06-29,1
2015-06-30,1
2015-07-01,1
2015-07-02,3
2015-07-04,1
2015-07-07,1
2015-07-08,1
2015-07-17,4
2015-07-19,1
2015-07-20,3
2015-07-22,1
2015-07-24,1
2015-07-25,1
2015-07-26,1
2015-07-27,5
2015-07-30,2
2015-08-03,1
2015-08-06,2
2015-08-08,1
2015-08-09,2
2015-08-11,4
2015-08-12,1
2015-08-13,2
2015-08-14,1
2015-08-16,1
2015-08-18,2
2015-08-19,1
2015-08-21,2
2015-08-27,1
2015-08-28,2
2015-08-31,1
2015-09-02,5
2015-09-04,5
2015-09-06,1
2015-09-10,3
2015-09-11,2
2015-09-13,1
2015-09-14,1
2015-09-16,1
2015-09-17,1
2015-09-20,1
2015-09-22,1
2015-09-23,1
2015-09-26,3
2015-09-27,1
2015-10-01,1
2015-10-02,1
2015-10-03,2
2015-10-05,1
2015-10-06,2
2015-10-09,1
2015-10-10,2
2015-10-11,4
2015-10-18,5
2015-10-19,2
2015-10-20,1
2015-10-22,1
2015-10-23,1
2015-10-24,1
2015-11-01,1
2015-11-02,2
2015-11-04,5
2015-11-05,3
2015-11-06,1
2015-11-07,3
2015-11-09,2
2015-11-11,1
2015-11-12,1
2015-11-13,2
2015-11-15,1
2015-11-18,2
2015-11-20,1
2015-11-21,1
2015-11-26,1
2015-11-27,1
2015-11-29,1
2015-11-30,1
2015-12-01,1
2015-12-03,1
2015-12-04,1
2015-12-06,1
2015-12-07,1
2015-12-09,2
2015-12-10,1
2015-12-11,3
2015-12-12,1
2015-12-15,1
2015-12-16,3
2015-12-17,1
2015-12-18,2
2015-12-25,1
2015-12-28,2
2015-12-29,1
2015-12-30,4
2016-01-02,1
2016-01-04,1
2016-01-08,1
2016-01-09,1
2016-01-10,4
2016-01-12,1
2016-01-16,1
2016-01-17,1
2016-01-18,1
2016-01-19,1
2016-01-20,2
2016-01-21,2
2016-01-24,1
2016-01-25,2
2016-01-26,3
2016-01-27,2
2016-02-05,2
2016-02-09,2
2016-02-10,1
2016-02-11,1
2016-02-13,2
2016-02-15,2
2016-02-19,2
2016-02-21,1
2016-02-22,1
2016-02-23,1
2016-02-25,1
2016-02-26,5
2016-02-28,1
2016-02-29,2
2016-03-01,2
2016-03-04,2
2016-03-06,1
2016-03-07,1
2016-03-08,1
2016-03-09,3
2016-03-11,1
2016-03-14,1
2016-03-15,2
2016-03-16,4
2016-03-17,2
2016-03-18,1
2016-03-20,2
2016-03-22,1
2016-03-23,7
2016-03-24,2
2016-03-25,2
2016-03-26,6
2016-03-27,1
2016-03-28,1
2016-03-29,1
2016-03-30,1
2016-04-02,1
2016-04-04,2
2016-04-06,1
2016-04-09,2
2016-04-11,2
2016-04-12,1
2016-04-13,2
2016-04-15,2
2016-04-16,1
2016-04-17,1
2016-04-18,1
2016-04-19,2
2016-04-20,3
2016-04-27,1
2016-04-28,1
2016-04-29,2
2016-05-01,1
2016-05-03,2
2016-05-04,1
2016-05-05,2
2016-05-10,1
2016-05-11,1
2016-05-12,2
2016-05-13,1
2016-05-14,1
2016-05-16,2
2016-05-17,3
2016-05-18,2
2016-05-19,3
2016-05-22,3
2016-05-23,2
2016-05-26,3
2016-05-28,1
2016-05-29,1
2016-05-31,2
2016-06-01,1
2016-06-02,7
2016-06-03,2
2016-06-05,3
2016-06-06,3
2016-06-07,3
2016-06-08,1
2016-06-09,1
2016-06-10,2
2016-06-11,1
2016-06-15,1
2016-06-16,2
2016-06-21,4
2016-06-22,3
2016-06-24,2
2016-06-25,2
2016-06-27,1
2016-06-28,5
2016-06-29,3
2016-07-01,1
2016-07-03,1
2016-07-05,2
2016-07-06,1
2016-07-09,1
2016-07-10,1
2016-07-11,3
2016-07-12,1
2016-07-13,2
2016-07-14,4
2016-07-15,3
2016-07-17,2
2016-07-18,2
2016-07-19,4
2016-07-20,5
2016-07-21,2
2016-07-22,3
2016-07-24,1
2016-07-25,8
2016-07-26,2
2016-07-27,1
2016-07-28,3
2016-08-08,1
2016-08-09,3
2016-08-10,3
2016-08-11,3
2016-08-13,1
2016-08-16,2
2016-08-17,2
2016-08-18,1
2016-08-19,3
2016-08-20,1
2016-08-21,1
2016-08-23,1
2016-08-25,2
2016-08-27,3
2016-08-28,4
2016-08-29,2
2016-08-30,4
2016-08-31,2
2016-09-02,2
2016-09-05,1
2016-09-08,1
2016-09-09,1
2016-09-10,1
2016-09-12,1
2016-09-13,3
2016-09-14,2
2016-09-15,1
2016-09-16,3
2016-09-18,1
2016-09-19,2
2016-09-21,1
2016-09-27,1
2016-09-28,1
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-08,1
2016-10-10,2
2016-10-11,1
2016-10-12,3
2016-10-13,1
2016-10-16,1
2016-10-17,2
2016-10-19,4
2016-10-20,1
2016-10-21,4
2016-10-22,1
2016-10-24,1
2016-10-25,1
2016-10-27,2
2016-10-28,2
2016-10-31,1
2016-11-01,1
2016-11-02,2
2016-11-04,1
2016-11-07,1
2016-11-08,1
2016-11-10,1
2016-11-11,1
2016-11-14,4
