created_at,pull_requests
2016-11-07,1
2017-07-04,1
2017-08-28,1
2017-12-03,1
2018-03-22,1
2018-04-03,1
2018-06-11,1
2018-06-26,1
2018-07-03,1
2018-07-15,1
2018-08-08,1
2018-08-17,1
2018-08-18,2
2018-10-31,1
2019-01-28,1
2019-02-11,1
2019-02-20,1
2019-02-25,1
2019-03-03,1
2019-04-27,1
2019-05-01,1
2019-05-20,1
2019-05-23,1
2019-05-27,1
2019-05-31,2
2019-06-03,1
2019-06-10,1
2019-06-13,2
2019-06-16,1
2019-06-27,1
2019-06-30,3
2019-07-01,1
2019-07-03,1
2019-07-09,1
2019-07-27,1
2019-07-29,1
2019-08-02,1
2019-09-20,1
2019-12-29,1
2020-02-03,1
2020-03-16,2
2020-03-20,1
2020-03-24,3
2020-04-10,1
2020-04-14,1
2020-04-25,2
2020-04-26,2
2020-05-03,1
2020-05-05,1
2020-05-09,1
2020-05-19,1
2020-05-27,1
2020-05-31,1
2020-06-07,2
2020-06-08,1
2020-06-09,2
2020-06-11,1
2020-06-13,1
2020-06-17,2
2020-06-18,1
2020-06-21,1
2020-06-22,2
2020-06-24,2
2020-06-29,1
2020-06-30,4
2020-07-01,4
2020-07-02,4
2020-07-03,1
2020-07-04,2
2020-07-05,1
2020-07-06,1
2020-07-07,2
2020-07-17,1
2020-07-18,1
2020-07-20,1
2020-07-21,4
2020-07-22,2
2020-07-23,1
2020-07-24,1
2020-07-25,1
2020-07-27,4
2020-07-28,1
2020-07-29,6
2020-07-31,2
2020-08-02,1
2020-08-04,3
2020-08-05,1
2020-08-06,1
2020-08-08,1
2020-08-12,1
2020-08-15,5
2020-08-16,3
2020-08-17,1
2020-08-18,4
2020-08-19,1
2020-08-20,1
2020-08-23,1
2020-08-24,1
2020-08-26,4
2020-08-28,2
2020-08-29,3
2020-08-30,1
2020-08-31,2
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-05,4
2020-09-06,1
2020-09-07,1
2020-09-10,1
2020-09-13,2
2020-09-14,2
2020-09-15,1
2020-09-16,1
2020-09-18,2
2020-09-19,1
2020-09-20,3
2020-09-21,1
2020-09-22,1
2020-09-24,1
2020-09-25,1
2020-09-28,2
2020-09-30,1
2020-10-02,3
2020-10-05,1
2020-10-07,1
2020-10-10,2
2020-10-11,1
2020-10-13,1
2020-10-19,3
2020-10-21,1
2020-10-22,1
2020-10-26,1
2020-10-29,1
2020-11-01,1
2020-11-03,1
2020-11-04,2
2020-11-05,1
2020-11-08,2
2020-11-10,4
2020-11-11,6
2020-11-13,2
2020-11-17,3
2020-11-18,2
2020-11-19,2
2020-11-24,1
2020-12-06,2
2020-12-08,4
2020-12-12,2
2020-12-13,1
2020-12-14,1
2020-12-16,2
2020-12-17,5
2020-12-18,2
2020-12-19,2
2020-12-20,2
2020-12-21,3
2020-12-22,1
2020-12-28,1
2021-01-03,1
2021-01-04,1
2021-01-07,4
2021-01-08,2
2021-01-10,1
2021-01-12,2
2021-01-13,1
2021-01-15,1
2021-01-16,1
2021-01-17,3
2021-01-19,1
2021-01-21,2
2021-01-25,2
2021-01-26,1
2021-01-27,3
2021-01-28,1
2021-01-29,3
2021-01-30,1
2021-01-31,2
2021-02-01,2
2021-02-02,3
2021-02-03,1
2021-02-05,1
2021-02-07,2
2021-02-08,4
2021-02-10,1
2021-02-19,1
2021-02-22,1
2021-02-27,4
2021-02-28,1
2021-03-01,1
2021-03-02,1
2021-03-03,1
2021-03-08,1
2021-03-16,2
2021-03-17,2
2021-03-18,4
2021-03-20,1
2021-03-24,1
2021-03-26,2
2021-03-27,1
2021-03-28,1
2021-03-30,1
2021-04-02,1
2021-04-03,1
2021-04-07,1
2021-04-14,1
2021-04-18,1
2021-05-23,1
2021-06-03,1
2021-06-05,2
2021-06-07,4
2021-06-14,1
2021-06-17,1
2021-06-18,2
2021-06-20,1
2021-06-28,1
2021-07-11,1
2021-07-13,2
2021-07-15,1
2021-07-18,1
2021-07-20,2
2021-07-22,1
2021-07-23,3
2021-07-24,1
2021-08-01,1
2021-08-05,1
2021-08-18,1
2021-08-19,2
2021-08-21,1
2021-08-28,1
2021-08-29,3
2021-08-30,4
2021-09-03,1
2021-09-06,2
2021-09-07,1
2021-09-09,1
2021-09-11,2
2021-09-13,2
2021-09-15,1
2021-09-16,7
2021-09-17,3
2021-09-20,2
2021-09-23,2
2021-09-25,4
2021-09-27,1
2021-09-29,4
2021-09-30,3
2021-10-02,2
2021-10-03,1
2021-10-04,1
2021-10-06,1
2021-10-07,2
2021-10-11,1
2021-10-13,1
2021-10-14,2
2021-10-15,3
2021-10-17,1
2021-10-18,2
2021-10-19,1
2021-10-23,3
2021-10-24,4
2021-10-25,3
2021-10-27,3
2021-10-31,5
2021-11-01,5
2021-11-05,2
2021-11-07,1
2021-11-09,1
2021-11-10,1
2021-11-16,1
2021-11-18,1
2021-12-23,3
2021-12-24,4
2021-12-25,2
2021-12-29,1
2021-12-30,1
2022-01-02,1
2022-01-09,2
2022-01-10,1
2022-01-21,1
2022-01-22,1
2022-01-26,1
2022-01-27,1
2022-01-28,1
2022-01-30,1
2022-02-05,1
2022-02-06,1
2022-02-09,1
2022-02-10,1
2022-02-11,1
2022-02-12,1
2022-02-20,1
2022-03-12,2
2022-03-16,1
2022-03-20,1
2022-03-31,1
2022-04-06,1
2022-04-15,1
2022-04-16,1
2022-04-17,1
2022-05-08,1
2022-05-17,3
2022-05-18,1
2022-05-19,1
2022-06-04,1
2022-06-05,1
2022-06-06,1
2022-06-11,1
2022-06-15,1
2022-06-16,1
2022-06-23,1
2022-06-24,1
2022-06-25,2
2022-06-26,1
2022-06-27,1
2022-06-28,2
2022-06-30,2
2022-07-07,2
2022-07-09,1
2022-07-16,1
2022-08-09,1
2022-10-09,1
2022-11-05,1
2022-11-14,1
2022-11-19,1
2022-12-19,1
2022-12-28,1
2023-01-07,1
2023-01-14,1
2023-01-26,1
2023-01-27,1
2023-01-29,1
2023-01-31,1
2023-02-25,1
2023-04-18,1
2023-04-27,1
2023-05-01,1
2023-05-06,1
2023-05-07,1
2023-05-08,2
2023-05-10,2
2023-05-11,1
2023-05-22,1
2023-05-26,1
2023-06-16,1
2023-06-18,1
2023-06-23,1
2023-06-24,3
2023-06-25,6
2023-06-28,1
2023-07-01,1
2023-07-02,2
2023-07-04,1
2023-07-20,1
2023-07-31,1
2023-08-01,1
2023-08-02,1
2023-08-28,1
2023-08-31,1
2023-09-06,1
