user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
emlowe,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17665,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17665,open,2024-03-06,2024-03-06,,2836fbc3465acec26623290f2b66e6dfc656e05f
emlowe,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17664,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17664,open,2024-03-06,2024-03-06,,b7216f024b55b339f2f1990b2854d3883928ea43
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17663,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17663,closed,2024-03-06,2024-03-06,2024-03-06,f81e867ca62a57d0a6c5559d9b976895c5ffb3b3
cmmarslender,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17662,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17662,open,2024-03-06,2024-03-06,,f6c93ab12cf7482ec2a353ec585cc4e38109bcc4
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17660,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17660,closed,2024-03-06,2024-03-06,2024-03-06,fdaf156e526f2d16f3f5f875f50c307875bb9600
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17658,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17658,closed,2024-03-05,2024-03-05,2024-03-05,70b3f9e9c5cfb3408a5d8cf056d65a7f9541cd55
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17657,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17657,open,2024-03-05,2024-03-06,,fdf66a20d09948c99238c9bd4a92dc8b2555c842
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17656,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17656,open,2024-03-05,2024-03-06,,55f9897c48e9ebb7c0fe8c908d8a4a70131de4da
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17655,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17655,open,2024-03-05,2024-03-06,,84da3dbdafa9d12adcc9ccf087682faaa75f72a3
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17654,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17654,open,2024-03-05,2024-03-06,,202f5c3e32c2ae755cbcbbe48851e3f87fed1540
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17653,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17653,closed,2024-03-05,2024-03-05,2024-03-05,4e009d19505413cdac8e39a20c7d974bd63defa5
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17652,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17652,closed,2024-03-05,2024-03-05,2024-03-05,1155ffb22131d4b3d764047fda1ae545dbcec8f0
Quexington,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17651,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17651,closed,2024-03-05,2024-03-06,2024-03-06,cbcc80a4860870aae1a99c65fd8efe12d6c479e7
Quexington,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17650,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17650,closed,2024-03-05,2024-03-05,2024-03-05,536a96241d14a4bcd0f9ffa8850344e9814b97fc
Quexington,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17649,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17649,closed,2024-03-05,2024-03-05,2024-03-05,b9e827dd8bfce3038eaa203e6a40daaa13df7c16
arvidn,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17648,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17648,closed,2024-03-05,2024-03-05,2024-03-05,23edee9a62c0329273088c3ae53dd2896e7e5ba7
altendky,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17646,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17646,open,2024-03-04,2024-03-06,,7a91494fd29ecc0854035c18cb25b5884112b882
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17645,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17645,open,2024-03-04,2024-03-04,,d58b6b32b0a8a24d808078ccfff0debf28aba7c5
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17644,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17644,open,2024-03-04,2024-03-04,,d5368b04f8fcea34f05baa0d156b6a62a2370f0d
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17643,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17643,open,2024-03-04,2024-03-04,,ab440e72e06337f13af537e1c54d1d914579f4f2
emlowe,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17642,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17642,closed,2024-03-04,2024-03-05,2024-03-05,b98219687331fc6c8121d0c0243a49d2427ccd60
altendky,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17641,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17641,closed,2024-03-04,2024-03-04,,a470e77332a63a29b6048a7c7dbd24bff7e93200
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17639,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17639,closed,2024-03-04,2024-03-05,2024-03-05,1164d5f16a20db2bbb60a15a1b55cdc085ca3dfe
emlowe,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17638,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17638,closed,2024-03-04,2024-03-05,,f5569e90203c990bdc154b20a0a48c570509d942
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17637,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17637,closed,2024-03-04,2024-03-04,2024-03-04,26deea9becec4666545a716d62dbf13a4b557411
hackerontwohouse,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17635,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17635,closed,2024-03-02,2024-03-05,,32fca77d095150c1ddb1667cbc5edf32dcfbc9e6
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17631,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17631,closed,2024-03-01,2024-03-02,2024-03-02,ae88b7977ac029d98272a9bd07685fd299860781
Quexington,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17630,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17630,closed,2024-03-01,2024-03-05,2024-03-05,18f4e74cb203137371005361a36b7b24341484f4
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17629,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17629,closed,2024-03-01,2024-03-01,2024-03-01,edbdc035d1bb6068b7fbcb021d6f1dab5137ee3e
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17628,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17628,closed,2024-03-01,2024-03-01,2024-03-01,55e273c5d60018938c693bf90e52a0e1313b75b0
roybotbot,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17625,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17625,closed,2024-02-29,2024-03-01,2024-03-01,98cf7b472c87586f9c29c6f452f4459dd947b060
arvidn,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17624,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17624,closed,2024-02-29,2024-02-29,,10241c551a6e45c352c21a08f34b9e722d46de5c
Quexington,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17623,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17623,closed,2024-02-29,2024-02-29,2024-02-29,7b07b10c69873994a8b9f9cf2fe36679f800fbc4
arvidn,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17622,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17622,closed,2024-02-29,2024-03-04,2024-03-04,8118629e2adb78cce6e00da6194f50ee847d3270
altendky,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17621,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17621,closed,2024-02-29,2024-03-04,,807746e6524bef639aa027b6b8c6b6c94d9d548a
ChiaAutomation,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17618,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17618,closed,2024-02-29,2024-02-29,2024-02-29,e1c78026528ad12dff020eef9287cc9b7fff5dba
emlowe,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17617,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17617,closed,2024-02-28,2024-02-29,2024-02-29,b5ab1dd243812dd5296235f2683ed82ce69fdd52
AmineKhaldi,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17615,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17615,closed,2024-02-28,2024-02-29,2024-02-29,f40a8aa9a2eab197e216095e064a578bb2ed6415
BrandtH22,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17614,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17614,closed,2024-02-28,2024-03-05,2024-03-05,f22b7ad85f650e62fe32ca2116718cdefe160d86
ChiaAutomation,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17613,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17613,closed,2024-02-28,2024-02-28,2024-02-28,c8045d1d15fe5ac7fa01d8e6bc5840d5194b136c
emlowe,https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17611,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17611,closed,2024-02-27,2024-02-28,2024-02-28,1baff679fe8eaaf88a72716fbce149bd0921f617
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17610,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17610,closed,2024-02-27,2024-02-27,2024-02-27,eb0f63cf66c0a4ecb64bdad65e23f3314ca1e994
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17609,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17609,closed,2024-02-27,2024-02-27,2024-02-27,2be1764bb8e9dd9b7e127a6519eccd1aef78eb95
dependabot[bot],https://api.github.com/repos/Chia-Network/chia-blockchain/pulls/17608,https://api.github.com/repos/Chia-Network/chia-blockchain/issues/17608,closed,2024-02-27,2024-02-27,2024-02-27,a7844b0dc1f1ceefb7b98bd9280d0c416814fe48
