user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jan-kelemen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21532,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21532,open,2024-03-05,2024-03-06,,086b2ddadb44ea6516e566199ef112e82d628b57
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21531,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21531,closed,2024-03-05,2024-03-05,2024-03-05,86c28693ba8784c5ba02f5d5a72c099dc160a8c0
xrgtmx,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21529,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21529,open,2024-03-05,2024-03-05,,942dae5f2288fc695b3f2490809fdf43688c0622
Gymnasiast,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21527,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21527,open,2024-03-04,2024-03-04,,05ab8149d8e8938bd15220bcc5617e61eb78ce43
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21526,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21526,open,2024-03-04,2024-03-05,,6b7e163b5f7b38a3fd67643fc8b3ccacc6373226
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21521,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21521,open,2024-03-03,2024-03-05,,907067284d81fdc76e1edcbba37e8e7ef02b03c3
jan-kelemen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21518,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21518,open,2024-03-03,2024-03-03,,8dea968939f5befd8caca45574e619684315720b
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21517,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21517,closed,2024-03-03,2024-03-04,2024-03-04,97480388156f7616c1949e4cbfdfa1eeb8772951
mrmbernardi,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21516,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21516,closed,2024-03-03,2024-03-03,2024-03-03,4ccecd6e680727b46dc8001c778707a49960b831
ZehMatt,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21514,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21514,open,2024-03-03,2024-03-03,,0eb7913077001a84a4b5bcc312f9d5050ebd6560
jan-kelemen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21513,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21513,closed,2024-03-03,2024-03-03,2024-03-03,bc149ca95cf576b09c20f3f205f36540e7c89913
jan-kelemen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21510,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21510,closed,2024-03-02,2024-03-03,2024-03-03,85f09194838240d070d83fba5a23820edf3c84b3
john-h-kastner,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21509,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21509,closed,2024-03-02,2024-03-03,2024-03-02,05c0542d1fa691698e811fc200e802156e70d5b2
john-h-kastner,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21508,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21508,open,2024-03-02,2024-03-02,,f30abcf3c0f53fbdc75ba0a982ce07078408f34e
duncanspumpkin,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21504,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21504,open,2024-03-02,2024-03-04,,c0439552c4b24c0230d2e4449ed24433d0ab8b2b
Gymnasiast,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21503,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21503,closed,2024-03-02,2024-03-02,2024-03-02,9d77219b5d9cd3b5e2854e097f3e37ca782f3723
ZehMatt,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21500,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21500,closed,2024-03-02,2024-03-02,2024-03-02,9a100b82b47b2b40ccf311a90cf2f0f562d30053
ZehMatt,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21497,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21497,closed,2024-03-02,2024-03-02,2024-03-02,2053b17dea64b6a7411bc205694536a9fe4d4a6c
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21492,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21492,closed,2024-03-01,2024-03-01,2024-03-01,701bbda1645b97c12885816c3e1f08b7acf74146
ZehMatt,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21491,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21491,closed,2024-03-01,2024-03-03,2024-03-02,132d45c9e29c45ce679baedf2f491547c569bf66
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21485,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21485,closed,2024-02-29,2024-03-01,2024-03-01,42844d1667bbbdc31825c27e68a9c6e8a8d6ce28
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21483,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21483,closed,2024-02-29,2024-03-01,2024-03-01,14f0479c94f67cc6416a18b39468abc4765c20c6
Gymnasiast,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21480,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21480,closed,2024-02-28,2024-02-29,2024-02-28,aa804a19ff8f7c8b764517a86b39de5b879105a7
AaronVanGeffen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21479,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21479,closed,2024-02-28,2024-02-29,2024-02-29,4976d65fc354b8a299a8fe2757f2d26fc2b3348f
AaronVanGeffen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21474,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21474,closed,2024-02-27,2024-03-01,2024-03-01,a79b062136495d82a3f84ac5726a102835968316
Harry-Hopkinson,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21473,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21473,closed,2024-02-27,2024-02-27,2024-02-27,063c4f7bcefc07df0946c83cf47fb182be2c67e7
janisozaur,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21472,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21472,closed,2024-02-27,2024-02-27,2024-02-27,626e922591244b67a3031a816d71a3e3e53b69e8
ZehMatt,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21471,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21471,closed,2024-02-27,2024-02-27,2024-02-27,418785104d45e46b53ea84bb1c1583c9d8a588ea
janisozaur,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21470,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21470,closed,2024-02-27,2024-02-27,2024-02-27,b2639add4cc600ffa31a30128df46cfea48b2375
AaronVanGeffen,https://api.github.com/repos/OpenRCT2/OpenRCT2/pulls/21468,https://api.github.com/repos/OpenRCT2/OpenRCT2/issues/21468,closed,2024-02-27,2024-02-28,2024-02-28,01bc8cdb5ee703e06323220cfae48c780e430fba
