user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
MartonioJunior,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1170,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1170,open,2024-01-30,2024-02-10,,94d807dccbcef2cdc8068b2ec11efb4a5444f07c
MartonioJunior,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1169,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1169,open,2024-01-29,2024-01-30,,163db2b0a55ac0004a7e07cee0817d74c7efd9be
MartonioJunior,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1168,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1168,closed,2024-01-29,2024-02-10,2024-01-30,cf79269a5ed62fbf0315afe7c205be86d516323a
MartonioJunior,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1167,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1167,closed,2024-01-25,2024-01-30,,e883227c7e5b49fc5510b6ae14c1a3236f5191c8
happyduck-git,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1165,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1165,closed,2024-01-14,2024-01-23,2024-01-23,a8aee67bc43d5a5a084efa0ea2075450c62fa836
csworm-rudraksha,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1164,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1164,closed,2024-01-04,2024-01-06,,932007cd980ca9ab85278b48c6666b26198f38f4
masadchattha,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1163,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1163,closed,2024-01-03,2024-01-06,,06326eecde0b50e90d8164c07cfb2c84f21ebc54
RomanPodymov,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1162,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1162,closed,2023-12-26,2024-01-01,2023-12-31,cb12779ee3d59ee6f956148978c1e5899b506e7a
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1161,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1161,closed,2023-12-26,2024-01-09,2024-01-09,b721c4bc27029b58b6b93a5376f7800930eac729
regi93,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1159,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1159,closed,2023-12-22,2024-01-09,2024-01-09,879550d3f3fde3df077f223adf51df5a26dc548c
RomanPodymov,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1157,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1157,closed,2023-12-19,2023-12-31,,2ea20b2f2add83289667dc1f217fab82c458aee1
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1152,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1152,closed,2023-10-23,2023-10-24,2023-10-24,669d03d62566c5010b2edec91616ed7920807981
ShivaHuang,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1148,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1148,closed,2023-10-16,2023-10-17,2023-10-17,7343071edb19a3074232a2c143040c20c6a3cdef
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1146,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1146,closed,2023-10-13,2023-10-14,2023-10-14,1d82f5a822498c8f4c9c3b89f1230778503b10e6
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1145,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1145,closed,2023-10-12,2023-12-07,2023-10-13,1eab3444fa06a344a35e79540719df956ab4d4ad
wiencheck,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1143,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1143,closed,2023-10-09,2024-01-09,,1b1336e638483d73ac91342aeaebf42509e2d1bd
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1142,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1142,closed,2023-10-07,2023-10-09,2023-10-09,cdfcd7a86bb21d139422c29191de3f2111f822e8
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1141,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1141,closed,2023-10-06,2023-10-06,2023-10-06,f85c23b510674b2e907ec23db60acc8cd08c87b0
RomanPodymov,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1139,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1139,closed,2023-09-23,2023-10-07,2023-10-07,fbad311cfc5663b046230734286da571e39da30d
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1137,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1137,closed,2023-09-17,2023-09-18,2023-09-18,2fbb9dc7255cfabe1e3b90283502f5420019110b
guykogus,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1136,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1136,closed,2023-09-17,2023-10-06,2023-10-06,f38e80533ebacf4ffdf7720c8d71af4d9efa53df
ricardorauber,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1135,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1135,closed,2023-09-07,2024-01-09,,089ba734d590671a65465810ec014e26bb1e5b74
ricardorauber,https://api.github.com/repos/SwifterSwift/SwifterSwift/pulls/1134,https://api.github.com/repos/SwifterSwift/SwifterSwift/issues/1134,closed,2023-09-06,2023-09-07,2023-09-07,e16adf693943caf133e28b69d7d5f312e6cd98b9
