user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
kartik99Lm10,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1639,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1639,open,2024-03-06,2024-03-06,,3dc4822c5ddd8a1f4e519f645a7eb68c78a0eb67
vil02,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1638,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1638,open,2024-03-05,2024-03-05,,c3b8e00543e27e37472dbca035d4b88981930f93
Neha611,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1637,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1637,open,2024-03-05,2024-03-05,,3df815ed48777856cbff2a9b9e2e11414e97d539
Neha611,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1636,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1636,open,2024-03-05,2024-03-05,,bf90c1cf7e3d39a7e7bf202cc5a73f5b2649934d
divyam189,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1635,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1635,closed,2024-03-05,2024-03-05,,801bba341e1caafc2ddc5abc7498d9ecede6b5ae
divyam189,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1634,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1634,closed,2024-03-05,2024-03-05,,4a298bc7e55ad0c117d8ad0d7aa5617dd07d5904
divyam189,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1633,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1633,closed,2024-03-05,2024-03-05,,5c669705dc45d352a80252d8ea98ce74b93d7059
anshkohli12,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1632,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1632,closed,2024-03-05,2024-03-05,,087a038efbb4bdd853600123cee91b10a3d4bfcf
DhruvKumar2005,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1631,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1631,closed,2024-03-05,2024-03-05,,b7024bbc59dfd7c0f373e762b0e3db3b42a388df
vil02,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1630,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1630,closed,2024-03-04,2024-03-05,2024-03-04,d8cfdcd8002a58d9ec2d1c2880cbe20d5478104d
vil02,https://api.github.com/repos/TheAlgorithms/JavaScript/pulls/1629,https://api.github.com/repos/TheAlgorithms/JavaScript/issues/1629,closed,2024-03-04,2024-03-05,2024-03-04,f13eec1bbb94484912d10a4e5376aacf533b3de6
