user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
tkgkn,https://api.github.com/repos/alibaba/formily/pulls/4096,https://api.github.com/repos/alibaba/formily/issues/4096,open,2024-02-26,2024-02-26,,b89a1e33dcce4489b04251ab32956dd456b59ff7
tkgkn,https://api.github.com/repos/alibaba/formily/pulls/4095,https://api.github.com/repos/alibaba/formily/issues/4095,closed,2024-02-26,2024-02-26,,84daee30f3c257da85c8a4b72f18bb8911235669
dependabot[bot],https://api.github.com/repos/alibaba/formily/pulls/4093,https://api.github.com/repos/alibaba/formily/issues/4093,closed,2024-02-21,2024-02-23,2024-02-23,5f9411f415d1e50b0e2cc180fad4e9040d81cab0
yanhao98,https://api.github.com/repos/alibaba/formily/pulls/4085,https://api.github.com/repos/alibaba/formily/issues/4085,closed,2024-02-02,2024-02-22,2024-02-22,cecf56d063576a5a7c8aa06d2b37014c427f5cd2
imshenshen,https://api.github.com/repos/alibaba/formily/pulls/4083,https://api.github.com/repos/alibaba/formily/issues/4083,open,2024-02-01,2024-02-23,,4f4e00cb5d9ee26d7e2564d8f5ffba1595d6b7e3
unclechong,https://api.github.com/repos/alibaba/formily/pulls/4080,https://api.github.com/repos/alibaba/formily/issues/4080,open,2024-01-24,2024-01-29,,20eca6f31688f1a05e0417461df93d4a217e1b04
unclechong,https://api.github.com/repos/alibaba/formily/pulls/4079,https://api.github.com/repos/alibaba/formily/issues/4079,closed,2024-01-24,2024-01-24,,bfdbf8ecc65ed387c3c9827ed735b8225fef1f7e
superfreeeee,https://api.github.com/repos/alibaba/formily/pulls/4075,https://api.github.com/repos/alibaba/formily/issues/4075,closed,2024-01-21,2024-01-29,2024-01-29,d11080a47ea345fdd989150cbed7a997d7e03da7
zynyy,https://api.github.com/repos/alibaba/formily/pulls/4072,https://api.github.com/repos/alibaba/formily/issues/4072,closed,2024-01-12,2024-01-29,2024-01-29,4dc50bce7a0923dab1a02e1d6036ee9fa6e215b2
zynyy,https://api.github.com/repos/alibaba/formily/pulls/4071,https://api.github.com/repos/alibaba/formily/issues/4071,closed,2024-01-12,2024-01-12,,c2220c21ea43803019dd973b74f357d91b364b24
zynyy,https://api.github.com/repos/alibaba/formily/pulls/4068,https://api.github.com/repos/alibaba/formily/issues/4068,closed,2024-01-12,2024-01-12,,2e50f1836ab705e5e7471632cce929648c270236
stefango,https://api.github.com/repos/alibaba/formily/pulls/4065,https://api.github.com/repos/alibaba/formily/issues/4065,closed,2024-01-10,2024-01-11,2024-01-11,3fa68e69f5405247197317303494d014a7ebe3de
stefango,https://api.github.com/repos/alibaba/formily/pulls/4064,https://api.github.com/repos/alibaba/formily/issues/4064,closed,2024-01-10,2024-01-10,,d26940416b5cebb012d6bfd42022a03759373fa9
woshizja,https://api.github.com/repos/alibaba/formily/pulls/4054,https://api.github.com/repos/alibaba/formily/issues/4054,closed,2024-01-03,2024-01-11,,41f2edd57a0170cf7847846569e15ab679f94243
charlzyx,https://api.github.com/repos/alibaba/formily/pulls/4053,https://api.github.com/repos/alibaba/formily/issues/4053,open,2023-12-29,2023-12-29,,7031203e6223c9f593ec0f83ca26ddb5e2f28e9e
charlzyx,https://api.github.com/repos/alibaba/formily/pulls/4052,https://api.github.com/repos/alibaba/formily/issues/4052,closed,2023-12-28,2023-12-29,,935a8b3500198519f0005f5d10e4bac3da221666
yiyunwan,https://api.github.com/repos/alibaba/formily/pulls/4042,https://api.github.com/repos/alibaba/formily/issues/4042,closed,2023-12-06,2023-12-07,2023-12-07,c94da3fee98833b42d8e78cc1a8c364fead1b40a
dependabot[bot],https://api.github.com/repos/alibaba/formily/pulls/4023,https://api.github.com/repos/alibaba/formily/issues/4023,closed,2023-11-10,2023-11-14,2023-11-14,d6f827c1b4abcc33550388e465c95faa83ead613
faner11,https://api.github.com/repos/alibaba/formily/pulls/4018,https://api.github.com/repos/alibaba/formily/issues/4018,closed,2023-11-03,2023-11-06,2023-11-06,48c9968b42f6f82c065da897ee91fa118ccf0f5d
dependabot[bot],https://api.github.com/repos/alibaba/formily/pulls/4010,https://api.github.com/repos/alibaba/formily/issues/4010,closed,2023-10-27,2023-10-28,2023-10-28,e38de2a3fdd8a6ef9555fc6e66ea37f991d46d1e
uxuip,https://api.github.com/repos/alibaba/formily/pulls/4006,https://api.github.com/repos/alibaba/formily/issues/4006,closed,2023-10-23,2023-10-24,2023-10-24,15d51bc96f8618504f529060f4a4fe47a231ba03
lumdzeehol,https://api.github.com/repos/alibaba/formily/pulls/4003,https://api.github.com/repos/alibaba/formily/issues/4003,closed,2023-10-23,2023-10-24,2023-10-23,39d6431874d5da2501a6a3aaf3e7e442fbea8d8e
nicetooo,https://api.github.com/repos/alibaba/formily/pulls/4001,https://api.github.com/repos/alibaba/formily/issues/4001,closed,2023-10-23,2023-10-23,2023-10-23,d8716ea9ed13a381cbfd9894001b5081e52010bf
