user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
Ga-hou,https://api.github.com/repos/avwo/whistle/pulls/1029,https://api.github.com/repos/avwo/whistle/issues/1029,closed,2024-01-08,2024-01-08,2024-01-08,f360fa807b20a1343015eb14fe53bca6a4b26932
Nokic233,https://api.github.com/repos/avwo/whistle/pulls/1006,https://api.github.com/repos/avwo/whistle/issues/1006,closed,2023-11-09,2023-11-09,2023-11-09,1d273d811a9108d2428ab200c2cdd8650ec8f7a0
ZSI2017,https://api.github.com/repos/avwo/whistle/pulls/975,https://api.github.com/repos/avwo/whistle/issues/975,closed,2023-09-12,2023-09-13,2023-09-13,8f470eba4ca3be456e773c3d559a37d148181c32
KrabsWong,https://api.github.com/repos/avwo/whistle/pulls/937,https://api.github.com/repos/avwo/whistle/issues/937,closed,2023-07-11,2023-07-11,2023-07-11,32ce2934edd75e32f14009addcf3e3a1bd0115fe
JinjieZhao,https://api.github.com/repos/avwo/whistle/pulls/920,https://api.github.com/repos/avwo/whistle/issues/920,closed,2023-06-14,2023-06-15,2023-06-15,aeabb078103e534596666f5287e4196cc4b9da15
kkeybbs,https://api.github.com/repos/avwo/whistle/pulls/903,https://api.github.com/repos/avwo/whistle/issues/903,closed,2023-05-12,2023-05-12,2023-05-12,9ac793ac4fb27c4acb2ce7ffd43c8c4b50e83b98
HannibalKcc,https://api.github.com/repos/avwo/whistle/pulls/898,https://api.github.com/repos/avwo/whistle/issues/898,closed,2023-05-03,2023-05-08,2023-05-08,edcc53df5375da20ab18bc895a2ff46d2a1f6ab1
CryUshio,https://api.github.com/repos/avwo/whistle/pulls/889,https://api.github.com/repos/avwo/whistle/issues/889,closed,2023-04-11,2023-04-11,2023-04-11,9bba4a8e7c2eb81f5ca1bed954220264e14bbcff
EpLiar,https://api.github.com/repos/avwo/whistle/pulls/886,https://api.github.com/repos/avwo/whistle/issues/886,closed,2023-04-07,2023-04-07,2023-04-07,57d6e258f06d836e5de513d5997b888c7e666c0d
linyongkangm,https://api.github.com/repos/avwo/whistle/pulls/872,https://api.github.com/repos/avwo/whistle/issues/872,closed,2023-03-26,2023-03-26,,208d69ff76a542c0a6620e777fcbc1d21863e70c
Jayin,https://api.github.com/repos/avwo/whistle/pulls/862,https://api.github.com/repos/avwo/whistle/issues/862,closed,2023-03-11,2023-03-12,2023-03-12,e3cad6af92d0f5e41ed7f5b707641584aa407e10
dependabot[bot],https://api.github.com/repos/avwo/whistle/pulls/854,https://api.github.com/repos/avwo/whistle/issues/854,open,2023-03-01,2023-03-26,,12a5650909ac999cfa216c2303eebcb0c50c08b9
dependabot[bot],https://api.github.com/repos/avwo/whistle/pulls/842,https://api.github.com/repos/avwo/whistle/issues/842,open,2023-01-27,2023-03-26,,4287a14a532a1b8391daa1489b0c67012be8179e
dependabot[bot],https://api.github.com/repos/avwo/whistle/pulls/835,https://api.github.com/repos/avwo/whistle/issues/835,closed,2022-12-31,2023-01-06,,d988139e78be3c19d4ac16900ea024ff53d4c3e3
