user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
hip3r,https://api.github.com/repos/decaporg/decap-cms/pulls/7131,https://api.github.com/repos/decaporg/decap-cms/issues/7131,open,2024-03-01,2024-03-05,,6050a8382b11927bd3d8ece73a34349ec9bc46fa
hip3r,https://api.github.com/repos/decaporg/decap-cms/pulls/7126,https://api.github.com/repos/decaporg/decap-cms/issues/7126,closed,2024-02-29,2024-03-01,2024-03-01,966f4d05e9aa53bf1ae3ea200ad9c8b201071627
hip3r,https://api.github.com/repos/decaporg/decap-cms/pulls/7116,https://api.github.com/repos/decaporg/decap-cms/issues/7116,closed,2024-02-22,2024-02-27,2024-02-27,2985ed68fb3eb965a7e4bc2afdac1261fcc693a8
dependabot[bot],https://api.github.com/repos/decaporg/decap-cms/pulls/7114,https://api.github.com/repos/decaporg/decap-cms/issues/7114,closed,2024-02-21,2024-03-05,2024-03-05,8c34fd0c17c84dd1b513a9bd350b418796dbbc28
oliverpool,https://api.github.com/repos/decaporg/decap-cms/pulls/7112,https://api.github.com/repos/decaporg/decap-cms/issues/7112,open,2024-02-20,2024-03-06,,bf64765dab73b344b90a7376a51aaf552b502e74
sproott,https://api.github.com/repos/decaporg/decap-cms/pulls/7111,https://api.github.com/repos/decaporg/decap-cms/issues/7111,closed,2024-02-20,2024-03-06,2024-03-06,0c68d20005fd1c8d340eebb8e06d67daed6ee18e
blackb1rd,https://api.github.com/repos/decaporg/decap-cms/pulls/7110,https://api.github.com/repos/decaporg/decap-cms/issues/7110,closed,2024-02-19,2024-02-21,2024-02-21,bcd58d6e117b4654b3e0dca173f7f8aaca8dabdf
leomp12,https://api.github.com/repos/decaporg/decap-cms/pulls/7103,https://api.github.com/repos/decaporg/decap-cms/issues/7103,open,2024-02-14,2024-03-05,,b6156152db65d80bb560f302911266754e12142b
Daniel-Mendes,https://api.github.com/repos/decaporg/decap-cms/pulls/7101,https://api.github.com/repos/decaporg/decap-cms/issues/7101,open,2024-02-14,2024-03-06,,8112c26c6175a858d1611426dcb521741c28720c
sscaff1,https://api.github.com/repos/decaporg/decap-cms/pulls/7097,https://api.github.com/repos/decaporg/decap-cms/issues/7097,open,2024-02-12,2024-03-05,,7b90364ed538e85b5b19d41c2807d7499a3996a7
martinjagodic,https://api.github.com/repos/decaporg/decap-cms/pulls/7091,https://api.github.com/repos/decaporg/decap-cms/issues/7091,open,2024-02-06,2024-02-19,,7a75011f94fc5f7a68d4062945d08999403cf1b1
Daniel-Mendes,https://api.github.com/repos/decaporg/decap-cms/pulls/7088,https://api.github.com/repos/decaporg/decap-cms/issues/7088,closed,2024-02-05,2024-02-05,,cae40105e43196fcfa6e745d5ea3126ebd122d70
martinjagodic,https://api.github.com/repos/decaporg/decap-cms/pulls/7087,https://api.github.com/repos/decaporg/decap-cms/issues/7087,closed,2024-02-05,2024-02-06,2024-02-06,e93c94f1ce707719dfb7750af82b17c38b461831
olegfedak,https://api.github.com/repos/decaporg/decap-cms/pulls/7081,https://api.github.com/repos/decaporg/decap-cms/issues/7081,closed,2024-02-02,2024-02-07,2024-02-07,352eb6d368aee3928143fc40545fd4b0573a2454
martinjagodic,https://api.github.com/repos/decaporg/decap-cms/pulls/7078,https://api.github.com/repos/decaporg/decap-cms/issues/7078,closed,2024-02-01,2024-02-01,2024-02-01,94563d0df67db1e057eb995f6440583d946a2b4b
dependabot[bot],https://api.github.com/repos/decaporg/decap-cms/pulls/7076,https://api.github.com/repos/decaporg/decap-cms/issues/7076,closed,2024-01-31,2024-02-01,,bb9a3a796a4d3b8dce4af12b48ce7bec2f240f5b
dependabot[bot],https://api.github.com/repos/decaporg/decap-cms/pulls/7075,https://api.github.com/repos/decaporg/decap-cms/issues/7075,closed,2024-01-31,2024-01-31,,3d740b7b4cf6361c5657ca6cb76a544ce987b59c
dependabot[bot],https://api.github.com/repos/decaporg/decap-cms/pulls/7074,https://api.github.com/repos/decaporg/decap-cms/issues/7074,closed,2024-01-31,2024-02-12,2024-02-12,016aca1a5f3dafbcf6988aa92da62b67255df910
dependabot[bot],https://api.github.com/repos/decaporg/decap-cms/pulls/7073,https://api.github.com/repos/decaporg/decap-cms/issues/7073,closed,2024-01-31,2024-02-07,2024-02-07,01aa37688b018270106bfda30015c1ad5c5d2977
martinjagodic,https://api.github.com/repos/decaporg/decap-cms/pulls/7072,https://api.github.com/repos/decaporg/decap-cms/issues/7072,closed,2024-01-30,2024-01-30,2024-01-30,445a48c54ad87184425c5f460de262b31c1f0cae
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7070,https://api.github.com/repos/decaporg/decap-cms/issues/7070,closed,2024-01-29,2024-02-02,2024-01-30,debab3965715471e2085dee1d488678a9809acce
razonyang,https://api.github.com/repos/decaporg/decap-cms/pulls/7065,https://api.github.com/repos/decaporg/decap-cms/issues/7065,closed,2024-01-25,2024-01-25,2024-01-25,dffeaea66e9bf691f966566b2c9a493e2d3bc001
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7064,https://api.github.com/repos/decaporg/decap-cms/issues/7064,closed,2024-01-23,2024-02-03,2024-02-02,a5f4d9ea08e71df9ab7c4c16ef0503de1d1bb6ee
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7063,https://api.github.com/repos/decaporg/decap-cms/issues/7063,closed,2024-01-23,2024-02-02,2024-01-29,8d55122933da14e3fb6eff116b722fbef230e040
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7062,https://api.github.com/repos/decaporg/decap-cms/issues/7062,closed,2024-01-23,2024-02-02,2024-01-23,c21b30db4fef06f3ac0daec23b583d896cffe5ab
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7061,https://api.github.com/repos/decaporg/decap-cms/issues/7061,closed,2024-01-23,2024-02-02,2024-01-29,2f642ca22616222355a06a1a5bc70d6a8cd16044
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7060,https://api.github.com/repos/decaporg/decap-cms/issues/7060,closed,2024-01-23,2024-02-02,2024-01-23,a3939e0c20850aadc71e376e4578fd1f996a5fdb
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7059,https://api.github.com/repos/decaporg/decap-cms/issues/7059,closed,2024-01-23,2024-02-02,2024-01-23,4411cc0b12a4e3815df5eca767e0ac5b07611ed0
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7058,https://api.github.com/repos/decaporg/decap-cms/issues/7058,closed,2024-01-23,2024-02-02,2024-01-23,10a7358806fa7e73f6e18c89101e92b2ba6f2dd5
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7057,https://api.github.com/repos/decaporg/decap-cms/issues/7057,closed,2024-01-23,2024-01-23,2024-01-23,b4026544279b2c9964068222dba89f5565359dc2
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7056,https://api.github.com/repos/decaporg/decap-cms/issues/7056,closed,2024-01-23,2024-01-23,2024-01-23,29ccb135f715c4ebcbd395338545921d00b03402
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7055,https://api.github.com/repos/decaporg/decap-cms/issues/7055,closed,2024-01-23,2024-01-23,2024-01-23,5623d812b5f8af355d6998c2074693c964eb945a
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7054,https://api.github.com/repos/decaporg/decap-cms/issues/7054,closed,2024-01-23,2024-01-23,2024-01-23,fed5dc892bf50451a3c6f9770eccea796af42d35
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7053,https://api.github.com/repos/decaporg/decap-cms/issues/7053,closed,2024-01-23,2024-02-02,2024-01-29,2f4540da4636203707b22b96ae23f1fe66ef4b4e
privatemaker,https://api.github.com/repos/decaporg/decap-cms/pulls/7049,https://api.github.com/repos/decaporg/decap-cms/issues/7049,closed,2024-01-19,2024-01-22,2024-01-22,cfc5fe045c2786db79feefbfd16fef059b5e9d49
