user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
holiman,https://api.github.com/repos/ethereum/go-ethereum/pulls/29175,https://api.github.com/repos/ethereum/go-ethereum/issues/29175,open,2024-03-06,2024-03-06,,b44655b11deba92fbb68fb42d5a52678ae06581c
xiaoda2018,https://api.github.com/repos/ethereum/go-ethereum/pulls/29174,https://api.github.com/repos/ethereum/go-ethereum/issues/29174,closed,2024-03-06,2024-03-06,,9c18e8b70bfd8d0e42a9b08c8d49361abc5142fc
racerole,https://api.github.com/repos/ethereum/go-ethereum/pulls/29172,https://api.github.com/repos/ethereum/go-ethereum/issues/29172,closed,2024-03-06,2024-03-06,,1f52a902f20a4becd35bf86b560d9722c57b897a
undefinedor,https://api.github.com/repos/ethereum/go-ethereum/pulls/29171,https://api.github.com/repos/ethereum/go-ethereum/issues/29171,open,2024-03-05,2024-03-06,,98b915aeaed450d71815c02b5ded635b5d0180f3
karalabe,https://api.github.com/repos/ethereum/go-ethereum/pulls/29169,https://api.github.com/repos/ethereum/go-ethereum/issues/29169,closed,2024-03-05,2024-03-05,2024-03-05,f4d53133f6e4b13f0dbcfef3bc45e9650d863b73
jsvisa,https://api.github.com/repos/ethereum/go-ethereum/pulls/29168,https://api.github.com/repos/ethereum/go-ethereum/issues/29168,open,2024-03-05,2024-03-06,,3bbbfd23332a9074414c9ae911d05cc5979ae4af
Hawthorne001,https://api.github.com/repos/ethereum/go-ethereum/pulls/29167,https://api.github.com/repos/ethereum/go-ethereum/issues/29167,closed,2024-03-05,2024-03-05,,f3280a46eb2009079984135c11ef4b667664274c
jsvisa,https://api.github.com/repos/ethereum/go-ethereum/pulls/29166,https://api.github.com/repos/ethereum/go-ethereum/issues/29166,closed,2024-03-05,2024-03-06,2024-03-05,dfa6c5e9c80e0965d0476909afc26e87aa199e6a
tomdever,https://api.github.com/repos/ethereum/go-ethereum/pulls/29165,https://api.github.com/repos/ethereum/go-ethereum/issues/29165,closed,2024-03-05,2024-03-05,,7597d7cac216957d7f6ebcb222e7ec1c94e7964f
reductionista,https://api.github.com/repos/ethereum/go-ethereum/pulls/29163,https://api.github.com/repos/ethereum/go-ethereum/issues/29163,closed,2024-03-04,2024-03-04,2024-03-04,5d5b384efd0acabe4d808c46fce9700114d2046f
undefinedor,https://api.github.com/repos/ethereum/go-ethereum/pulls/29162,https://api.github.com/repos/ethereum/go-ethereum/issues/29162,closed,2024-03-04,2024-03-05,2024-03-05,a6d6e8ac410170eb1085b9e7b0388b1c67f95548
19byte,https://api.github.com/repos/ethereum/go-ethereum/pulls/29160,https://api.github.com/repos/ethereum/go-ethereum/issues/29160,closed,2024-03-04,2024-03-04,,ada42b6f4e33ba55976e93aa93c16541d14400a5
MariusVanDerWijden,https://api.github.com/repos/ethereum/go-ethereum/pulls/29159,https://api.github.com/repos/ethereum/go-ethereum/issues/29159,closed,2024-03-04,2024-03-05,2024-03-05,9a0fa8093ca5f7b896c3f7e849f7ca532d24e2a6
MariusVanDerWijden,https://api.github.com/repos/ethereum/go-ethereum/pulls/29158,https://api.github.com/repos/ethereum/go-ethereum/issues/29158,open,2024-03-04,2024-03-05,,b0750a53cc3b76c6a042a1d5ab65a26d0be74acd
rjl493456442,https://api.github.com/repos/ethereum/go-ethereum/pulls/29157,https://api.github.com/repos/ethereum/go-ethereum/issues/29157,open,2024-03-04,2024-03-04,,108de49bb9d87b3a45f97bac249c508ca8474cb7
buddh0,https://api.github.com/repos/ethereum/go-ethereum/pulls/29155,https://api.github.com/repos/ethereum/go-ethereum/issues/29155,closed,2024-03-04,2024-03-04,,1dd9ab1aba5ab7c776d75a23b335ca985fa1bb91
buddh0,https://api.github.com/repos/ethereum/go-ethereum/pulls/29154,https://api.github.com/repos/ethereum/go-ethereum/issues/29154,closed,2024-03-04,2024-03-05,2024-03-05,e199319fd680aa4b135147f0480549a1c7d95350
buddh0,https://api.github.com/repos/ethereum/go-ethereum/pulls/29153,https://api.github.com/repos/ethereum/go-ethereum/issues/29153,closed,2024-03-04,2024-03-04,,f37234a2e3df07c522a010e895183e1ac12941ff
