user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
aashmanVerma,https://api.github.com/repos/excalidraw/excalidraw/pulls/7753,https://api.github.com/repos/excalidraw/excalidraw/issues/7753,open,2024-03-06,2024-03-06,,bfc1f7728cc645fbc61e77079a78411e4167cdac
dwelle,https://api.github.com/repos/excalidraw/excalidraw/pulls/7752,https://api.github.com/repos/excalidraw/excalidraw/issues/7752,closed,2024-03-06,2024-03-06,2024-03-06,68b1fdb20ebe09fdba8764fbd91b4b8e26d7d011
dwelle,https://api.github.com/repos/excalidraw/excalidraw/pulls/7750,https://api.github.com/repos/excalidraw/excalidraw/issues/7750,closed,2024-03-05,2024-03-05,2024-03-05,a38e82f99902131982eae15bcaa16e406d3cbafa
dwelle,https://api.github.com/repos/excalidraw/excalidraw/pulls/7749,https://api.github.com/repos/excalidraw/excalidraw/issues/7749,closed,2024-03-05,2024-03-05,2024-03-05,a07f6e9e3a6c4c38b7955825bef28d9f90580bf6
angelxescomx08,https://api.github.com/repos/excalidraw/excalidraw/pulls/7745,https://api.github.com/repos/excalidraw/excalidraw/issues/7745,open,2024-03-03,2024-03-03,,a90cf110ea955848d6ce87b0a9d1e1b05edf70e7
ryan-di,https://api.github.com/repos/excalidraw/excalidraw/pulls/7741,https://api.github.com/repos/excalidraw/excalidraw/issues/7741,closed,2024-03-01,2024-03-04,2024-03-04,160440b8607fd6c2502487814f3524716a1a5c52
ad1992,https://api.github.com/repos/excalidraw/excalidraw/pulls/7736,https://api.github.com/repos/excalidraw/excalidraw/issues/7736,closed,2024-02-29,2024-02-29,2024-02-29,f207bd0a1c99bfc746ec19f7a295162b35960636
ad1992,https://api.github.com/repos/excalidraw/excalidraw/pulls/7731,https://api.github.com/repos/excalidraw/excalidraw/issues/7731,closed,2024-02-27,2024-02-28,2024-02-28,af1a3d5b76b47af5d2ba8a6ea9684525576c2732
WabweniBrian,https://api.github.com/repos/excalidraw/excalidraw/pulls/7729,https://api.github.com/repos/excalidraw/excalidraw/issues/7729,closed,2024-02-27,2024-02-27,2024-02-27,36e56267c947319d8d69c17eeebc2f378c54f433
aashmanVerma,https://api.github.com/repos/excalidraw/excalidraw/pulls/7723,https://api.github.com/repos/excalidraw/excalidraw/issues/7723,closed,2024-02-25,2024-02-26,2024-02-26,dd8529743a0236fd1e7faf5f187ff29440270f56
