user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
anand1976,https://api.github.com/repos/facebook/rocksdb/pulls/12408,https://api.github.com/repos/facebook/rocksdb/issues/12408,open,2024-03-06,2024-03-06,,2e214697c92a916a8597a73059e767b4e51be3d6
ajkr,https://api.github.com/repos/facebook/rocksdb/pulls/12406,https://api.github.com/repos/facebook/rocksdb/issues/12406,open,2024-03-04,2024-03-05,,f6c5678769fc8a3c930613a8ea15de21e834e7ca
rhubner,https://api.github.com/repos/facebook/rocksdb/pulls/12404,https://api.github.com/repos/facebook/rocksdb/issues/12404,open,2024-03-03,2024-03-05,,997715c6a169af0d2e7dda9e720753083c069449
anand1976,https://api.github.com/repos/facebook/rocksdb/pulls/12403,https://api.github.com/repos/facebook/rocksdb/issues/12403,open,2024-03-02,2024-03-05,,a5ae22efc4f9224cb2cceb23a8812fcc16ffdbd6
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12402,https://api.github.com/repos/facebook/rocksdb/issues/12402,closed,2024-03-02,2024-03-06,,88ee2a9e28ba8b3115760a069339c2e11a11281d
jsteemann,https://api.github.com/repos/facebook/rocksdb/pulls/12400,https://api.github.com/repos/facebook/rocksdb/issues/12400,closed,2024-03-01,2024-03-05,,c67f19dc795e21e7cb3fcba88fd03d08bf5a0de7
jsteemann,https://api.github.com/repos/facebook/rocksdb/pulls/12399,https://api.github.com/repos/facebook/rocksdb/issues/12399,closed,2024-03-01,2024-03-01,,a66636ecca8524a3df62e202a4725cb6001fe799
jowlyzhang,https://api.github.com/repos/facebook/rocksdb/pulls/12398,https://api.github.com/repos/facebook/rocksdb/issues/12398,closed,2024-02-29,2024-03-04,,59a89515be63a6f3aee0df0b28e5e12cb53f017f
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12397,https://api.github.com/repos/facebook/rocksdb/issues/12397,open,2024-02-28,2024-02-28,,8a32266ae38271fa3a3171f8694811ea56189b5c
jaykorean,https://api.github.com/repos/facebook/rocksdb/pulls/12395,https://api.github.com/repos/facebook/rocksdb/issues/12395,closed,2024-02-28,2024-03-01,,13c38ef7c99dea776e85f627589802cf71a7a4fc
cbi42,https://api.github.com/repos/facebook/rocksdb/pulls/12394,https://api.github.com/repos/facebook/rocksdb/issues/12394,closed,2024-02-28,2024-02-29,,c2fdfd567880b0ced72ef05346d8cf8361826613
gregsadetsky,https://api.github.com/repos/facebook/rocksdb/pulls/12393,https://api.github.com/repos/facebook/rocksdb/issues/12393,closed,2024-02-28,2024-02-28,,42c7ecc718204b7d51ada94bee9b8bbef60bd656
adamretter,https://api.github.com/repos/facebook/rocksdb/pulls/12392,https://api.github.com/repos/facebook/rocksdb/issues/12392,closed,2024-02-28,2024-02-28,,21c389d5be9bc3c276ef15dd3c176023cdebe3ea
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12391,https://api.github.com/repos/facebook/rocksdb/issues/12391,closed,2024-02-28,2024-02-28,2024-02-28,c2467b141e840fdba5b3a1810763043e56449fb9
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12389,https://api.github.com/repos/facebook/rocksdb/issues/12389,closed,2024-02-27,2024-02-27,,44eab474559e274b083ed02107aa031f420961a4
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12388,https://api.github.com/repos/facebook/rocksdb/issues/12388,closed,2024-02-27,2024-02-28,,51290c2b0223b8944b85dd6fd49ef32a22bc2312
zaidoon1,https://api.github.com/repos/facebook/rocksdb/pulls/12386,https://api.github.com/repos/facebook/rocksdb/issues/12386,closed,2024-02-27,2024-02-27,,f454a9010c2cb1e24d758905df755a6b36b9e4a9
jowlyzhang,https://api.github.com/repos/facebook/rocksdb/pulls/12385,https://api.github.com/repos/facebook/rocksdb/issues/12385,open,2024-02-26,2024-02-28,,5d2aa504f6a4165d201c7d1a190bd1237fe8f3b5
jaykorean,https://api.github.com/repos/facebook/rocksdb/pulls/12384,https://api.github.com/repos/facebook/rocksdb/issues/12384,closed,2024-02-26,2024-03-01,,b8a4fb0daf59b73537bc6c5e7d1844ccd9b4fb12
ajkr,https://api.github.com/repos/facebook/rocksdb/pulls/12379,https://api.github.com/repos/facebook/rocksdb/issues/12379,closed,2024-02-25,2024-02-27,,fd2ffb7d8708dee600425d96f6544b929e0b0cf9
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12378,https://api.github.com/repos/facebook/rocksdb/issues/12378,closed,2024-02-23,2024-02-27,,c49e38a97a07df9aeae2e0a9beee40bda262cdad
pdillinger,https://api.github.com/repos/facebook/rocksdb/pulls/12377,https://api.github.com/repos/facebook/rocksdb/issues/12377,open,2024-02-23,2024-02-28,,77c8407bfc0c18eb856342b9e746c7a6ec54e6fe
jaykorean,https://api.github.com/repos/facebook/rocksdb/pulls/12375,https://api.github.com/repos/facebook/rocksdb/issues/12375,closed,2024-02-23,2024-02-23,,bda48ac4462bcdbacfc978c521bb67d70eb10b3b
alanpaxton,https://api.github.com/repos/facebook/rocksdb/pulls/12372,https://api.github.com/repos/facebook/rocksdb/issues/12372,closed,2024-02-22,2024-02-22,,6160717dd945173d1eb92d6e343f575ea4b83892
