user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jay-418,https://api.github.com/repos/getlantern/lantern/pulls/8386,https://api.github.com/repos/getlantern/lantern/issues/8386,open,2024-02-16,2024-03-05,,8b3ade2757c22c7338a52d0e5a900209ae86cf6a
Master811129,https://api.github.com/repos/getlantern/lantern/pulls/8385,https://api.github.com/repos/getlantern/lantern/issues/8385,open,2023-11-06,2024-01-01,,67fb5ac36229cda8841feabca1616edc85f61611
unrulife,https://api.github.com/repos/getlantern/lantern/pulls/8384,https://api.github.com/repos/getlantern/lantern/issues/8384,open,2023-03-25,2024-01-27,,a6dc67a616ce9a7b400865b901821e76356bf80d
BerserkGod,https://api.github.com/repos/getlantern/lantern/pulls/8383,https://api.github.com/repos/getlantern/lantern/issues/8383,closed,2023-01-04,2023-01-04,,553038b093411a7b2732958783dc842346ce126a
jay-418,https://api.github.com/repos/getlantern/lantern/pulls/8382,https://api.github.com/repos/getlantern/lantern/issues/8382,closed,2022-09-14,2024-02-16,2022-09-15,1386f9f19b8e4c1a086c0cb2902ef47bd40e1443
thomasjib,https://api.github.com/repos/getlantern/lantern/pulls/8381,https://api.github.com/repos/getlantern/lantern/issues/8381,closed,2022-07-21,2022-07-28,2022-07-28,b97a35afb54d88a357fda209950a99a77212fa03
cosmicespresso,https://api.github.com/repos/getlantern/lantern/pulls/8380,https://api.github.com/repos/getlantern/lantern/issues/8380,closed,2022-03-08,2022-03-09,2022-03-09,f8e3bfe2bb87e0cc1ea587f966969df0f9ae3eba
wenbeier,https://api.github.com/repos/getlantern/lantern/pulls/8379,https://api.github.com/repos/getlantern/lantern/issues/8379,closed,2021-11-17,2022-12-25,,4b6e99782902b0d56974346f599a309d20be9be1
lt85203,https://api.github.com/repos/getlantern/lantern/pulls/8378,https://api.github.com/repos/getlantern/lantern/issues/8378,closed,2021-08-23,2022-10-11,,4f6c2c478d1948865a611a632cf431f80cd7b141
bravolover520,https://api.github.com/repos/getlantern/lantern/pulls/8377,https://api.github.com/repos/getlantern/lantern/issues/8377,closed,2021-03-18,2021-03-18,,
liuchenyang0515,https://api.github.com/repos/getlantern/lantern/pulls/8376,https://api.github.com/repos/getlantern/lantern/issues/8376,closed,2021-02-19,2021-02-27,,
fzlcnzz,https://api.github.com/repos/getlantern/lantern/pulls/8375,https://api.github.com/repos/getlantern/lantern/issues/8375,closed,2021-01-17,2021-02-18,,
root-lucas,https://api.github.com/repos/getlantern/lantern/pulls/8374,https://api.github.com/repos/getlantern/lantern/issues/8374,closed,2020-11-18,2020-11-18,,
Shiquan-Huang,https://api.github.com/repos/getlantern/lantern/pulls/8373,https://api.github.com/repos/getlantern/lantern/issues/8373,closed,2020-10-23,2021-02-27,,
myleshorton,https://api.github.com/repos/getlantern/lantern/pulls/8372,https://api.github.com/repos/getlantern/lantern/issues/8372,closed,2020-10-15,2020-10-15,2020-10-15,af33d0efbb8826fd003b64e69a9f1830f66f5f4b
itrainsalotinSeattle,https://api.github.com/repos/getlantern/lantern/pulls/8370,https://api.github.com/repos/getlantern/lantern/issues/8370,closed,2019-11-15,2019-11-18,,e4d87a408b17d37982b52b39727a80554a2d6809
Backlight87,https://api.github.com/repos/getlantern/lantern/pulls/8368,https://api.github.com/repos/getlantern/lantern/issues/8368,closed,2019-11-13,2020-04-28,,8b53c80500ce0c7ca6a4457462705ae9cd092cb6
a14907,https://api.github.com/repos/getlantern/lantern/pulls/8366,https://api.github.com/repos/getlantern/lantern/issues/8366,closed,2019-11-08,2020-07-10,,ac911ed13961f6ae92654d36a3cba994459fd596
kelong1943,https://api.github.com/repos/getlantern/lantern/pulls/8365,https://api.github.com/repos/getlantern/lantern/issues/8365,closed,2019-10-25,2020-04-28,,357693edf0cc3b90bb025e4d8480641a0e7a8850
huluobo1234,https://api.github.com/repos/getlantern/lantern/pulls/8364,https://api.github.com/repos/getlantern/lantern/issues/8364,closed,2019-10-08,2019-11-18,,5f1813e8f190921f74865f64dc9ca3658e353e7f
freenet1900,https://api.github.com/repos/getlantern/lantern/pulls/8361,https://api.github.com/repos/getlantern/lantern/issues/8361,closed,2019-09-16,2020-04-28,,
Xiejinhua123,https://api.github.com/repos/getlantern/lantern/pulls/8360,https://api.github.com/repos/getlantern/lantern/issues/8360,closed,2019-09-09,2020-04-28,,
Xiejinhua123,https://api.github.com/repos/getlantern/lantern/pulls/8359,https://api.github.com/repos/getlantern/lantern/issues/8359,closed,2019-09-09,2020-04-28,,
1205789315,https://api.github.com/repos/getlantern/lantern/pulls/8356,https://api.github.com/repos/getlantern/lantern/issues/8356,closed,2019-08-21,2019-11-18,,
xu-weiping,https://api.github.com/repos/getlantern/lantern/pulls/8353,https://api.github.com/repos/getlantern/lantern/issues/8353,closed,2019-07-01,2020-04-28,,
lonelinesscoder,https://api.github.com/repos/getlantern/lantern/pulls/8352,https://api.github.com/repos/getlantern/lantern/issues/8352,closed,2019-07-01,2022-08-15,,
lemonskkyt,https://api.github.com/repos/getlantern/lantern/pulls/8351,https://api.github.com/repos/getlantern/lantern/issues/8351,closed,2019-06-29,2020-04-28,,
vincentou114,https://api.github.com/repos/getlantern/lantern/pulls/8350,https://api.github.com/repos/getlantern/lantern/issues/8350,closed,2019-06-24,2020-04-28,,
Welcome-To-The-Real-World,https://api.github.com/repos/getlantern/lantern/pulls/8349,https://api.github.com/repos/getlantern/lantern/issues/8349,closed,2019-06-19,2020-04-28,,cc5cc685fcaa4aac1fd1ddb86261dbfdc6c17051
abircb,https://api.github.com/repos/getlantern/lantern/pulls/8348,https://api.github.com/repos/getlantern/lantern/issues/8348,closed,2019-06-10,2019-11-18,,368a95983db62e1c01e04286bb9ab69ac439996c
yhm9651,https://api.github.com/repos/getlantern/lantern/pulls/8347,https://api.github.com/repos/getlantern/lantern/issues/8347,closed,2019-06-09,2020-04-28,,
magetron,https://api.github.com/repos/getlantern/lantern/pulls/8346,https://api.github.com/repos/getlantern/lantern/issues/8346,closed,2019-06-01,2019-11-18,,5f89c211199dc3abca05ea8e14e9f094f25c626f
vincentou114,https://api.github.com/repos/getlantern/lantern/pulls/8345,https://api.github.com/repos/getlantern/lantern/issues/8345,closed,2019-05-30,2020-04-28,,bcd68f01dc32a49fcc366f4df0a30c16ed6a248f
Victor2333,https://api.github.com/repos/getlantern/lantern/pulls/8344,https://api.github.com/repos/getlantern/lantern/issues/8344,closed,2019-05-06,2019-11-18,,d9c5c3737a58193d8230599cf0ff7ce11f76549c
loveybaby,https://api.github.com/repos/getlantern/lantern/pulls/8343,https://api.github.com/repos/getlantern/lantern/issues/8343,closed,2019-04-29,2019-11-18,,6e8db4af75de3acd1087cab70dc200d50a2d6404
myleshorton,https://api.github.com/repos/getlantern/lantern/pulls/8342,https://api.github.com/repos/getlantern/lantern/issues/8342,closed,2019-04-23,2019-11-18,2019-04-23,e46cebcc957d27f283552dd4bef1a84739c8c1ed
boz14676,https://api.github.com/repos/getlantern/lantern/pulls/8341,https://api.github.com/repos/getlantern/lantern/issues/8341,closed,2019-04-07,2019-11-18,,
DongerGroup,https://api.github.com/repos/getlantern/lantern/pulls/8340,https://api.github.com/repos/getlantern/lantern/issues/8340,closed,2019-02-27,2020-04-28,,
fly12358,https://api.github.com/repos/getlantern/lantern/pulls/8339,https://api.github.com/repos/getlantern/lantern/issues/8339,closed,2019-02-20,2020-04-28,,9148d9947a0bdaf303c0fffb0ab89bf36eb80aa7
LoserDream,https://api.github.com/repos/getlantern/lantern/pulls/8338,https://api.github.com/repos/getlantern/lantern/issues/8338,closed,2019-02-17,2020-04-28,,
