user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19509,https://api.github.com/repos/gitpod-io/gitpod/issues/19509,open,2024-03-06,2024-03-06,,292e5b1187c1df5953a8a4e0dca5abd016c07f1b
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19508,https://api.github.com/repos/gitpod-io/gitpod/issues/19508,open,2024-03-06,2024-03-06,,36b5b5727a3d5e69e20d49d51c8bf2195a86db27
filiptronicek,https://api.github.com/repos/gitpod-io/gitpod/pulls/19507,https://api.github.com/repos/gitpod-io/gitpod/issues/19507,open,2024-03-05,2024-03-06,,35639014d6b30f95e551c75f28336989e7f3b49f
geropl,https://api.github.com/repos/gitpod-io/gitpod/pulls/19506,https://api.github.com/repos/gitpod-io/gitpod/issues/19506,closed,2024-03-05,2024-03-06,2024-03-06,22bd295d2d29989447d179fe30fe200a41291a6f
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19504,https://api.github.com/repos/gitpod-io/gitpod/issues/19504,closed,2024-03-05,2024-03-05,2024-03-05,d1464868baa2e770f55267583e56aae352f90f09
iQQBot,https://api.github.com/repos/gitpod-io/gitpod/pulls/19503,https://api.github.com/repos/gitpod-io/gitpod/issues/19503,closed,2024-03-05,2024-03-05,2024-03-05,e102e72e8434f5f022384ffac8c880d73df54e56
kylos101,https://api.github.com/repos/gitpod-io/gitpod/pulls/19502,https://api.github.com/repos/gitpod-io/gitpod/issues/19502,closed,2024-03-04,2024-03-04,2024-03-04,696ec0344958034675183b36a9f979a3a0918f4a
filiptronicek,https://api.github.com/repos/gitpod-io/gitpod/pulls/19501,https://api.github.com/repos/gitpod-io/gitpod/issues/19501,closed,2024-03-04,2024-03-05,2024-03-05,08c8a1ced7616f44167543aa52fbdb1650c6b479
corneliusludmann,https://api.github.com/repos/gitpod-io/gitpod/pulls/19497,https://api.github.com/repos/gitpod-io/gitpod/issues/19497,closed,2024-03-01,2024-03-01,2024-03-01,fac15ad1aaa81d6cfa49f96d492f45f161d6137a
roboquat,https://api.github.com/repos/gitpod-io/gitpod/pulls/19496,https://api.github.com/repos/gitpod-io/gitpod/issues/19496,closed,2024-03-01,2024-03-04,2024-03-04,025961a3768eaa8318966a87b07aa9bece409e47
roboquat,https://api.github.com/repos/gitpod-io/gitpod/pulls/19495,https://api.github.com/repos/gitpod-io/gitpod/issues/19495,closed,2024-03-01,2024-03-04,2024-03-04,070ca415d0e9e2a7db5bd7398ad52d0d7437aeea
iQQBot,https://api.github.com/repos/gitpod-io/gitpod/pulls/19494,https://api.github.com/repos/gitpod-io/gitpod/issues/19494,closed,2024-03-01,2024-03-05,2024-03-05,6cc2aae832cb77bef72c04e39f18b57e96bdc1f7
roboquat,https://api.github.com/repos/gitpod-io/gitpod/pulls/19493,https://api.github.com/repos/gitpod-io/gitpod/issues/19493,closed,2024-03-01,2024-03-02,,f7f0cf7eb616201aa3c335afa9cbe06cfe04be6b
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19492,https://api.github.com/repos/gitpod-io/gitpod/issues/19492,closed,2024-03-01,2024-03-01,2024-03-01,0aafc58b6f10fcd5eae0df086aa341c67313c90b
jeanp413,https://api.github.com/repos/gitpod-io/gitpod/pulls/19491,https://api.github.com/repos/gitpod-io/gitpod/issues/19491,closed,2024-02-29,2024-03-02,2024-03-01,9e4ef694d16aa743afe2a64d2bcb4c4777747712
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19489,https://api.github.com/repos/gitpod-io/gitpod/issues/19489,closed,2024-02-29,2024-02-29,2024-02-29,01d7e420aa3f2b4895cbf15f2c1461b14cc16203
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19488,https://api.github.com/repos/gitpod-io/gitpod/issues/19488,closed,2024-02-29,2024-02-29,2024-02-29,7decb173701e2e11d44bf370b91f57a97b573ac7
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19487,https://api.github.com/repos/gitpod-io/gitpod/issues/19487,closed,2024-02-29,2024-03-04,2024-03-04,c75b68e6a2f0292c97b44a4b8e50a77491e59afc
iQQBot,https://api.github.com/repos/gitpod-io/gitpod/pulls/19483,https://api.github.com/repos/gitpod-io/gitpod/issues/19483,open,2024-02-28,2024-03-04,,36ff7011d7bbe40084e1adcb1296259f6ce18bb4
geropl,https://api.github.com/repos/gitpod-io/gitpod/pulls/19482,https://api.github.com/repos/gitpod-io/gitpod/issues/19482,closed,2024-02-28,2024-02-28,2024-02-28,a05f84ef2a3d1418c082e2a57e0c4b8d99947dfb
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19481,https://api.github.com/repos/gitpod-io/gitpod/issues/19481,closed,2024-02-28,2024-02-28,2024-02-28,394dcae20f0100d3e2a500c9fd08159a1dbb7c35
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19480,https://api.github.com/repos/gitpod-io/gitpod/issues/19480,closed,2024-02-28,2024-02-28,2024-02-28,718353ef90238e07b1a4463dcdec026a4663b803
jeanp413,https://api.github.com/repos/gitpod-io/gitpod/pulls/19479,https://api.github.com/repos/gitpod-io/gitpod/issues/19479,open,2024-02-28,2024-03-06,,727d2ebd4df67f1698f9506121e96c25bd0f7471
roboquat,https://api.github.com/repos/gitpod-io/gitpod/pulls/19478,https://api.github.com/repos/gitpod-io/gitpod/issues/19478,closed,2024-02-28,2024-02-28,2024-02-28,730eed3bc5cc05365a151ddaf78e554443d38cb1
31031969,https://api.github.com/repos/gitpod-io/gitpod/pulls/19477,https://api.github.com/repos/gitpod-io/gitpod/issues/19477,open,2024-02-28,2024-02-28,,96edbf4829d42889eead2ea0351dd7e89105c0d3
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19476,https://api.github.com/repos/gitpod-io/gitpod/issues/19476,closed,2024-02-27,2024-02-27,2024-02-27,e80714a7337478583cc70fd4906ff3e23c5286db
iQQBot,https://api.github.com/repos/gitpod-io/gitpod/pulls/19474,https://api.github.com/repos/gitpod-io/gitpod/issues/19474,open,2024-02-27,2024-03-01,,982c2a5e92d986cc6d8acba3e86225671646c2b7
roboquat,https://api.github.com/repos/gitpod-io/gitpod/pulls/19473,https://api.github.com/repos/gitpod-io/gitpod/issues/19473,closed,2024-02-27,2024-02-29,2024-02-29,bfba2657797b8d8dcee2b66c9f1d3fb91c749755
filiptronicek,https://api.github.com/repos/gitpod-io/gitpod/pulls/19472,https://api.github.com/repos/gitpod-io/gitpod/issues/19472,closed,2024-02-26,2024-02-27,2024-02-27,6638c5d43ac6141f2e8f78d5c2ba51f55751fafd
geropl,https://api.github.com/repos/gitpod-io/gitpod/pulls/19470,https://api.github.com/repos/gitpod-io/gitpod/issues/19470,closed,2024-02-26,2024-02-27,2024-02-27,af0213b6e6ced1c2d9ae046ff20012d1be695379
geropl,https://api.github.com/repos/gitpod-io/gitpod/pulls/19469,https://api.github.com/repos/gitpod-io/gitpod/issues/19469,closed,2024-02-26,2024-02-27,2024-02-27,bdad590b090ae449411bb97ec2637d7539347d88
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19468,https://api.github.com/repos/gitpod-io/gitpod/issues/19468,closed,2024-02-26,2024-02-26,2024-02-26,f324ac73f5d8f9ae062cb0412d4fd448f4de0cdd
roboquat,https://api.github.com/repos/gitpod-io/gitpod/pulls/19465,https://api.github.com/repos/gitpod-io/gitpod/issues/19465,closed,2024-02-24,2024-02-26,2024-02-26,64030c9288761c32aba6012bc8ef0a745190ac5c
filiptronicek,https://api.github.com/repos/gitpod-io/gitpod/pulls/19464,https://api.github.com/repos/gitpod-io/gitpod/issues/19464,closed,2024-02-23,2024-02-23,2024-02-23,f5a496d63bb1b22124dc190d5f5b9516b17f793e
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19463,https://api.github.com/repos/gitpod-io/gitpod/issues/19463,closed,2024-02-23,2024-02-23,2024-02-23,b1da19701881505b2bb3164cb6f2e737c07b73b4
mustard-mh,https://api.github.com/repos/gitpod-io/gitpod/pulls/19462,https://api.github.com/repos/gitpod-io/gitpod/issues/19462,closed,2024-02-23,2024-02-23,2024-02-23,06514d18d44988621386fdaf82f85290232465a8
