user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
hguandl,https://api.github.com/repos/gnachman/iTerm2/pulls/497,https://api.github.com/repos/gnachman/iTerm2/issues/497,closed,2024-02-19,2024-02-21,2024-02-21,b0af966ae0af7d08028debfb9a3172dd2f884b6b
robbieg8s,https://api.github.com/repos/gnachman/iTerm2/pulls/496,https://api.github.com/repos/gnachman/iTerm2/issues/496,closed,2024-02-08,2024-02-11,2024-02-11,c45582545b7267c529c8dc3d14b56872a19a38eb
dnicolson,https://api.github.com/repos/gnachman/iTerm2/pulls/495,https://api.github.com/repos/gnachman/iTerm2/issues/495,closed,2024-01-16,2024-01-19,2024-01-19,a53b689be1e1bd5a42e1801b19f502c61209caab
dnicolson,https://api.github.com/repos/gnachman/iTerm2/pulls/494,https://api.github.com/repos/gnachman/iTerm2/issues/494,closed,2024-01-13,2024-01-26,,0f8031d56dee50683faa94a2aedd463283195db7
dnicolson,https://api.github.com/repos/gnachman/iTerm2/pulls/493,https://api.github.com/repos/gnachman/iTerm2/issues/493,closed,2024-01-13,2024-01-16,2024-01-16,153cd0f2bd15805b3bc00cc01e6f9e17f49f1b7b
townba,https://api.github.com/repos/gnachman/iTerm2/pulls/492,https://api.github.com/repos/gnachman/iTerm2/issues/492,closed,2023-12-19,2023-12-20,2023-12-20,28e6a63b405bcef7546885d3f0625a3203ddaa44
jevinskie,https://api.github.com/repos/gnachman/iTerm2/pulls/491,https://api.github.com/repos/gnachman/iTerm2/issues/491,closed,2023-11-25,2023-11-27,2023-11-27,8fd4d79585c17072c04a2e65905532345382c985
mallexxx,https://api.github.com/repos/gnachman/iTerm2/pulls/490,https://api.github.com/repos/gnachman/iTerm2/issues/490,closed,2023-11-22,2023-12-27,2023-12-27,c7b96708f1d365f5f7ff032464cd75795ea78d05
mallexxx,https://api.github.com/repos/gnachman/iTerm2/pulls/489,https://api.github.com/repos/gnachman/iTerm2/issues/489,closed,2023-11-22,2023-11-30,,abd644cc74b942ddb7768bdebf751c3d0918dcbb
saagarjha,https://api.github.com/repos/gnachman/iTerm2/pulls/488,https://api.github.com/repos/gnachman/iTerm2/issues/488,closed,2023-10-29,2023-10-30,2023-10-30,89aeffb478f95c83256606dfe1949ac40d7acfa9
khramtsoff,https://api.github.com/repos/gnachman/iTerm2/pulls/487,https://api.github.com/repos/gnachman/iTerm2/issues/487,closed,2023-09-26,2023-10-15,,4895cfdbd25a93d72be6a49d7fa5b891a93f4758
saagarjha,https://api.github.com/repos/gnachman/iTerm2/pulls/486,https://api.github.com/repos/gnachman/iTerm2/issues/486,closed,2023-08-27,2023-10-29,,3556207eab558e0fa401612dbab73c30ccdbdfe2
