user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
SukkaW,https://api.github.com/repos/josdejong/mathjs/pulls/3167,https://api.github.com/repos/josdejong/mathjs/issues/3167,open,2024-03-01,2024-03-06,,541de6126bba140f967ed29029a0be437e859383
nikolas,https://api.github.com/repos/josdejong/mathjs/pulls/3165,https://api.github.com/repos/josdejong/mathjs/issues/3165,open,2024-02-24,2024-02-29,,ea90e4cc9c19f27fd0b82094ec656af259e5b2e4
josdejong,https://api.github.com/repos/josdejong/mathjs/pulls/3164,https://api.github.com/repos/josdejong/mathjs/issues/3164,closed,2024-02-23,2024-02-23,2024-02-23,c1cf1c483e4b75347ef346db8e09aec9a5137d5d
dvd101x,https://api.github.com/repos/josdejong/mathjs/pulls/3158,https://api.github.com/repos/josdejong/mathjs/issues/3158,closed,2024-02-14,2024-02-22,2024-02-14,60de1689de414ef6c2ae99ca0bbc2a3be8eb3d6e
dvd101x,https://api.github.com/repos/josdejong/mathjs/pulls/3154,https://api.github.com/repos/josdejong/mathjs/issues/3154,closed,2024-02-13,2024-02-22,2024-02-15,065b3ae4e8459413f71650aae20cf60f95540b87
rich-martinez,https://api.github.com/repos/josdejong/mathjs/pulls/3153,https://api.github.com/repos/josdejong/mathjs/issues/3153,closed,2024-02-10,2024-02-22,2024-02-21,b78ac811a4fc4a69d6f99f5ac523e6fee544819e
dvd101x,https://api.github.com/repos/josdejong/mathjs/pulls/3152,https://api.github.com/repos/josdejong/mathjs/issues/3152,open,2024-02-10,2024-02-29,,95d70b42b78fc09553874cd874f3f9653993ddb6
dvd101x,https://api.github.com/repos/josdejong/mathjs/pulls/3151,https://api.github.com/repos/josdejong/mathjs/issues/3151,closed,2024-02-09,2024-03-06,2024-03-06,36611384dabde653861ba4d8d57a1de1809e875c
josdejong,https://api.github.com/repos/josdejong/mathjs/pulls/3150,https://api.github.com/repos/josdejong/mathjs/issues/3150,closed,2024-02-08,2024-02-08,2024-02-08,5a4f60fdf67bbfdd38b41faf932dcc4d2e49fc16
RandomGamingDev,https://api.github.com/repos/josdejong/mathjs/pulls/3149,https://api.github.com/repos/josdejong/mathjs/issues/3149,closed,2024-02-07,2024-02-22,2024-02-22,207623c931cd326b6eb4160e307e9f2563e50125
