user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
jsk95,https://api.github.com/repos/knex/knex/pulls/6020,https://api.github.com/repos/knex/knex/issues/6020,open,2024-03-04,2024-03-04,,689fe1eee37b135546417edcd4fd86a1018cb550
janpio,https://api.github.com/repos/knex/knex/pulls/6019,https://api.github.com/repos/knex/knex/issues/6019,open,2024-03-03,2024-03-03,,37625c030dce9da8d0517d07d657b9d1eafce475
khoaHyh,https://api.github.com/repos/knex/knex/pulls/6018,https://api.github.com/repos/knex/knex/issues/6018,open,2024-03-02,2024-03-02,,d6287b81c24a9f27ac14fc688823d08df59d1467
rluvaton,https://api.github.com/repos/knex/knex/pulls/5870,https://api.github.com/repos/knex/knex/issues/5870,closed,2024-03-02,2024-03-04,2024-03-04,c180e4cf5b72397f87ad4d53a8c4328a4ab70279
siddhartha8916,https://api.github.com/repos/knex/knex/pulls/5807,https://api.github.com/repos/knex/knex/issues/5807,closed,2024-02-26,2024-02-26,,04a286e181ffd323d723718acd1cc8a27a7d0a73
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5806,https://api.github.com/repos/knex/knex/issues/5806,open,2024-02-26,2024-02-26,,4207723c2dbb7565d492b7b5b4dae24fa1e34d04
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5805,https://api.github.com/repos/knex/knex/issues/5805,closed,2024-02-23,2024-02-26,,85d44eba42fecef6a0cb599cddf4e697be10d54c
webselect,https://api.github.com/repos/knex/knex/pulls/5804,https://api.github.com/repos/knex/knex/issues/5804,open,2024-02-21,2024-02-21,,dfe4c736e16b2af99afbf3873b54ea3c0aa2ec51
redaxle,https://api.github.com/repos/knex/knex/pulls/5803,https://api.github.com/repos/knex/knex/issues/5803,open,2024-02-20,2024-02-20,,0d306c18eca3e317a0b91cecf94c0a438a8663b8
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5802,https://api.github.com/repos/knex/knex/issues/5802,closed,2024-02-20,2024-02-23,,cd01b968a73624abc1f7970bf3203baf521c957f
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5797,https://api.github.com/repos/knex/knex/issues/5797,open,2024-02-06,2024-02-06,,ac47eb07b7346cfd7ebcce8a40b59846cc0831b7
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5794,https://api.github.com/repos/knex/knex/issues/5794,closed,2024-01-31,2024-02-06,,db5b9fc1ad567d85c5d12e811aae3c0287a7ddbf
blaisn,https://api.github.com/repos/knex/knex/pulls/5793,https://api.github.com/repos/knex/knex/issues/5793,open,2024-01-25,2024-03-01,,9491e58b554b68739481bd4be7adb56564fd45ed
rluvaton,https://api.github.com/repos/knex/knex/pulls/5792,https://api.github.com/repos/knex/knex/issues/5792,closed,2024-01-21,2024-03-02,2024-03-02,a58208cd0d6bb0f74d8ca2f2a05eb86ff7fa74ca
ErinCall,https://api.github.com/repos/knex/knex/pulls/5791,https://api.github.com/repos/knex/knex/issues/5791,open,2024-01-19,2024-01-19,,779b28531ae2f79b35654c8713262d5bdd8e75cf
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5790,https://api.github.com/repos/knex/knex/issues/5790,closed,2024-01-18,2024-02-20,,ea4f8caa26ad508ee8f8cd2fd20e800abdbfabff
jvnlwn,https://api.github.com/repos/knex/knex/pulls/5784,https://api.github.com/repos/knex/knex/issues/5784,open,2024-01-05,2024-01-05,,4dc8e77095d74d51eae6881f8356f3b563823d30
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5783,https://api.github.com/repos/knex/knex/issues/5783,closed,2024-01-03,2024-01-18,,daeae6d9724cb1e1127825c066fcd25f9b486d2b
code-ape,https://api.github.com/repos/knex/knex/pulls/5782,https://api.github.com/repos/knex/knex/issues/5782,open,2023-12-29,2024-01-02,,f5fa549209d366b8a08a187f23b385369f4f47d5
ricochet1k,https://api.github.com/repos/knex/knex/pulls/5780,https://api.github.com/repos/knex/knex/issues/5780,open,2023-12-27,2023-12-27,,2abac9ea6a12bbb92757423a8042bcdef16fd280
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5779,https://api.github.com/repos/knex/knex/issues/5779,closed,2023-12-27,2024-01-03,,706e2a0b40d1c7334683ae6f9b0139d0abb98be4
beltschatsar,https://api.github.com/repos/knex/knex/pulls/5774,https://api.github.com/repos/knex/knex/issues/5774,open,2023-12-18,2024-01-16,,fac85e551c1671661bc3647a00023d7e82943531
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5772,https://api.github.com/repos/knex/knex/issues/5772,closed,2023-12-18,2023-12-27,,e70967bf99285d9c9640460995aecf498a9700cf
vijaynyaya,https://api.github.com/repos/knex/knex/pulls/5771,https://api.github.com/repos/knex/knex/issues/5771,open,2023-12-16,2023-12-16,,87721919cca2a632529ca2c0f94adebfbcf5928e
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5770,https://api.github.com/repos/knex/knex/issues/5770,open,2023-12-14,2023-12-14,,9a83c7ef854f8ed320e2b90b1a7bc49de4ed01a0
hzgotb,https://api.github.com/repos/knex/knex/pulls/5767,https://api.github.com/repos/knex/knex/issues/5767,open,2023-12-09,2023-12-14,,afd55fbbdaa9c78e74ad98a355dfbd500efa767b
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5765,https://api.github.com/repos/knex/knex/issues/5765,open,2023-12-04,2023-12-04,,9ad3ac48ece3689d90d484cfb958ae775de0391f
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5764,https://api.github.com/repos/knex/knex/issues/5764,closed,2023-12-04,2023-12-18,,80efe2ce4a2e7f43fd32a414083fd63a02cd02dd
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5763,https://api.github.com/repos/knex/knex/issues/5763,closed,2023-12-04,2024-01-31,,9ca226370e207ca3270012fa28157437bb66ef85
dependabot[bot],https://api.github.com/repos/knex/knex/pulls/5762,https://api.github.com/repos/knex/knex/issues/5762,open,2023-12-04,2023-12-04,,60f5a38ff97aa76733ccea9fe114c06645ccaddf
mustafabalila,https://api.github.com/repos/knex/knex/pulls/5761,https://api.github.com/repos/knex/knex/issues/5761,open,2023-12-02,2023-12-13,,28c31184e35b6e6c1e0d0379801cd08c8d9be471
