user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
renovate[bot],https://api.github.com/repos/nuxt/nuxt/pulls/26115,https://api.github.com/repos/nuxt/nuxt/issues/26115,closed,2024-03-06,2024-03-06,2024-03-06,1bc76000e3265c4084caed040da55557d5dda708
GalacticHypernova,https://api.github.com/repos/nuxt/nuxt/pulls/26114,https://api.github.com/repos/nuxt/nuxt/issues/26114,open,2024-03-06,2024-03-06,,e06555b9377bee52d24a86873515b6eea1c46b42
renovate[bot],https://api.github.com/repos/nuxt/nuxt/pulls/26112,https://api.github.com/repos/nuxt/nuxt/issues/26112,closed,2024-03-06,2024-03-06,2024-03-06,31f054ee586785d433df0740f404be48c7db33c6
renovate[bot],https://api.github.com/repos/nuxt/nuxt/pulls/26107,https://api.github.com/repos/nuxt/nuxt/issues/26107,closed,2024-03-06,2024-03-06,2024-03-06,a80bdd1e5937bb5527baf428112f17b40b958612
renovate[bot],https://api.github.com/repos/nuxt/nuxt/pulls/26105,https://api.github.com/repos/nuxt/nuxt/issues/26105,closed,2024-03-06,2024-03-06,2024-03-06,f844636e18875d82515747ae59a2664c5d2c44db
danielroe,https://api.github.com/repos/nuxt/nuxt/pulls/26104,https://api.github.com/repos/nuxt/nuxt/issues/26104,closed,2024-03-06,2024-03-06,2024-03-06,bc44dfc48404fd3aee58a662099952568ed71f58
renovate[bot],https://api.github.com/repos/nuxt/nuxt/pulls/26097,https://api.github.com/repos/nuxt/nuxt/issues/26097,closed,2024-03-06,2024-03-06,2024-03-06,b90b4da4ce3d2415dfcad919a93e37fc7d64aae0
franklin-tina,https://api.github.com/repos/nuxt/nuxt/pulls/26094,https://api.github.com/repos/nuxt/nuxt/issues/26094,closed,2024-03-06,2024-03-06,2024-03-06,cdc3c4b3d2b2ed3b245e34108546adb03f158f9e
adamdehaven,https://api.github.com/repos/nuxt/nuxt/pulls/26091,https://api.github.com/repos/nuxt/nuxt/issues/26091,closed,2024-03-05,2024-03-05,2024-03-05,db26a352c1e319b3584b198b4ea48605692f8e4e
danielroe,https://api.github.com/repos/nuxt/nuxt/pulls/26089,https://api.github.com/repos/nuxt/nuxt/issues/26089,closed,2024-03-05,2024-03-06,2024-03-06,b4bce578c653c6e7f34ffe89aa38a5f979e3d923
renovate[bot],https://api.github.com/repos/nuxt/nuxt/pulls/26088,https://api.github.com/repos/nuxt/nuxt/issues/26088,closed,2024-03-05,2024-03-05,2024-03-05,a8a06bbf5826b02fe50f26086285f9af620e1d8b
danielroe,https://api.github.com/repos/nuxt/nuxt/pulls/26086,https://api.github.com/repos/nuxt/nuxt/issues/26086,closed,2024-03-05,2024-03-06,2024-03-06,bdf201d24d35ce6eba24833736e190decd51503c
danielroe,https://api.github.com/repos/nuxt/nuxt/pulls/26085,https://api.github.com/repos/nuxt/nuxt/issues/26085,closed,2024-03-05,2024-03-06,2024-03-06,bbf41865074273368f8732ff8e9b4344dccccd73
cljamal,https://api.github.com/repos/nuxt/nuxt/pulls/26083,https://api.github.com/repos/nuxt/nuxt/issues/26083,open,2024-03-05,2024-03-06,,65b8fc5903ee5eddda3c7ff0cc988e0c09724ee5
danielroe,https://api.github.com/repos/nuxt/nuxt/pulls/26081,https://api.github.com/repos/nuxt/nuxt/issues/26081,closed,2024-03-05,2024-03-05,2024-03-05,2e8c598e4d539cb535456f36d23987be3b6d7024
