user,url,issue_url,state,created_at,updated_at,merged_at,merge_commit_sha
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/6001,https://api.github.com/repos/onnx/onnx/issues/6001,open,2024-03-05,2024-03-06,,3a03cccd378debe63108b1585220aef680c37b2b
dependabot[bot],https://api.github.com/repos/onnx/onnx/pulls/5998,https://api.github.com/repos/onnx/onnx/issues/5998,open,2024-03-05,2024-03-05,,d9e5d7c96e0e48976e505b1ba8671eb03f62e0a1
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5997,https://api.github.com/repos/onnx/onnx/issues/5997,closed,2024-03-05,2024-03-05,2024-03-05,f46a3f82f0f62891e62f068810dd89e205e16508
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5996,https://api.github.com/repos/onnx/onnx/issues/5996,closed,2024-03-04,2024-03-05,,bbb06ca98ff7cfc47be222bbc3d52f343d26f27e
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5995,https://api.github.com/repos/onnx/onnx/issues/5995,closed,2024-03-04,2024-03-05,2024-03-05,c8676833bda63e101249f180c9d719c50a94ff23
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5994,https://api.github.com/repos/onnx/onnx/issues/5994,closed,2024-03-04,2024-03-04,2024-03-04,e6ff7b92943ce17b9f28f872fab9fb28eef117a0
daquexian,https://api.github.com/repos/onnx/onnx/pulls/5992,https://api.github.com/repos/onnx/onnx/issues/5992,closed,2024-03-03,2024-03-04,2024-03-04,d7e2b813c1a26cdb8bcb6c4547cb5e6ffeb9b49b
Abhishek-TyRnT,https://api.github.com/repos/onnx/onnx/pulls/5991,https://api.github.com/repos/onnx/onnx/issues/5991,closed,2024-03-03,2024-03-05,2024-03-05,9a883539c3437dc81341aa696f6fa29e801d5f1e
OYCN,https://api.github.com/repos/onnx/onnx/pulls/5990,https://api.github.com/repos/onnx/onnx/issues/5990,closed,2024-03-02,2024-03-04,2024-03-04,b590c5fef602d2ac2277c5b57c5818e976ce6d27
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5987,https://api.github.com/repos/onnx/onnx/issues/5987,closed,2024-03-02,2024-03-04,2024-03-04,34e00dde46ad1308445ccb4e8235e257cee94993
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5986,https://api.github.com/repos/onnx/onnx/issues/5986,closed,2024-03-02,2024-03-05,2024-03-05,2159934fd7f07da00849a45be54ceba9de9d6d48
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5984,https://api.github.com/repos/onnx/onnx/issues/5984,closed,2024-03-01,2024-03-02,2024-03-02,238f2b9a41b28e6db0086c8a1be655d517c94dd1
dependabot[bot],https://api.github.com/repos/onnx/onnx/pulls/5983,https://api.github.com/repos/onnx/onnx/issues/5983,closed,2024-03-01,2024-03-02,2024-03-02,2c35681edd243da53226309e813a5585976f28fe
dependabot[bot],https://api.github.com/repos/onnx/onnx/pulls/5982,https://api.github.com/repos/onnx/onnx/issues/5982,open,2024-03-01,2024-03-01,,db9d3305dfea2d998520b6a4108637c74215a0ff
dependabot[bot],https://api.github.com/repos/onnx/onnx/pulls/5981,https://api.github.com/repos/onnx/onnx/issues/5981,open,2024-03-01,2024-03-01,,ce89e02b99da1b8ab9dbc3db01bbba712cbde7b8
dependabot[bot],https://api.github.com/repos/onnx/onnx/pulls/5980,https://api.github.com/repos/onnx/onnx/issues/5980,closed,2024-03-01,2024-03-04,2024-03-04,5ce1958443448302e95ecbdd85ee0d0c79b7173f
dependabot[bot],https://api.github.com/repos/onnx/onnx/pulls/5979,https://api.github.com/repos/onnx/onnx/issues/5979,open,2024-03-01,2024-03-01,,0b70d414b5ea24e4891ab6929ce26cf40fc13738
liqunfu,https://api.github.com/repos/onnx/onnx/pulls/5975,https://api.github.com/repos/onnx/onnx/issues/5975,closed,2024-02-28,2024-02-29,2024-02-29,09d668f489ea25cd52678896e912edff9674c809
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5973,https://api.github.com/repos/onnx/onnx/issues/5973,closed,2024-02-28,2024-02-28,2024-02-28,309a0b05022faf0855f4a4c66003ed7cc8dbdcdc
cjvolzka,https://api.github.com/repos/onnx/onnx/pulls/5972,https://api.github.com/repos/onnx/onnx/issues/5972,closed,2024-02-27,2024-02-28,2024-02-28,b411f3b7ca8363dba92568f46ddbba989674cd30
